Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.9e-05,18.326,[ 6 32] ; [11  3],[12.42307692 25.57692308] ; [4.57692308 9.42307692],1
s6,1,0.000179,14.037935,[ 5 34] ; [9 5],[10.30188679 28.69811321] ; [ 3.69811321 10.30188679],1
p3,1,0.002365,9.241879,[ 6 33] ; [8 6],[10.30188679 28.69811321] ; [ 3.69811321 10.30188679],0
p2,1,0.003199,8.690213,[ 8 30] ; [9 5],[12.42307692 25.57692308] ; [4.57692308 9.42307692],0
p6,1,0.005,7.879325,[ 2 35] ; [5 9],[ 5.07843137 31.92156863] ; [ 1.92156863 12.07843137],0
r3,1,0.016535,5.745082,[13 25] ; [10  4],[16.80769231 21.19230769] ; [6.19230769 7.80769231],0
n6,1,0.027759,4.843003,[13 25] ; [9 4],[16.39215686 21.60784314] ; [5.60784314 7.39215686],0
s7,1,0.066343,3.371271,[ 6 31] ; [5 7],[ 8.30612245 28.69387755] ; [2.69387755 9.30612245],0
v2,1,0.071069,3.258145,[ 7 31] ; [6 8],[ 9.5 28.5] ; [ 3.5 10.5],0
p8,1,0.083206,3.00113,[ 4 34] ; [4 9],[ 5.96078431 32.03921569] ; [ 2.03921569 10.96078431],0
s1,1,0.100577,2.696378,[ 4 35] ; [ 4 10],[ 5.88679245 33.11320755] ; [ 2.11320755 11.88679245],0
p10,1,0.134938,2.234757,[13 25] ; [8 6],[15.34615385 22.65384615] ; [5.65384615 8.34615385],0
u2,1,0.150164,2.070588,[ 3 15] ; [2 2],[ 4.09090909 13.90909091] ; [0.90909091 3.09090909],0
p4,1,0.158723,1.98635,[ 9 30] ; [6 8],[11.03773585 27.96226415] ; [ 3.96226415 10.03773585],0
s8,1,0.164079,1.936229,[ 3 36] ; [ 3 11],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
d3,1,0.166386,1.915203,[14 25] ; [8 6],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
v1,1,0.175855,1.832311,[ 9 29] ; [6 8],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
v3,1,0.178155,1.812946,[ 5 34] ; [ 4 10],[ 6.62264151 32.37735849] ; [ 2.37735849 11.62264151],0
b5,1,0.183922,1.765643,[17 22] ; [9 5],[19.13207547 19.86792453] ; [6.86792453 7.13207547],0
p9,1,0.214143,1.543191,[14 23] ; [8 6],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
a4,1,0.225044,1.471915,[15 23] ; [ 3 11],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
p7,1,0.228716,1.448829,[10 29] ; [6 8],[11.77358491 27.22641509] ; [4.22641509 9.77358491],0
a7,1,0.252083,1.311721,[18 21] ; [ 4 10],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
a3,1,0.291979,1.110472,[21 17] ; [10  4],[22.65384615 15.34615385] ; [8.34615385 5.65384615],0
d4,1,0.324363,0.971274,[22 17] ; [10  4],[23.54716981 15.45283019] ; [8.45283019 5.54716981],0
p1,1,0.332636,0.938609,[ 7 32] ; [ 1 13],[ 5.88679245 33.11320755] ; [ 2.11320755 11.88679245],0
b1,1,0.383528,0.759362,[22 17] ; [6 8],[20.60377358 18.39622642] ; [7.39622642 6.60377358],0
a1,1,0.434617,0.610453,[ 6 33] ; [ 1 13],[ 5.1509434 33.8490566] ; [ 1.8490566 12.1509434],0
s4,1,0.44025,0.59563,[ 5 34] ; [ 3 11],[ 5.88679245 33.11320755] ; [ 2.11320755 11.88679245],0
s5,1,0.44025,0.59563,[ 5 34] ; [ 3 11],[ 5.88679245 33.11320755] ; [ 2.11320755 11.88679245],0
p12,1,0.440573,0.594789,[ 1 38] ; [ 1 13],[ 1.47169811 37.52830189] ; [ 0.52830189 13.47169811],0
n1,1,0.458902,0.548571,[ 9 11] ; [1 3],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
r1,1,0.472918,0.51515,[10 29] ; [5 9],[11.03773585 27.96226415] ; [ 3.96226415 10.03773585],0
n3,1,0.524052,0.405911,[ 8 11] ; [1 3],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
p11,1,0.561117,0.337774,[16 23] ; [7 7],[16.9245283 22.0754717] ; [6.0754717 7.9245283],0
a2,1,0.565192,0.330794,[ 5 34] ; [ 1 13],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
n2,1,0.571608,0.32,[ 8 12] ; [1 3],[ 7.5 12.5] ; [1.5 2.5],0
d5,1,0.588565,0.292592,[19 20] ; [8 6],[19.86792453 19.13207547] ; [7.13207547 6.86792453],0
a6,1,0.679359,0.170848,[17 22] ; [7 7],[17.66037736 21.33962264] ; [6.33962264 7.66037736],0
a8,1,0.713544,0.134762,[ 4 34] ; [ 1 13],[ 3.65384615 34.34615385] ; [ 1.34615385 12.65384615],0
b4,1,0.773003,0.083203,[24 15] ; [8 6],[23.54716981 15.45283019] ; [8.45283019 5.54716981],0
d1,1,0.871804,0.026039,[13 26] ; [5 9],[13.24528302 25.75471698] ; [4.75471698 9.24528302],0
n5,1,0.871804,0.026039,[26 13] ; [9 5],[25.75471698 13.24528302] ; [9.24528302 4.75471698],0
b2,1,0.896441,0.016941,[10 18] ; [3 6],[ 9.83783784 18.16216216] ; [3.16216216 5.83783784],0
b3,1,0.896441,0.016941,[10 18] ; [3 6],[ 9.83783784 18.16216216] ; [3.16216216 5.83783784],0
d2,1,0.903647,0.014654,[17 21] ; [6 8],[16.80769231 21.19230769] ; [6.19230769 7.80769231],0
a5,1,0.905036,0.014233,[23 16] ; [8 6],[22.81132075 16.18867925] ; [8.18867925 5.81132075],0
p5,1,0.928087,0.008145,[ 3 35] ; [ 1 13],[ 2.92307692 35.07692308] ; [ 1.07692308 12.92307692],0
u1,1,0.946771,0.004457,[ 3 36] ; [ 1 13],[ 2.94339623 36.05660377] ; [ 1.05660377 12.94339623],0
r2,1,0.980179,0.000617,[16 21] ; [6 8],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
n4,1,0.99022,0.00015,[25 14] ; [9 5],[25.01886792 13.98113208] ; [8.98113208 5.01886792],0
