Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,45.768096,[59  5] ; [ 4 18],[46.88372093 17.11627907] ; [16.11627907  5.88372093],1
r3,1,2.8e-05,17.572237,[60  3] ; [13  9],[54.10588235  8.89411765] ; [18.89411765  3.10588235],1
p11,1,7.4e-05,15.7079,[50 14] ; [ 7 15],[42.41860465 21.58139535] ; [14.58139535  7.41860465],1
r4,1,0.000577,11.847396,[55  9] ; [11 11],[49.11627907 14.88372093] ; [16.88372093  5.11627907],1
v2,1,0.001265,10.392229,[33 29] ; [ 3 19],[26.57142857 35.42857143] ; [ 9.42857143 12.57142857],0
a6,1,0.002352,9.25261,[44 20] ; [ 7 15],[37.95348837 26.04651163] ; [13.04651163  8.95348837],0
n2,1,0.012511,6.236919,[15  1] ; [7 6],[12.13793103  3.86206897] ; [9.86206897 3.13793103],0
s2,1,0.01725,5.670742,[38 24] ; [ 7 15],[33.21428571 28.78571429] ; [11.78571429 10.21428571],0
s1,1,0.021585,5.278902,[ 1 62] ; [ 3 19],[ 2.96470588 60.03529412] ; [ 1.03529412 20.96470588],0
d3,1,0.024075,5.089241,[50 13] ; [12 10],[45.95294118 17.04705882] ; [16.04705882  5.95294118],0
n6,1,0.025827,4.967532,[54  9] ; [14  8],[50.4 12.6] ; [17.6  4.4],0
a7,1,0.02818,4.817001,[45 18] ; [10 12],[40.76470588 22.23529412] ; [14.23529412  7.76470588],0
p2,1,0.036882,4.355844,[52 12] ; [13  9],[48.37209302 15.62790698] ; [16.62790698  5.37209302],0
p6,1,0.037475,4.328711,[24 40] ; [ 3 19],[20.09302326 43.90697674] ; [ 6.90697674 15.09302326],0
r1,1,0.04299,4.09579,[47 17] ; [11 11],[43.1627907 20.8372093] ; [14.8372093  7.1627907],0
v4,1,0.048345,3.897941,[59  5] ; [16  5],[56.47058824  7.52941176] ; [18.52941176  2.47058824],0
r2,1,0.048345,3.897941,[59  5] ; [16  5],[56.47058824  7.52941176] ; [18.52941176  2.47058824],0
p7,1,0.052242,3.767987,[38 25] ; [ 8 14],[34.09411765 28.90588235] ; [11.90588235 10.09411765],0
d2,1,0.061173,3.505293,[18 46] ; [11 11],[21.58139535 42.41860465] ; [ 7.41860465 14.58139535],0
b1,1,0.07153,3.247552,[16 48] ; [10 12],[19.34883721 44.65116279] ; [ 6.65116279 15.34883721],0
a1,1,0.096879,2.756184,[ 1 63] ; [ 2 20],[ 2.23255814 61.76744186] ; [ 0.76744186 21.23255814],0
p8,1,0.110941,2.540762,[29 33] ; [ 6 16],[25.83333333 36.16666667] ; [ 9.16666667 12.83333333],0
a5,1,0.11408,2.496774,[44 20] ; [11 11],[40.93023256 23.06976744] ; [14.06976744  7.93023256],0
d4,1,0.115005,2.484066,[49 15] ; [13  9],[46.13953488 17.86046512] ; [15.86046512  6.13953488],0
s6,1,0.116484,2.463974,[46 14] ; [13  9],[43.17073171 16.82926829] ; [15.82926829  6.17073171],0
p4,1,0.138113,2.198864,[35 29] ; [ 8 14],[32. 32.] ; [11. 11.],0
n5,1,0.150216,2.070059,[43 21] ; [11 11],[40.18604651 23.81395349] ; [13.81395349  8.18604651],0
s5,1,0.175927,1.831696,[25 32] ; [ 6 16],[22.36708861 34.63291139] ; [ 8.63291139 13.36708861],0
n3,1,0.233297,1.420648,[12  4] ; [7 6],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
u3,1,0.237884,1.393092,[12 13] ; [7 3],[13.57142857 11.42857143] ; [5.42857143 4.57142857],0
a2,1,0.29304,1.105601,[ 8 56] ; [ 1 21],[ 6.69767442 57.30232558] ; [ 2.30232558 19.69767442],0
n4,1,0.369675,0.804757,[39 25] ; [11 11],[37.20930233 26.79069767] ; [12.79069767  9.20930233],0
s3,1,0.399134,0.710934,[38 25] ; [11 11],[36.31764706 26.68235294] ; [12.68235294  9.31764706],0
n1,1,0.435819,0.607265,[ 4 12] ; [5 8],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
p3,1,0.541382,0.372984,[31 33] ; [ 9 13],[29.76744186 34.23255814] ; [10.23255814 11.76744186],0
u2,1,0.589154,0.291667,[10 15] ; [5 5],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
v1,1,0.598481,0.277293,[24 39] ; [ 7 15],[22.97647059 40.02352941] ; [ 8.02352941 13.97647059],0
a3,1,0.598564,0.277168,[39 25] ; [12 10],[37.95348837 26.04651163] ; [13.04651163  8.95348837],0
v3,1,0.617535,0.249348,[14 46] ; [ 4 18],[13.17073171 46.82926829] ; [ 4.82926829 17.17073171],0
d1,1,0.631462,0.230083,[27 37] ; [ 8 14],[26.04651163 37.95348837] ; [ 8.95348837 13.04651163],0
u1,1,0.651832,0.203598,[ 4 60] ; [ 2 20],[ 4.46511628 59.53488372] ; [ 1.53488372 20.46511628],0
b5,1,0.692021,0.156907,[38 26] ; [12 10],[37.20930233 26.79069767] ; [12.79069767  9.20930233],0
