Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000167,14.175,[42 18] ; [ 6 18],[34.28571429 25.71428571] ; [13.71428571 10.28571429],1
n4,1,0.002108,9.453195,[44 16] ; [ 9 15],[37.85714286 22.14285714] ; [15.14285714  8.85714286],0
s7,1,0.003138,8.725563,[31 27] ; [ 4 19],[25.0617284 32.9382716] ; [ 9.9382716 13.0617284],0
v4,1,0.007422,7.168,[57  3] ; [18  6],[53.57142857  6.42857143] ; [21.42857143  2.57142857],0
d1,1,0.018661,5.532991,[37 23] ; [ 8 16],[32.14285714 27.85714286] ; [12.85714286 11.14285714],0
d3,1,0.026766,4.905833,[47 13] ; [13 11],[42.85714286 17.14285714] ; [17.14285714  6.85714286],0
d5,1,0.039227,4.251012,[50 10] ; [15  9],[46.42857143 13.57142857] ; [18.57142857  5.42857143],0
a7,1,0.059183,3.560125,[43 17] ; [12 12],[39.28571429 20.71428571] ; [15.71428571  8.28571429],0
s8,1,0.064046,3.429394,[25 34] ; [ 5 19],[21.3253012 37.6746988] ; [ 8.6746988 15.3253012],0
u1,1,0.08588,2.949956,[15 45] ; [ 2 22],[12.14285714 47.85714286] ; [ 4.85714286 19.14285714],0
b1,1,0.09731,2.749091,[28 32] ; [16  8],[31.42857143 28.57142857] ; [12.57142857 11.42857143],0
s2,1,0.128629,2.30897,[30 28] ; [ 8 16],[26.87804878 31.12195122] ; [11.12195122 12.87804878],0
u3,1,0.245237,1.350234,[13 12] ; [8 3],[14.58333333 10.41666667] ; [6.41666667 4.58333333],0
p2,1,0.264616,1.244444,[47 13] ; [16  8],[45. 15.] ; [18.  6.],0
d4,1,0.264616,1.244444,[47 13] ; [16  8],[45. 15.] ; [18.  6.],0
p6,1,0.325653,0.966107,[24 35] ; [ 7 17],[22.03614458 36.96385542] ; [ 8.96385542 15.03614458],0
v2,1,0.331628,0.942529,[31 27] ; [10 14],[29. 29.] ; [12. 12.],0
b5,1,0.383839,0.75837,[41 19] ; [14 10],[39.28571429 20.71428571] ; [15.71428571  8.28571429],0
p5,1,0.406906,0.687823,[ 6 54] ; [ 1 22],[ 5.06024096 54.93975904] ; [ 1.93975904 21.06024096],0
r1,1,0.411659,0.674005,[43 17] ; [15  9],[41.42857143 18.57142857] ; [16.57142857  7.42857143],0
a5,1,0.428308,0.627407,[37 23] ; [17  7],[38.57142857 21.42857143] ; [15.42857143  8.57142857],0
s3,1,0.437201,0.603618,[35 24] ; [12 12],[33.40963855 25.59036145] ; [13.59036145 10.40963855],0
p3,1,0.447294,0.5775,[33 27] ; [11 13],[31.42857143 28.57142857] ; [12.57142857 11.42857143],0
u2,1,0.490843,0.474677,[ 8 16] ; [5 6],[ 8.91428571 15.08571429] ; [4.08571429 6.91428571],0
r4,1,0.492072,0.471993,[49 11] ; [18  6],[47.85714286 12.14285714] ; [19.14285714  4.85714286],0
v3,1,0.494685,0.46632,[20 39] ; [ 6 17],[18.70731707 40.29268293] ; [ 7.29268293 15.70731707],0
d2,1,0.534445,0.385933,[32 28] ; [11 13],[30.71428571 29.28571429] ; [12.28571429 11.71428571],0
n3,1,0.555086,0.348284,[11  6] ; [9 3],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
p1,1,0.556732,0.345395,[ 5 55] ; [ 3 21],[ 5.71428571 54.28571429] ; [ 2.28571429 21.71428571],0
r2,1,0.55855,0.342222,[52  7] ; [20  4],[51.18072289  7.81927711] ; [20.81927711  3.18072289],0
a4,1,0.579944,0.306325,[29 31] ; [10 14],[27.85714286 32.14285714] ; [11.14285714 12.85714286],0
a8,1,0.662044,0.191051,[ 7 46] ; [ 2 19],[ 6.44594595 46.55405405] ; [ 2.55405405 18.44594595],0
s5,1,0.668751,0.183066,[15 42] ; [ 5 18],[14.25 42.75] ; [ 5.75 17.25],0
s4,1,0.675759,0.174939,[12 46] ; [ 4 20],[11.31707317 46.68292683] ; [ 4.68292683 19.31707317],0
n2,1,0.689995,0.159091,[13  3] ; [9 3],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
a2,1,0.725238,0.123529,[12 48] ; [ 4 20],[11.42857143 48.57142857] ; [ 4.57142857 19.42857143],0
a3,1,0.727383,0.121528,[35 25] ; [13 11],[34.28571429 25.71428571] ; [13.71428571 10.28571429],0
s6,1,0.755026,0.097356,[39 20] ; [15  9],[38.38554217 20.61445783] ; [15.61445783  8.38554217],0
n1,1,0.773675,0.082697,[9 8] ; [7 5],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
s1,1,0.788741,0.071795,[ 4 56] ; [ 2 22],[ 4.28571429 55.71428571] ; [ 1.71428571 22.28571429],0
p8,1,0.794133,0.068094,[28 32] ; [10 13],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
v1,1,0.832152,0.04492,[24 36] ; [ 9 15],[23.57142857 36.42857143] ; [ 9.42857143 14.57142857],0
a6,1,0.834837,0.043473,[34 26] ; [13 11],[33.57142857 26.42857143] ; [13.42857143 10.57142857],0
p11,1,0.835811,0.042955,[29 31] ; [11 13],[28.57142857 31.42857143] ; [11.42857143 12.57142857],0
a1,1,0.871291,0.02625,[ 3 57] ; [ 1 23],[ 2.85714286 57.14285714] ; [ 1.14285714 22.85714286],0
b4,1,0.888196,0.019765,[36 24] ; [14 10],[35.71428571 24.28571429] ; [14.28571429  9.71428571],0
p9,1,0.943358,0.005048,[23 37] ; [ 9 15],[22.85714286 37.14285714] ; [ 9.14285714 14.85714286],0
p7,1,0.944844,0.004786,[32 28] ; [13 11],[32.14285714 27.85714286] ; [12.85714286 11.14285714],0
