Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.2e-05,19.127066,[62 15] ; [10 18],[52.8 24.2] ; [19.2  8.8],1
p2,1,3e-05,17.435167,[63 12] ; [12 16],[54.61165049 20.38834951] ; [20.38834951  7.61165049],1
d3,1,0.001076,10.692174,[59 18] ; [12 16],[52.06666667 24.93333333] ; [18.93333333  9.06666667],0
r1,1,0.01511,5.903542,[57 19] ; [14 14],[51.88461538 24.11538462] ; [19.11538462  8.88461538],0
d1,1,0.017109,5.68516,[45 32] ; [ 9 19],[39.6 37.4] ; [14.4 13.6],0
a1,1,0.022501,5.206612,[ 2 75] ; [ 4 24],[ 4.4 72.6] ; [ 1.6 26.4],0
p9,1,0.026282,4.937382,[63 10] ; [18  9],[59.13 13.87] ; [21.87  5.13],0
b5,1,0.035646,4.413938,[53 24] ; [13 15],[48.4 28.6] ; [17.6 10.4],0
d4,1,0.039335,4.246324,[66 11] ; [19  9],[62.33333333 14.66666667] ; [22.66666667  5.33333333],0
b3,1,0.048652,3.887333,[14 19] ; [ 3 16],[10.78846154 22.21153846] ; [ 6.21153846 12.78846154],0
b2,1,0.048652,3.887333,[14 19] ; [ 3 16],[10.78846154 22.21153846] ; [ 6.21153846 12.78846154],0
r2,1,0.059111,3.562152,[74  3] ; [24  4],[71.86666667  5.13333333] ; [26.13333333  1.86666667],0
s3,1,0.060964,3.510972,[67 10] ; [20  8],[63.8 13.2] ; [23.2  4.8],0
n1,1,0.096985,2.754438,[ 6 20] ; [6 6],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
r3,1,0.115298,2.480062,[75  1] ; [26  2],[73.80769231  2.19230769] ; [27.19230769  0.80769231],0
a4,1,0.12821,2.31405,[21 56] ; [12 16],[24.2 52.8] ; [ 8.8 19.2],0
a2,1,0.12909,2.303415,[15 62] ; [ 2 26],[12.46666667 64.53333333] ; [ 4.53333333 23.46666667],0
v3,1,0.134182,2.243437,[21 50] ; [ 4 23],[18.1122449 52.8877551] ; [ 6.8877551 20.1122449],0
p10,1,0.135355,2.229992,[59 14] ; [18  9],[56.21 16.79] ; [20.79  6.21],0
b1,1,0.147764,2.095182,[24 53] ; [13 15],[27.13333333 49.86666667] ; [ 9.86666667 18.13333333],0
d5,1,0.15742,1.998834,[60 17] ; [18 10],[57.2 19.8] ; [20.8  7.2],0
v4,1,0.189244,1.723492,[73  3] ; [25  3],[71.61538462  4.38461538] ; [26.38461538  1.61538462],0
r4,1,0.197673,1.659483,[66 11] ; [21  7],[63.8 13.2] ; [23.2  4.8],0
a8,1,0.203978,1.613663,[ 3 68] ; [ 3 24],[ 4.34693878 66.65306122] ; [ 1.65306122 25.34693878],0
n5,1,0.210907,1.565187,[29 47] ; [ 7 21],[26.30769231 49.69230769] ; [ 9.69230769 18.30769231],0
u2,1,0.23102,1.434567,[18 11] ; [5 7],[16.26829268 12.73170732] ; [6.73170732 5.26829268],0
u3,1,0.261698,1.259752,[22  7] ; [7 5],[20.51219512  8.48780488] ; [8.48780488 3.51219512],0
n6,1,0.27355,1.198857,[49 26] ; [15 13],[46.60194175 28.39805825] ; [17.39805825 10.60194175],0
s7,1,0.312259,1.021096,[36 36] ; [10 16],[33.79591837 38.20408163] ; [12.20408163 13.79591837],0
s6,1,0.337258,0.920828,[66 11] ; [21  6],[64.41346154 12.58653846] ; [22.58653846  4.41346154],0
