Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5e-06,20.667383,[ 5 27] ; [73 47],[16.42105263 15.57894737] ; [61.57894737 58.42105263],1
p7,1,8e-06,19.880184,[10 22] ; [87 31],[20.69333333 11.30666667] ; [76.30666667 41.69333333],1
p4,1,0.000279,13.203035,[10 22] ; [82 41],[18.99354839 13.00645161] ; [73.00645161 49.99354839],1
n5,1,0.001632,9.92385,[15 17] ; [93 30],[22.29677419  9.70322581] ; [85.70322581 37.29677419],0
p3,1,0.019263,5.477516,[10 22] ; [67 56],[15.89677419 16.10322581] ; [61.10322581 61.89677419],0
p6,1,0.019834,5.426488,[ 8 24] ; [58 63],[13.80392157 18.19607843] ; [52.19607843 68.80392157],0
a6,1,0.031293,4.63679,[15 17] ; [83 40],[20.23225806 11.76774194] ; [77.76774194 45.23225806],0
a2,1,0.035172,4.436822,[ 2 30] ; [28 95],[ 6.19354839 25.80645161] ; [23.80645161 99.19354839],0
p11,1,0.039493,4.239524,[18 14] ; [92 31],[22.70967742  9.29032258] ; [87.29032258 35.70967742],0
v2,1,0.040777,4.185268,[19 11] ; [51 69],[14. 16.] ; [56. 64.],0
s3,1,0.05505,3.680582,[18 13] ; [92 30],[22.2875817  8.7124183] ; [87.7124183 34.2875817],0
s7,1,0.091979,2.8394,[13 16] ; [75 46],[17.01333333 11.98666667] ; [70.98666667 50.01333333],0
p12,1,0.10511,2.626239,[ 4 27] ; [  6 117],[ 2.01298701 28.98701299] ; [  7.98701299 115.01298701],0
p5,1,0.228015,1.453202,[ 1 31] ; [ 12 111],[ 2.68387097 29.31612903] ; [ 10.31612903 112.68387097],0
n4,1,0.234956,1.410607,[18 14] ; [83 40],[20.8516129 11.1483871] ; [80.1483871 42.8516129],0
a1,1,0.277071,1.181402,[ 2 30] ; [  3 120],[ 1.03225806 30.96774194] ; [  3.96774194 119.03225806],0
u1,1,0.311957,1.022373,[ 4 28] ; [25 98],[ 5.98709677 26.01290323] ; [23.01290323 99.98709677],0
r2,1,0.384943,0.754857,[31  1] ; [113   9],[29.92207792  2.07792208] ; [114.07792208   7.92207792],0
d1,1,0.385198,0.754046,[16 16] ; [72 51],[18.16774194 13.83225806] ; [69.83225806 53.16774194],0
s1,1,0.416388,0.660486,[ 2 29] ; [  4 118],[ 1.21568627 29.78431373] ; [  4.78431373 117.21568627],0
p10,1,0.419709,0.651129,[24  7] ; [102  20],[25.52941176  5.47058824] ; [100.47058824  21.52941176],0
s5,1,0.432907,0.615012,[16 11] ; [58 56],[14.17021277 12.82978723] ; [59.82978723 54.17021277],0
d5,1,0.44015,0.595891,[24  8] ; [99 23],[25.55844156  6.44155844] ; [97.44155844 24.55844156],0
d3,1,0.444445,0.58478,[22 10] ; [92 30],[23.68831169  8.31168831] ; [90.31168831 31.68831169],0
n3,1,0.478308,0.502719,[9 4] ; [23  6],[9.9047619 3.0952381] ; [22.0952381  6.9047619],0
n1,1,0.480933,0.496746,[5 8] ; [ 8 21],[4.02380952 8.97619048] ; [ 8.97619048 20.02380952],0
s2,1,0.493572,0.468731,[20 10] ; [89 33],[21.51315789  8.48684211] ; [87.48684211 34.51315789],0
b1,1,0.495028,0.46558,[13 19] ; [42 81],[11.35483871 20.64516129] ; [43.64516129 79.35483871],0
u2,1,0.510358,0.433333,[5 7] ; [21 19],[6. 6.] ; [20. 20.],0
n6,1,0.51989,0.414111,[28  4] ; [101  21],[26.80519481  5.19480519] ; [102.19480519  19.80519481],0
a7,1,0.531605,0.391323,[21 11] ; [87 35],[22.44155844  9.55844156] ; [85.55844156 36.44155844],0
a3,1,0.595097,0.282454,[20 12] ; [83 40],[21.26451613 10.73548387] ; [81.73548387 41.26451613],0
v3,1,0.603564,0.269654,[ 8 23] ; [37 84],[ 9.17763158 21.82236842] ; [35.82236842 85.17763158],0
a8,1,0.626447,0.23691,[ 1 30] ; [  6 106],[ 1.51748252 29.48251748] ; [  5.48251748 106.51748252],0
n2,1,0.656148,0.198237,[10  3] ; [24  5],[10.52380952  2.47619048] ; [23.47619048  5.52380952],0
r4,1,0.657352,0.196757,[29  3] ; [108  15],[28.28387097  3.71612903] ; [108.71612903  14.28387097],0
s8,1,0.661483,0.191727,[15 17] ; [63 60],[16.10322581 15.89677419] ; [61.89677419 61.10322581],0
u3,1,0.677166,0.173333,[8 4] ; [24 16],[7.38461538 4.61538462] ; [24.61538462 15.38461538],0
d4,1,0.685424,0.164084,[25  7] ; [100  23],[25.80645161  6.19354839] ; [99.19354839 23.80645161],0
s6,1,0.721295,0.127255,[26  4] ; [100  19],[25.36912752  4.63087248] ; [100.63087248  18.36912752],0
b4,1,0.751062,0.100641,[18 14] ; [73 50],[18.78709677 13.21290323] ; [72.21290323 50.78709677],0
a5,1,0.773674,0.082698,[21 11] ; [84 39],[21.67741935 10.32258065] ; [83.32258065 39.67741935],0
p9,1,0.793406,0.068587,[25  5] ; [104  18],[25.46052632  4.53947368] ; [103.53947368  18.46052632],0
a4,1,0.801694,0.063079,[13 19] ; [53 70],[13.62580645 18.37419355] ; [52.37419355 70.62580645],0
b2,1,0.808433,0.058781,[ 4 16] ; [14 48],[ 4.3902439 15.6097561] ; [13.6097561 48.3902439],0
b3,1,0.808433,0.058781,[ 4 16] ; [14 48],[ 4.3902439 15.6097561] ; [13.6097561 48.3902439],0
p1,1,0.820954,0.05122,[ 3 29] ; [ 10 113],[ 2.68387097 29.31612903] ; [ 10.31612903 112.68387097],0
v1,1,0.827765,0.047336,[14 18] ; [56 66],[14.54545455 17.45454545] ; [55.45454545 66.54545455],0
b5,1,0.874687,0.024872,[20 12] ; [75 48],[19.61290323 12.38709677] ; [75.38709677 47.61290323],0
