Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.391758,[ 47 115] ; [82 62],[68.29411765 93.70588235] ; [60.70588235 83.29411765],1
v2,1,3e-06,21.806531,[78 84] ; [109  38],[98.03883495 63.96116505] ; [88.96116505 58.03883495],1
p2,1,0.000172,14.113773,[115  53] ; [131  21],[129.15  38.85] ; [116.85  35.15],1
p3,1,0.000249,13.41852,[ 52 115] ; [78 74],[68.05642633 98.94357367] ; [61.94357367 90.05642633],1
p4,1,0.000634,11.672524,[68 99] ; [91 61],[83.23824451 83.76175549] ; [75.76175549 76.23824451],1
p8,1,0.000983,10.85938,[ 55 110] ; [78 73],[69.44620253 95.55379747] ; [63.55379747 87.44620253],1
n5,1,0.002163,9.40621,[108  59] ; [121  30],[120.26100629  46.73899371] ; [108.73899371  42.26100629],0
p5,1,0.003417,8.570256,[  7 161] ; [ 20 130],[ 14.26415094 153.73584906] ; [ 12.73584906 137.26415094],0
v4,1,0.004131,8.225315,[149  18] ; [148   4],[155.48275862  11.51724138] ; [141.51724138  10.48275862],0
p9,1,0.006892,7.3009,[121  45] ; [128  22],[130.80379747  35.19620253] ; [118.19620253  31.80379747],0
s6,1,0.01021,6.59789,[91 75] ; [104  47],[102.11356467  63.88643533] ; [92.88643533 58.11356467],0
p11,1,0.011123,6.445565,[118  50] ; [126  27],[127.70093458  40.29906542] ; [116.29906542  36.70093458],0
p7,1,0.030171,4.699505,[75 91] ; [85 63],[84.58598726 81.41401274] ; [75.41401274 72.58598726],0
s5,1,0.030806,4.663759,[ 42 122] ; [55 94],[ 50.82428115 113.17571885] ; [ 46.17571885 102.82428115],0
b3,1,0.036185,4.388347,[31 74] ; [42 54],[38.13432836 66.86567164] ; [34.86567164 61.13432836],0
b2,1,0.036185,4.388347,[31 74] ; [42 54],[38.13432836 66.86567164] ; [34.86567164 61.13432836],0
p12,1,0.037428,4.330827,[  6 162] ; [ 14 138],[ 10.5 157.5] ; [  9.5 142.5],0
n6,1,0.038568,4.27981,[130  37] ; [131  20],[137.06603774  29.93396226] ; [123.93396226  27.06603774],0
n4,1,0.038623,4.27736,[118  50] ; [122  30],[126.  42.] ; [114.  38.],0
s1,1,0.045733,3.991393,[  7 160] ; [  1 149],[  4.21451104 162.78548896] ; [  3.78548896 146.21451104],0
r4,1,0.046098,3.978003,[140  28] ; [139  14],[146.01869159  21.98130841] ; [132.98130841  20.01869159],0
r1,1,0.051248,3.800143,[135  32] ; [134  17],[141.2672956  25.7327044] ; [127.7327044  23.2672956],0
u2,1,0.061271,3.502643,[20 20] ; [21  8],[23.76811594 16.23188406] ; [17.23188406 11.76811594],0
r3,1,0.067835,3.334638,[152  15] ; [147   6],[156.040625  10.959375] ; [142.959375  10.040625],0
n2,1,0.073302,3.207477,[30 25] ; [25  9],[33.98876404 21.01123596] ; [21.01123596 12.98876404],0
p10,1,0.074843,3.173479,[124  44] ; [124  27],[130.60815047  37.39184953] ; [117.39184953  33.60815047],0
b5,1,0.093201,2.818202,[99 69] ; [104  49],[106.24299065  61.75700935] ; [96.75700935 56.24299065],0
n3,1,0.10505,2.627149,[31 23] ; [26  9],[34.58426966 19.41573034] ; [22.41573034 12.58426966],0
a1,1,0.109128,2.566806,[  9 159] ; [  3 150],[  6.28037383 161.71962617] ; [  5.71962617 147.28037383],0
s8,1,0.112939,2.512604,[ 61 107] ; [68 83],[ 67.93730408 100.06269592] ; [61.06269592 89.93730408],0
b4,1,0.137603,2.204558,[107  61] ; [85 68],[100.48598131  67.51401869] ; [91.51401869 61.48598131],0
s2,1,0.140196,2.175811,[73 94] ; [78 72],[79.5488959 87.4511041] ; [71.4511041 78.5488959],0
a7,1,0.174052,1.847695,[134  33] ; [113  40],[128.903125  38.096875] ; [118.096875  34.903125],0
a5,1,0.197601,1.66002,[131  37] ; [128  25],[135.55140187  32.44859813] ; [123.44859813  29.55140187],0
u3,1,0.197839,1.658256,[22 19] ; [20  9],[24.6 16.4] ; [17.4 11.6],0
s4,1,0.206032,1.599092,[ 26 142] ; [ 16 134],[ 22.18867925 145.81132075] ; [ 19.81132075 130.18867925],0
a3,1,0.237544,1.395111,[127  41] ; [124  29],[131.36448598  36.63551402] ; [119.63551402  33.36448598],0
d3,1,0.246794,1.341361,[151  16] ; [132  21],[147.690625  19.309375] ; [135.309375  17.690625],0
u4,1,0.346802,0.885125,[  2 166] ; [  4 149],[  3.14018692 164.85981308] ; [  2.85981308 150.14018692],0
p1,1,0.357275,0.847448,[  8 160] ; [ 11 142],[  9.94392523 158.05607477] ; [  9.05607477 143.94392523],0
a4,1,0.395462,0.722082,[91 76] ; [90 62],[94.75548589 72.24451411] ; [86.24451411 65.75548589],0
a8,1,0.419507,0.651697,[ 17 136] ; [ 19 114],[ 19.25874126 133.74125874] ; [ 16.74125874 116.25874126],0
n1,1,0.419618,0.651385,[18 37] ; [14 20],[19.7752809 35.2247191] ; [12.2247191 21.7752809],0
s7,1,0.437126,0.603816,[66 92] ; [67 78],[69.35313531 88.64686469] ; [63.64686469 81.35313531],0
u1,1,0.547385,0.362023,[ 38 130] ; [ 39 114],[ 40.29906542 127.70093458] ; [ 36.70093458 116.29906542],0
a2,1,0.622811,0.241936,[ 56 112] ; [55 98],[ 58.09345794 109.90654206] ; [ 52.90654206 100.09345794],0
d5,1,0.637134,0.22251,[163   4] ; [148   5],[162.303125   4.696875] ; [148.696875   4.303125],0
s3,1,0.696589,0.152044,[86 81] ; [80 69],[87.7278481 79.2721519] ; [78.2721519 70.7278481],0
r2,1,0.730045,0.119071,[156   9] ; [145   7],[156.67192429   8.32807571] ; [144.32807571   7.67192429],0
a6,1,0.820398,0.051544,[127  40] ; [118  35],[127.859375  39.140625] ; [117.140625  35.859375],0
d2,1,0.940043,0.005657,[118  47] ; [110  43],[118.30188679  46.69811321] ; [109.69811321  43.30188679],0
b1,1,0.973833,0.001076,[ 59 109] ; [54 99],[ 59.14018692 108.85981308] ; [53.85981308 99.14018692],0
