Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.3654,[97 24] ; [ 4 13],[88.55797101 32.44202899] ; [12.44202899  4.55797101],1
r2,1,3.6e-05,17.055357,[106  15] ; [8 9],[99.95652174 21.04347826] ; [14.04347826  2.95652174],1
r3,1,0.000104,15.055736,[107  13] ; [9 8],[101.60583942  18.39416058] ; [14.39416058  2.60583942],1
p10,1,0.006672,7.359307,[82 37] ; [ 6 11],[77. 42.] ; [11.  6.],0
n2,1,0.008004,7.032479,[37  8] ; [2 4],[34.41176471 10.58823529] ; [4.58823529 1.41176471],0
u3,1,0.008179,6.993897,[35 25] ; [1 8],[31.30434783 28.69565217] ; [4.69565217 4.30434783],0
s1,1,0.012126,6.292377,[  4 116] ; [ 3 14],[  6.13138686 113.86861314] ; [ 0.86861314 16.13138686],0
p9,1,0.015045,5.911151,[89 29] ; [8 9],[84.78518519 33.21481481] ; [12.21481481  4.78518519],0
n6,1,0.015165,5.897178,[79 41] ; [ 6 11],[74.45255474 45.54744526] ; [10.54744526  6.45255474],0
v2,1,0.015798,5.825184,[49 67] ; [ 2 15],[44.48120301 71.51879699] ; [ 6.51879699 10.48120301],0
d5,1,0.029782,4.721847,[62 58] ; [ 4 13],[57.81021898 62.18978102] ; [8.18978102 8.81021898],0
r1,1,0.101854,2.676273,[75 46] ; [ 7 10],[71.89855072 49.10144928] ; [10.10144928  6.89855072],0
s5,1,0.106059,2.61198,[27 91] ; [ 1 16],[24.47407407 93.52592593] ; [ 3.52592593 13.47407407],0
s7,1,0.123432,2.373217,[37 82] ; [ 2 14],[34.37777778 84.62222222] ; [ 4.62222222 11.37777778],0
p11,1,0.12585,2.342957,[80 41] ; [8 9],[77.15942029 43.84057971] ; [10.84057971  6.15942029],0
p2,1,0.130637,2.284917,[86 35] ; [9 8],[83.29710145 37.70289855] ; [11.70289855  5.29710145],0
s8,1,0.146331,2.110085,[34 86] ; [ 2 15],[31.53284672 88.46715328] ; [ 4.46715328 12.53284672],0
p8,1,0.192156,1.701012,[47 73] ; [9 7],[49.41176471 70.58823529] ; [6.58823529 9.41176471],0
s2,1,0.220626,1.500294,[47 74] ; [ 4 13],[44.7173913 76.2826087] ; [ 6.2826087 10.7173913],0
a7,1,0.22272,1.486756,[75 45] ; [8 9],[72.70072993 47.29927007] ; [10.29927007  6.70072993],0
s6,1,0.243101,1.362523,[60 59] ; [ 6 11],[57.75 61.25] ; [8.25 8.75],0
p1,1,0.260829,1.264351,[  6 115] ; [ 2 15],[  7.01449275 113.98550725] ; [ 0.98550725 16.01449275],0
u2,1,0.263088,1.252437,[32 28] ; [3 6],[30.43478261 29.56521739] ; [4.56521739 4.43478261],0
a6,1,0.301118,1.069237,[66 55] ; [ 7 10],[64.00724638 56.99275362] ; [8.99275362 8.00724638],0
b3,1,0.432072,0.617247,[12 41] ; [1 8],[11.11290323 41.88709677] ; [1.88709677 7.11290323],0
b2,1,0.432072,0.617247,[12 41] ; [1 8],[11.11290323 41.88709677] ; [1.88709677 7.11290323],0
s3,1,0.506736,0.4408,[53 68] ; [ 6 11],[51.73188406 69.26811594] ; [7.26811594 9.73188406],0
n5,1,0.554407,0.349481,[51 68] ; [ 6 11],[49.875 69.125] ; [7.125 9.875],0
d3,1,0.554407,0.349481,[51 68] ; [ 6 11],[49.875 69.125] ; [7.125 9.875],0
p6,1,0.577257,0.31069,[28 90] ; [ 3 14],[27.0962963 90.9037037] ; [ 3.9037037 13.0962963],0
a4,1,0.597512,0.278765,[22 99] ; [ 4 13],[22.79710145 98.20289855] ; [ 3.20289855 13.79710145],0
v3,1,0.615767,0.251862,[27 90] ; [ 3 14],[26.19402985 90.80597015] ; [ 3.80597015 13.19402985],0
a5,1,0.653656,0.201322,[50 71] ; [8 9],[50.85507246 70.14492754] ; [7.14492754 9.85507246],0
b1,1,0.653656,0.201322,[50 71] ; [8 9],[50.85507246 70.14492754] ; [7.14492754 9.85507246],0
n1,1,0.653896,0.201023,[11 33] ; [1 5],[10.56 33.44] ; [1.44 4.56],0
p7,1,0.707776,0.140509,[67 49] ; [9 8],[66.28571429 49.71428571] ; [9.71428571 7.28571429],0
b5,1,0.739852,0.110257,[66 55] ; [10  7],[66.63768116 54.36231884] ; [9.36231884 7.63768116],0
a8,1,0.817159,0.053454,[  9 105] ; [ 1 15],[  8.76923077 105.23076923] ; [ 1.23076923 14.76923077],0
n3,1,0.82242,0.05037,[32 13] ; [4 2],[31.76470588 13.23529412] ; [4.23529412 1.76470588],0
d2,1,0.837503,0.042061,[ 19 102] ; [ 3 14],[ 19.28985507 101.71014493] ; [ 2.71014493 14.28985507],0
v1,1,0.840825,0.040336,[45 74] ; [ 6 11],[44.625 74.375] ; [ 6.375 10.625],0
a3,1,0.870743,0.026476,[59 61] ; [8 9],[58.68613139 61.31386861] ; [8.31386861 8.68613139],0
d4,1,0.93938,0.005783,[70 51] ; [10  7],[70.14492754 50.85507246] ; [9.85507246 7.14492754],0
b4,1,0.951981,0.003626,[65 56] ; [9 8],[64.88405797 56.11594203] ; [9.11594203 7.88405797],0
s4,1,0.971619,0.001266,[28 93] ; [ 4 13],[28.05797101 92.94202899] ; [ 3.94202899 13.05797101],0
p3,1,0.977064,0.000827,[36 85] ; [ 5 12],[35.94927536 85.05072464] ; [ 5.05072464 11.94927536],0
p4,1,0.978512,0.000725,[49 71] ; [ 7 10],[49.05109489 70.94890511] ; [ 6.94890511 10.05109489],0
