Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.388659,[15 50] ; [16  4],[23.70588235 41.29411765] ; [ 7.29411765 12.70588235],1
v1,1,3.7e-05,17.019882,[18 46] ; [16  4],[25.9047619 38.0952381] ; [ 8.0952381 11.9047619],1
s2,1,0.000109,14.98129,[15 50] ; [14  6],[22.17647059 42.82352941] ; [ 6.82352941 13.17647059],1
s8,1,0.000125,14.711538,[ 7 58] ; [10 10],[13. 52.] ; [ 4. 16.],1
s5,1,0.000728,11.416962,[ 6 55] ; [ 8 10],[10.81012658 50.18987342] ; [ 3.18987342 14.81012658],1
s4,1,0.009347,6.755339,[ 5 60] ; [ 6 14],[ 8.41176471 56.58823529] ; [ 2.58823529 17.41176471],0
s3,1,0.010473,6.552618,[21 43] ; [13  7],[25.9047619 38.0952381] ; [ 8.0952381 11.9047619],0
p6,1,0.01796,5.6,[ 4 60] ; [ 5 15],[ 6.85714286 57.14285714] ; [ 2.14285714 17.85714286],0
n1,1,0.062521,3.469219,[11 18] ; [6 2],[13.32432432 15.67567568] ; [3.67567568 4.32432432],0
p9,1,0.06449,3.417969,[33 31] ; [15  5],[36.57142857 27.42857143] ; [11.42857143  8.57142857],0
u3,1,0.074457,3.181918,[13 14] ; [6 1],[15.08823529 11.91176471] ; [3.91176471 3.08823529],0
n2,1,0.078974,3.085894,[16 14] ; [7 1],[18.15789474 11.84210526] ; [4.84210526 3.15789474],0
u2,1,0.084695,2.972426,[12 15] ; [5 1],[13.90909091 13.09090909] ; [3.09090909 2.90909091],0
b3,1,0.094429,2.797203,[14 22] ; [8 4],[16.5 19.5] ; [5.5 6.5],0
b2,1,0.094429,2.797203,[14 22] ; [8 4],[16.5 19.5] ; [5.5 6.5],0
r4,1,0.101693,2.678788,[39 26] ; [16  4],[42.05882353 22.94117647] ; [12.94117647  7.05882353],0
p10,1,0.128624,2.309039,[26 38] ; [12  8],[28.95238095 35.04761905] ; [ 9.04761905 10.95238095],0
v4,1,0.160908,1.965668,[44 21] ; [16  3],[46.42857143 18.57142857] ; [13.57142857  5.42857143],0
r3,1,0.165096,1.92692,[45 20] ; [17  3],[47.41176471 17.58823529] ; [14.58823529  5.41176471],0
p2,1,0.175554,1.834865,[31 34] ; [13  7],[33.64705882 31.35294118] ; [10.35294118  9.64705882],0
d3,1,0.175554,1.834865,[31 34] ; [13  7],[33.64705882 31.35294118] ; [10.35294118  9.64705882],0
n5,1,0.181894,1.782078,[27 38] ; [ 5 15],[24.47058824 40.52941176] ; [ 7.52941176 12.47058824],0
v2,1,0.191587,1.705372,[22 40] ; [9 8],[24.32911392 37.67088608] ; [ 6.67088608 10.32911392],0
b1,1,0.201066,1.634615,[30 35] ; [ 6 14],[27.52941176 37.47058824] ; [ 8.47058824 11.52941176],0
v3,1,0.298856,1.079291,[16 45] ; [ 7 11],[17.75949367 43.24050633] ; [ 5.24050633 12.75949367],0
n3,1,0.311898,1.022623,[16 13] ; [6 2],[17.24324324 11.75675676] ; [4.75675676 3.24324324],0
p12,1,0.371808,0.797614,[ 1 64] ; [ 1 19],[ 1.52941176 63.47058824] ; [ 0.47058824 19.52941176],0
d4,1,0.416466,0.660265,[46 19] ; [16  4],[47.41176471 17.58823529] ; [14.58823529  5.41176471],0
d1,1,0.428673,0.626417,[26 39] ; [10 10],[27.52941176 37.47058824] ; [ 8.47058824 11.52941176],0
a7,1,0.437672,0.602379,[42 23] ; [11  9],[40.52941176 24.47058824] ; [12.47058824  7.52941176],0
b4,1,0.516895,0.420085,[41 24] ; [11  9],[39.76470588 25.23529412] ; [12.23529412  7.76470588],0
a5,1,0.520995,0.411923,[37 28] ; [13  7],[38.23529412 26.76470588] ; [11.76470588  8.23529412],0
p8,1,0.559782,0.340081,[10 55] ; [ 4 15],[10.83333333 54.16666667] ; [ 3.16666667 15.83333333],0
p11,1,0.601702,0.272436,[25 40] ; [ 9 11],[26. 39.] ; [ 8. 12.],0
d2,1,0.601702,0.272436,[27 38] ; [ 7 13],[26. 39.] ; [ 8. 12.],0
r2,1,0.638291,0.220984,[55  9] ; [18  2],[55.61904762  8.38095238] ; [17.38095238  2.61904762],0
n4,1,0.651792,0.203648,[33 32] ; [ 9 11],[32.11764706 32.88235294] ; [ 9.88235294 10.11764706],0
a3,1,0.653,0.202139,[38 26] ; [13  7],[38.85714286 25.14285714] ; [12.14285714  7.85714286],0
p3,1,0.65564,0.198864,[13 51] ; [ 5 15],[13.71428571 50.28571429] ; [ 4.28571429 15.71428571],0
p4,1,0.67046,0.181065,[16 49] ; [ 4 16],[15.29411765 49.70588235] ; [ 4.70588235 15.29411765],0
a8,1,0.672485,0.178709,[ 5 58] ; [ 2 16],[ 5.44444444 57.55555556] ; [ 1.55555556 16.44444444],0
a6,1,0.688251,0.160985,[39 26] ; [13  7],[39.76470588 25.23529412] ; [12.23529412  7.76470588],0
p1,1,0.75376,0.098398,[ 8 57] ; [ 3 17],[ 8.41176471 56.58823529] ; [ 2.58823529 17.41176471],0
a2,1,0.75376,0.098398,[ 8 57] ; [ 3 17],[ 8.41176471 56.58823529] ; [ 2.58823529 17.41176471],0
b5,1,0.83293,0.044498,[34 31] ; [11  9],[34.41176471 30.58823529] ; [10.58823529  9.41176471],0
r1,1,0.83973,0.040901,[40 24] ; [13  7],[40.38095238 23.61904762] ; [12.61904762  7.38095238],0
a4,1,0.875842,0.024412,[24 41] ; [ 7 13],[23.70588235 41.29411765] ; [ 7.29411765 12.70588235],0
u1,1,0.943375,0.005045,[ 3 62] ; [ 1 19],[ 3.05882353 61.94117647] ; [ 0.94117647 19.05882353],0
d5,1,0.947946,0.004262,[45 20] ; [14  6],[45.11764706 19.88235294] ; [13.88235294  6.11764706],0
