Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.839454,[ 3 14] ; [70 13],[12.41  4.59] ; [60.59 22.41],1
p9,1,0.000389,12.582904,[ 4 12] ; [58 23],[10.22680412  5.77319588] ; [51.77319588 29.22680412],1
v4,1,0.000619,11.71765,[9 8] ; [73 10],[13.94  3.06] ; [68.06 14.94],1
s2,1,0.003293,8.637606,[ 2 15] ; [42 41],[7.48 9.52] ; [36.52 46.48],0
p11,1,0.004198,8.196064,[ 4 13] ; [51 32],[9.35 7.65] ; [45.65 37.35],0
s6,1,0.004773,7.963558,[ 4 13] ; [50 32],[9.27272727 7.72727273] ; [44.72727273 37.27272727],0
n6,1,0.00497,7.89033,[7 9] ; [64 18],[11.59183673  4.40816327] ; [59.40816327 22.59183673],0
v2,1,0.006767,7.333684,[ 4 13] ; [46 31],[9.04255319 7.95744681] ; [40.95744681 36.04255319],0
s8,1,0.008191,6.991245,[ 2 15] ; [38 44],[ 6.86868687 10.13131313] ; [33.13131313 48.86868687],0
r2,1,0.016618,5.736296,[12  3] ; [78  3],[14.0625  0.9375] ; [75.9375  5.0625],0
s7,1,0.018098,5.586638,[ 3 11] ; [44 35],[7.07526882 6.92473118] ; [39.92473118 39.07526882],0
r1,1,0.023473,5.133138,[8 9] ; [62 21],[11.9  5.1] ; [58.1 24.9],0
p10,1,0.032175,4.589155,[ 6 11] ; [52 30],[9.95959596 7.04040404] ; [48.04040404 33.95959596],0
u1,1,0.045705,3.99244,[ 1 16] ; [24 59],[ 4.25 12.75] ; [20.75 62.25],0
u2,1,0.054514,3.696875,[1 4] ; [11  5],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
p5,1,0.067235,3.349262,[ 3 14] ; [ 4 76],[ 1.22680412 15.77319588] ; [ 5.77319588 74.22680412],0
s3,1,0.076169,3.144816,[ 5 12] ; [44 39],[8.33 8.67] ; [40.67 42.33],0
p6,1,0.085748,2.952444,[ 1 16] ; [20 61],[ 3.64285714 13.35714286] ; [17.35714286 63.64285714],0
n2,1,0.106103,2.611331,[4 7] ; [23 13],[6.31914894 4.68085106] ; [20.68085106 15.31914894],0
s5,1,0.111272,2.536055,[ 2 15] ; [24 54],[ 4.65263158 12.34736842] ; [21.34736842 56.65263158],0
b5,1,0.122919,2.37973,[ 7 10] ; [51 32],[9.86 7.14] ; [48.14 34.86],0
u3,1,0.123778,2.368852,[2 3] ; [13  4],[3.40909091 1.59090909] ; [11.59090909  5.40909091],0
v3,1,0.136209,2.220273,[ 3 14] ; [27 47],[ 5.6043956 11.3956044] ; [24.3956044 49.6043956],0
n3,1,0.140562,2.171791,[4 7] ; [21 13],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
a2,1,0.163769,1.939071,[ 3 14] ; [29 54],[ 5.44 11.56] ; [26.56 56.44],0
p4,1,0.167323,1.906763,[ 3 13] ; [30 52],[ 5.3877551 10.6122449] ; [27.6122449 54.3877551],0
v1,1,0.171933,1.86601,[ 4 13] ; [33 47],[ 6.48453608 10.51546392] ; [30.51546392 49.48453608],0
d2,1,0.195617,1.6748,[10  6] ; [63 18],[12.04123711  3.95876289] ; [60.95876289 20.04123711],0
d5,1,0.217881,1.518276,[16  1] ; [80  1],[16.65306122  0.34693878] ; [79.34693878  1.65306122],0
a7,1,0.224577,1.474882,[10  7] ; [61 22],[12.07  4.93] ; [58.93 24.07],0
a6,1,0.238755,1.38793,[9 8] ; [55 26],[11.10204082  5.89795918] ; [52.89795918 28.10204082],0
s1,1,0.278795,1.172953,[ 2 15] ; [ 4 78],[ 1.03030303 15.96969697] ; [ 4.96969697 77.03030303],0
b1,1,0.283664,1.149453,[10  7] ; [37 46],[7.99 9.01] ; [39.01 43.99],0
p7,1,0.306136,1.047273,[ 3 12] ; [27 54],[ 4.6875 10.3125] ; [25.3125 55.6875],0
a5,1,0.349968,0.873572,[12  5] ; [67 16],[13.43  3.57] ; [65.57 17.43],0
p1,1,0.39803,0.714269,[ 2 15] ; [ 5 78],[ 1.19 15.81] ; [ 5.81 77.19],0
b2,1,0.40231,0.701411,[ 4 10] ; [24 35],[5.36986301 8.63013699] ; [22.63013699 36.36986301],0
b3,1,0.40231,0.701411,[ 4 10] ; [24 35],[5.36986301 8.63013699] ; [22.63013699 36.36986301],0
p8,1,0.418087,0.655687,[ 5 12] ; [17 66],[ 3.74 13.26] ; [18.26 64.74],0
a3,1,0.418087,0.655687,[12  5] ; [66 17],[13.26  3.74] ; [64.74 18.26],0
p3,1,0.429385,0.624487,[ 4 13] ; [27 54],[ 5.37755102 11.62244898] ; [25.62244898 55.37755102],0
a4,1,0.564776,0.331502,[9 7] ; [53 30],[10.02020202  5.97979798] ; [51.97979798 31.02020202],0
d3,1,0.575651,0.313318,[15  2] ; [67 14],[14.2244898  2.7755102] ; [67.7755102 13.2244898],0
a1,1,0.661957,0.191155,[ 2 15] ; [ 7 76],[ 1.53 15.47] ; [ 7.47 75.53],0
s4,1,0.841724,0.039876,[ 3 14] ; [16 65],[ 3.29591837 13.70408163] ; [15.70408163 65.29591837],0
b4,1,0.872956,0.02557,[11  6] ; [52 31],[10.71  6.29] ; [52.29 30.71],0
n1,1,0.918098,0.010574,[5 6] ; [17 19],[5.14893617 5.85106383] ; [16.85106383 19.14893617],0
n5,1,0.946936,0.004429,[11  6] ; [53 30],[10.88  6.12] ; [53.12 29.88],0
n4,1,0.953674,0.003375,[12  5] ; [58 25],[11.9  5.1] ; [58.1 24.9],0
