Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.001424,10.174419,[31 12] ; [ 9 18],[24.57142857 18.42857143] ; [15.42857143 11.57142857],0
r4,1,0.002046,9.507356,[24 19] ; [ 5 22],[17.81428571 25.18571429] ; [11.18571429 15.81428571],0
r3,1,0.00297,8.825694,[34  9] ; [12 15],[28.25714286 14.74285714] ; [17.74285714  9.25714286],0
p11,1,0.003232,8.671847,[25 18] ; [ 6 21],[19.04285714 23.95714286] ; [11.95714286 15.04285714],0
v4,1,0.004837,7.93939,[32 11] ; [11 16],[26.41428571 16.58571429] ; [16.58571429 10.41428571],0
n5,1,0.04357,4.07314,[31 12] ; [13 14],[27.02857143 15.97142857] ; [16.97142857 10.02857143],0
d2,1,0.053289,3.734832,[16 25] ; [17 10],[19.89705882 21.10294118] ; [13.10294118 13.89705882],0
a1,1,0.063611,3.440646,[ 3 40] ; [ 6 21],[ 5.52857143 37.47142857] ; [ 3.47142857 23.52857143],0
b4,1,0.088907,2.894057,[28 15] ; [12 15],[24.57142857 18.42857143] ; [15.42857143 11.57142857],0
s5,1,0.090222,2.870399,[10 32] ; [ 2 24],[ 7.41176471 34.58823529] ; [ 4.58823529 21.41176471],0
s6,1,0.092001,2.839007,[18 25] ; [ 6 21],[14.74285714 28.25714286] ; [ 9.25714286 17.74285714],0
b1,1,0.12601,2.340978,[19 24] ; [17 10],[22.11428571 20.88571429] ; [13.88571429 13.11428571],0
n4,1,0.132535,2.262553,[27 16] ; [12 15],[23.95714286 19.04285714] ; [15.04285714 11.95714286],0
p10,1,0.15288,2.043273,[22 20] ; [ 9 17],[19.14705882 22.85294118] ; [11.85294118 14.14705882],0
d4,1,0.15593,2.013257,[31 12] ; [15 12],[28.25714286 14.74285714] ; [17.74285714  9.25714286],0
s8,1,0.203419,1.617655,[10 33] ; [ 3 24],[ 7.98571429 35.01428571] ; [ 5.01428571 21.98571429],0
p1,1,0.209904,1.572089,[ 6 37] ; [ 7 20],[ 7.98571429 35.01428571] ; [ 5.01428571 21.98571429],0
p9,1,0.220407,1.50172,[22 16] ; [11 15],[19.59375 18.40625] ; [13.40625 12.59375],0
a4,1,0.255152,1.29487,[13 29] ; [12 15],[15.2173913 26.7826087] ; [ 9.7826087 17.2173913],0
u2,1,0.259656,1.270588,[ 7 10] ; [2 8],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
n1,1,0.314736,1.010695,[ 6 11] ; [6 5],[7.28571429 9.71428571] ; [4.71428571 6.28571429],0
r2,1,0.317208,1.000423,[30 11] ; [16 10],[28.14925373 12.85074627] ; [17.85074627  8.14925373],0
p8,1,0.319688,0.990221,[11 32] ; [ 4 22],[ 9.34782609 33.65217391] ; [ 5.65217391 20.34782609],0
v2,1,0.33549,0.92759,[15 24] ; [ 7 19],[13.2 25.8] ; [ 8.8 17.2],0
s2,1,0.351449,0.868217,[14 29] ; [ 6 21],[12.28571429 30.71428571] ; [ 7.71428571 19.28571429],0
s3,1,0.361956,0.831095,[12 31] ; [10 16],[13.71014493 29.28985507] ; [ 8.28985507 17.71014493],0
u1,1,0.375979,0.783807,[ 4 39] ; [ 1 26],[ 3.07142857 39.92857143] ; [ 1.92857143 25.07142857],0
a5,1,0.43556,0.607953,[23 20] ; [17 10],[24.57142857 18.42857143] ; [15.42857143 11.57142857],0
n2,1,0.494084,0.467621,[12  5] ; [7 5],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
b2,1,0.527854,0.398521,[11 16] ; [10 10],[12.06382979 14.93617021] ; [ 8.93617021 11.06382979],0
b3,1,0.527854,0.398521,[11 16] ; [10 10],[12.06382979 14.93617021] ; [ 8.93617021 11.06382979],0
p3,1,0.544708,0.366883,[11 32] ; [ 5 21],[ 9.97101449 33.02898551] ; [ 6.02898551 19.97101449],0
s1,1,0.547532,0.361757,[ 3 40] ; [ 3 24],[ 3.68571429 39.31428571] ; [ 2.31428571 24.68571429],0
a8,1,0.550763,0.355952,[ 3 39] ; [ 1 26],[ 2.43478261 39.56521739] ; [ 1.56521739 25.43478261],0
a7,1,0.584076,0.299691,[22 21] ; [12 15],[20.88571429 22.11428571] ; [13.11428571 13.88571429],0
v3,1,0.621509,0.243752,[10 31] ; [ 5 21],[ 9.17910448 31.82089552] ; [ 5.82089552 20.17910448],0
s4,1,0.682154,0.167711,[ 8 35] ; [ 4 23],[ 7.37142857 35.62857143] ; [ 4.62857143 22.37142857],0
p6,1,0.700199,0.148264,[ 8 34] ; [ 4 22],[ 7.41176471 34.58823529] ; [ 4.58823529 21.41176471],0
a6,1,0.720058,0.128437,[22 21] ; [15 12],[22.72857143 20.27142857] ; [14.27142857 12.72857143],0
d3,1,0.720058,0.128437,[21 22] ; [12 15],[20.27142857 22.72857143] ; [12.72857143 14.27142857],0
p4,1,0.749702,0.101782,[11 32] ; [ 6 21],[10.44285714 32.55714286] ; [ 6.55714286 20.44285714],0
u3,1,0.778096,0.079412,[ 6 11] ; [3 7],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
a3,1,0.83446,0.043675,[26 17] ; [17 10],[26.41428571 16.58571429] ; [16.58571429 10.41428571],0
d5,1,0.83446,0.043675,[26 17] ; [17 10],[26.41428571 16.58571429] ; [16.58571429 10.41428571],0
n3,1,0.875948,0.02437,[9 8] ; [6 6],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
p7,1,0.876587,0.024117,[12 31] ; [ 8 19],[12.28571429 30.71428571] ; [ 7.71428571 19.28571429],0
d1,1,0.926243,0.00857,[18 25] ; [11 16],[17.81428571 25.18571429] ; [11.18571429 15.81428571],0
a2,1,0.947257,0.004376,[ 5 38] ; [ 3 24],[ 4.91428571 38.08571429] ; [ 3.08571429 23.91428571],0
s7,1,0.956419,0.002986,[ 9 31] ; [ 6 20],[ 9.09090909 30.90909091] ; [ 5.90909091 20.09090909],0
v1,1,0.974475,0.001024,[12 29] ; [ 8 19],[12.05882353 28.94117647] ; [ 7.94117647 19.05882353],0
