Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.006672,7.359267,[46 60] ; [ 2 17],[40.704 65.296] ; [ 7.296 11.704],0
b3,1,0.006672,7.359267,[46 60] ; [ 2 17],[40.704 65.296] ; [ 7.296 11.704],0
s2,1,0.010418,6.562,[ 57 105] ; [19 13],[63.46391753 98.53608247] ; [12.53608247 19.46391753],0
s6,1,0.011835,6.335491,[75 87] ; [22  9],[81.41968912 80.58031088] ; [15.58031088 15.41968912],0
s3,1,0.015557,5.852297,[73 88] ; [22 10],[79.24870466 81.75129534] ; [15.75129534 16.24870466],0
u1,1,0.02345,5.134857,[  5 158] ; [ 4 29],[  7.48469388 155.51530612] ; [ 1.51530612 31.48469388],0
s7,1,0.029394,4.744389,[ 55 100] ; [17 13],[60.32432432 94.67567568] ; [11.67567568 18.32432432],0
d3,1,0.099548,2.712777,[ 59 104] ; [17 16],[63.20408163 99.79591837] ; [12.79591837 20.20408163],0
s1,1,0.102278,2.669655,[  8 155] ; [ 4 28],[ 10.03076923 152.96923077] ; [ 1.96923077 30.03076923],0
b4,1,0.108361,2.577958,[94 69] ; [14 19],[89.81632653 73.18367347] ; [18.18367347 14.81632653],0
s5,1,0.121569,2.396985,[ 40 119] ; [12 19],[ 43.51578947 115.48421053] ; [ 8.48421053 22.51578947],0
v2,1,0.147595,2.096932,[70 85] ; [10 22],[66.31016043 88.68983957] ; [13.68983957 18.31016043],0
u3,1,0.196158,1.670753,[19 37] ; [6 5],[20.89552239 35.10447761] ; [4.10447761 6.89552239],0
p4,1,0.226298,1.463977,[67 94] ; [10 23],[63.90206186 97.09793814] ; [13.09793814 19.90206186],0
a8,1,0.235905,1.404897,[ 15 138] ; [ 1 30],[ 13.30434783 139.69565217] ; [ 2.69565217 28.30434783],0
p5,1,0.263819,1.248608,[ 14 146] ; [ 1 32],[ 12.43523316 147.56476684] ; [ 2.56476684 30.43523316],0
d4,1,0.303731,1.057743,[113  49] ; [20 13],[110.49230769  51.50769231] ; [22.50769231 10.49230769],0
b5,1,0.309561,1.032547,[80 83] ; [13 20],[77.34183673 85.65816327] ; [15.65816327 17.34183673],0
p1,1,0.314459,1.011855,[ 13 150] ; [ 1 32],[ 11.64285714 151.35714286] ; [ 2.35714286 30.64285714],0
n3,1,0.324465,0.970862,[32 20] ; [12  4],[33.64705882 18.35294118] ; [10.35294118  5.64705882],0
v4,1,0.32684,0.961377,[137  24] ; [25  7],[135.13989637  25.86010363] ; [26.86010363  5.13989637],0
p7,1,0.414347,0.666294,[70 90] ; [17 16],[72.12435233 87.87564767] ; [14.87564767 18.12435233],0
s8,1,0.445766,0.581394,[ 53 110] ; [13 20],[ 54.8877551 108.1122449] ; [11.1122449 21.8877551],0
p2,1,0.459949,0.54602,[109  53] ; [20 13],[107.16923077  54.83076923] ; [21.83076923 11.16923077],0
a5,1,0.544037,0.368109,[103  60] ; [19 14],[101.45918367  61.54081633] ; [20.54081633 12.45918367],0
n2,1,0.551429,0.354763,[38 16] ; [10  6],[37.02857143 16.97142857] ; [10.97142857  5.02857143],0
p11,1,0.554802,0.348784,[110  53] ; [24  9],[111.43877551  51.56122449] ; [22.56122449 10.43877551],0
p10,1,0.621857,0.243266,[104  58] ; [22 10],[105.21649485  56.78350515] ; [20.78350515 11.21649485],0
p12,1,0.629787,0.23235,[  7 156] ; [ 2 30],[  7.52307692 155.47692308] ; [ 1.47692308 30.52307692],0
r3,1,0.643515,0.214174,[134  29] ; [26  7],[133.06122449  29.93877551] ; [26.93877551  6.06122449],0
