Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,2e-06,22.168865,[  8 137] ; [6 8],[ 12.7672956 132.2327044] ; [ 1.2327044 12.7672956],1
p12,1,0.012376,6.256245,[  3 142] ; [ 2 12],[  4.55974843 140.44025157] ; [ 0.44025157 13.55974843],0
p4,1,0.013735,6.071919,[70 73] ; [11  2],[74.25 68.75] ; [6.75 6.25],0
a8,1,0.014753,5.945691,[ 11 115] ; [4 9],[ 13.5971223 112.4028777] ; [ 1.4028777 11.5971223],0
p8,1,0.015304,5.881144,[46 98] ; [9 5],[50.12658228 93.87341772] ; [4.87341772 9.12658228],0
a6,1,0.030549,4.678135,[85 60] ; [ 4 10],[81.16352201 63.83647799] ; [7.83647799 6.16352201],0
s3,1,0.0343,4.479673,[70 73] ; [11  3],[73.77707006 69.22292994] ; [7.22292994 6.77707006],0
s6,1,0.04179,4.143682,[91 50] ; [12  1],[94.30519481 46.69480519] ; [8.69480519 4.30519481],0
v2,1,0.046183,3.974905,[70 72] ; [ 3 11],[66.44871795 75.55128205] ; [6.55128205 7.44871795],0
n5,1,0.05425,3.704984,[99 46] ; [13  1],[102.13836478  42.86163522] ; [9.86163522 4.13836478],0
a3,1,0.063305,3.448613,[96 46] ; [6 8],[92.84615385 49.15384615] ; [9.15384615 4.84615385],0
s8,1,0.068527,3.317954,[56 87] ; [9 5],[59.20382166 83.79617834] ; [5.79617834 8.20382166],0
a2,1,0.146781,2.105386,[ 35 110] ; [ 1 13],[ 32.83018868 112.16981132] ; [ 3.16981132 10.83018868],0
s1,1,0.149154,2.08088,[  7 136] ; [ 2 12],[  8.19745223 134.80254777] ; [ 0.80254777 13.19745223],0
p3,1,0.160471,1.969784,[55 90] ; [8 6],[57.45283019 87.54716981] ; [5.54716981 8.45283019],0
a5,1,0.204352,1.610992,[97 48] ; [7 7],[94.8427673 50.1572327] ; [9.1572327 4.8427673],0
s7,1,0.217732,1.519257,[62 70] ; [9 5],[64.19178082 67.80821918] ; [6.80821918 7.19178082],0
r1,1,0.230378,1.438528,[101  42] ; [12  2],[102.92356688  40.07643312] ; [10.07643312  3.92356688],0
n3,1,0.249187,1.327857,[33 17] ; [2 3],[31.81818182 18.18181818] ; [3.18181818 1.81818182],0
v1,1,0.251466,1.315142,[59 84] ; [8 6],[61.02547771 81.97452229] ; [5.97452229 8.02547771],0
r4,1,0.281618,1.159267,[118  27] ; [13  1],[119.46540881  25.53459119] ; [11.53459119  2.46540881],0
b5,1,0.306959,1.043715,[102  43] ; [8 6],[100.31446541  44.68553459] ; [9.68553459 4.31446541],0
u2,1,0.32002,0.988864,[15 32] ; [4 4],[16.23636364 30.76363636] ; [2.76363636 5.23636364],0
p6,1,0.395425,0.722195,[45 97] ; [6 8],[46.42307692 95.57692308] ; [4.57692308 9.42307692],0
p2,1,0.397893,0.714684,[98 47] ; [11  3],[99.40251572 45.59748428] ; [9.59748428 4.40251572],0
n2,1,0.416976,0.658824,[39 12] ; [3 2],[38.25 12.75] ; [3.75 1.25],0
b3,1,0.42697,0.63105,[23 48] ; [2 8],[21.91358025 49.08641975] ; [3.08641975 6.91358025],0
b2,1,0.42697,0.63105,[23 48] ; [2 8],[21.91358025 49.08641975] ; [3.08641975 6.91358025],0
s4,1,0.457837,0.551178,[ 33 111] ; [ 2 12],[ 31.89873418 112.10126582] ; [ 3.10126582 10.89873418],0
v3,1,0.462018,0.541002,[47 95] ; [6 8],[48.24358974 93.75641026] ; [4.75641026 9.24358974],0
a1,1,0.488453,0.479933,[  5 140] ; [ 1 13],[  5.47169811 139.52830189] ; [ 0.52830189 13.47169811],0
d5,1,0.501201,0.452392,[114  30] ; [10  4],[113.01265823  30.98734177] ; [10.98734177  3.01265823],0
p7,1,0.525358,0.403362,[74 69] ; [6 8],[72.86624204 70.13375796] ; [7.13375796 6.86624204],0
b1,1,0.526229,0.401667,[75 70] ; [6 8],[73.86792453 71.13207547] ; [7.13207547 6.86792453],0
a4,1,0.581112,0.30444,[62 81] ; [5 9],[61.02547771 81.97452229] ; [5.97452229 8.02547771],0
d3,1,0.607749,0.263466,[93 51] ; [10  4],[93.87341772 50.12658228] ; [9.12658228 4.87341772],0
d2,1,0.609818,0.26044,[72 72] ; [8 6],[72.91139241 71.08860759] ; [7.08860759 6.91139241],0
s2,1,0.609818,0.26044,[72 72] ; [8 6],[72.91139241 71.08860759] ; [7.08860759 6.91139241],0
p9,1,0.616581,0.250703,[90 49] ; [10  4],[90.8496732 48.1503268] ; [9.1503268 4.8496732],0
d1,1,0.78584,0.07383,[78 67] ; [7 7],[77.51572327 67.48427673] ; [7.48427673 6.51572327],0
u1,1,0.797618,0.065757,[ 27 118] ; [ 3 11],[ 27.35849057 117.64150943] ; [ 2.64150943 11.35849057],0
b4,1,0.810186,0.05769,[78 67] ; [8 6],[78.42767296 66.57232704] ; [7.57232704 6.42767296],0
d4,1,0.820423,0.05153,[110  35] ; [11  3],[110.34591195  34.65408805] ; [10.65408805  3.34591195],0
u3,1,0.826824,0.047863,[22 26] ; [4 4],[22.28571429 25.71428571] ; [3.71428571 4.28571429],0
p10,1,0.828654,0.046841,[83 59] ; [8 5],[83.36774194 58.63225806] ; [7.63225806 5.36774194],0
r3,1,0.908584,0.013185,[125  19] ; [12  2],[124.86075949  19.13924051] ; [12.13924051  1.86075949],0
