Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,58.634786,[110   8] ; [ 8 19],[96.02758621 21.97241379] ; [21.97241379  5.02758621],1
v4,1,2.5e-05,17.76099,[116   2] ; [21  6],[111.48965517   6.51034483] ; [25.51034483  1.48965517],1
r4,1,4.4e-05,16.690804,[109   9] ; [17 10],[102.53793103  15.46206897] ; [23.46206897  3.53793103],1
p2,1,4.7e-05,16.547009,[96 21] ; [12 15],[87.75 29.25] ; [20.25  6.75],1
p7,1,0.00012,14.797682,[80 35] ; [ 8 19],[71.26760563 43.73239437] ; [16.73239437 10.26760563],1
p3,1,0.000418,12.448678,[70 47] ; [ 6 21],[61.75 55.25] ; [14.25 12.75],1
r3,1,0.000436,12.372062,[112   6] ; [19  7],[107.34722222  10.65277778] ; [23.65277778  2.34722222],1
p11,1,0.001188,10.508504,[93 25] ; [13 14],[86.26206897 31.73793103] ; [19.73793103  7.26206897],0
v2,1,0.004873,7.925856,[93 23] ; [14 12],[87.4084507 28.5915493] ; [19.5915493  6.4084507],0
p4,1,0.005981,7.556013,[73 44] ; [ 9 18],[66.625 50.375] ; [15.375 11.625],0
n1,1,0.0063,7.462289,[ 4 19] ; [5 2],[ 6.9 16.1] ; [2.1 4.9],0
r1,1,0.006525,7.399359,[98 20] ; [16 11],[92.77241379 25.22758621] ; [21.22758621  5.77241379],0
p8,1,0.013435,6.110889,[65 51] ; [ 8 19],[59.21678322 56.78321678] ; [13.78321678 13.21678322],0
a5,1,0.014855,5.933563,[89 29] ; [14 13],[83.82068966 34.17931034] ; [19.17931034  7.82068966],0
b1,1,0.018019,5.594286,[37 81] ; [15 12],[42.31724138 75.68275862] ; [ 9.68275862 17.31724138],0
n5,1,0.025429,4.994456,[94 24] ; [16 11],[89.51724138 28.48275862] ; [20.48275862  6.51724138],0
b3,1,0.049227,3.867609,[35 46] ; [ 3 14],[31.40816327 49.59183673] ; [ 6.59183673 10.40816327],0
b2,1,0.049227,3.867609,[35 46] ; [ 3 14],[31.40816327 49.59183673] ; [ 6.59183673 10.40816327],0
d1,1,0.054714,3.690774,[72 46] ; [11 16],[67.54482759 50.45517241] ; [15.45517241 11.54482759],0
p6,1,0.057401,3.610943,[47 70] ; [ 5 20],[42.84507042 74.15492958] ; [ 9.15492958 15.84507042],0
n6,1,0.06108,3.50782,[104  14] ; [20  7],[100.91034483  17.08965517] ; [23.08965517  3.91034483],0
s5,1,0.062663,3.465457,[29 87] ; [ 2 23],[25.5035461 90.4964539] ; [ 5.4964539 19.5035461],0
v1,1,0.077298,3.120816,[77 39] ; [13 14],[73.00699301 42.99300699] ; [16.99300699 10.00699301],0
s6,1,0.104904,2.629361,[56 60] ; [ 8 18],[52.28169014 63.71830986] ; [11.71830986 14.28169014],0
s7,1,0.12932,2.300654,[45 63] ; [ 6 18],[41.72727273 66.27272727] ; [ 9.27272727 14.72727273],0
u1,1,0.15641,2.008592,[22 96] ; [ 2 25],[19.53103448 98.46896552] ; [ 4.46896552 22.53103448],0
a1,1,0.171609,1.868828,[  8 110] ; [ 4 23],[  9.76551724 108.23448276] ; [ 2.23448276 24.76551724],0
d5,1,0.334365,0.931918,[97 21] ; [20  7],[95.2137931 22.7862069] ; [21.7862069  5.2137931],0
a8,1,0.395524,0.721891,[14 83] ; [ 2 23],[12.72131148 84.27868852] ; [ 3.27868852 21.72131148],0
u2,1,0.478105,0.503182,[21 12] ; [4 4],[20.12195122 12.87804878] ; [4.87804878 3.12195122],0
b5,1,0.480902,0.496817,[70 48] ; [18  9],[71.6137931 46.3862069] ; [16.3862069 10.6137931],0
a3,1,0.534632,0.385581,[85 32] ; [18  9],[83.6875 33.3125] ; [19.3125  7.6875],0
s8,1,0.564563,0.331865,[43 74] ; [ 8 18],[41.72727273 75.27272727] ; [ 9.27272727 16.72727273],0
a7,1,0.575598,0.313405,[88 30] ; [18  8],[86.86111111 31.13888889] ; [19.13888889  6.86111111],0
a2,1,0.66347,0.189336,[26 92] ; [ 7 20],[26.85517241 91.14482759] ; [ 6.14482759 20.85517241],0
d4,1,0.698349,0.150196,[99 19] ; [21  5],[98.33333333 19.66666667] ; [21.66666667  4.33333333],0
u3,1,0.706879,0.141414,[16 17] ; [5 4],[16.5 16.5] ; [4.5 4.5],0
b4,1,0.727559,0.121364,[70 48] ; [17 10],[70.8 47.2] ; [16.2 10.8],0
d3,1,0.731877,0.117395,[79 39] ; [19  8],[79.75172414 38.24827586] ; [18.24827586  8.75172414],0
s1,1,0.751117,0.100595,[  3 113] ; [ 1 26],[  3.24475524 112.75524476] ; [ 0.75524476 26.24475524],0
n3,1,0.760188,0.093168,[15  8] ; [5 2],[15.33333333  7.66666667] ; [4.66666667 2.33333333],0
s2,1,0.768812,0.086394,[21 97] ; [ 4 22],[20.48611111 97.51388889] ; [ 4.51388889 21.48611111],0
a6,1,0.842136,0.039665,[81 37] ; [18  9],[80.56551724 37.43448276] ; [18.43448276  8.56551724],0
a4,1,0.85145,0.035069,[54 63] ; [13 14],[54.4375 62.5625] ; [12.5625 14.4375],0
n4,1,0.908013,0.013351,[95 23] ; [22  5],[95.2137931 22.7862069] ; [21.7862069  5.2137931],0
r2,1,0.934325,0.006791,[107   8] ; [25  2],[106.90140845   8.09859155] ; [25.09859155  1.90140845],0
p1,1,0.98876,0.000198,[ 13 105] ; [ 3 24],[ 13.02068966 104.97931034] ; [ 2.97931034 24.02068966],0
d2,1,1.0,0.0,[59 59] ; [13 13],[59. 59.] ; [13. 13.],0
