Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,65.268136,[32 54] ; [75  2],[56.45398773 29.54601227] ; [50.54601227 26.45398773],1
d3,1,0.0,60.535209,[19 67] ; [64 13],[43.79141104 42.20858896] ; [39.20858896 37.79141104],1
d4,1,0.0,52.219309,[41 45] ; [76  1],[61.73006135 24.26993865] ; [55.26993865 21.73006135],1
d2,1,0.0,42.487648,[19 66] ; [56 20],[39.59627329 45.40372671] ; [35.40372671 40.59627329],1
a4,1,0.0,34.457672,[17 68] ; [51 27],[35.4601227 49.5398773] ; [32.5398773 45.4601227],1
a2,1,0.0,26.447601,[ 4 82] ; [29 50],[17.2 68.8] ; [15.8 63.2],1
s7,1,2.3e-05,17.941953,[15 66] ; [38 37],[27.51923077 53.48076923] ; [25.48076923 49.51923077],1
u1,1,2.9e-05,17.496425,[ 2 84] ; [19 60],[10.94545455 75.05454545] ; [10.05454545 68.94545455],1
a3,1,0.0001,15.130425,[40 44] ; [61 18],[52.04907975 31.95092025] ; [48.95092025 30.04907975],1
a5,1,0.00017,14.136554,[42 44] ; [61 18],[53.68484848 32.31515152] ; [49.31515152 29.68484848],1
a7,1,0.000171,14.123449,[39 46] ; [59 20],[50.79268293 34.20731707] ; [47.20731707 31.79268293],1
s8,1,0.005736,7.631577,[17 68] ; [31 47],[25.03067485 59.96932515] ; [22.96932515 55.03067485],0
a6,1,0.008166,6.99662,[44 42] ; [55 22],[52.23312883 33.76687117] ; [46.76687117 30.23312883],0
v2,1,0.00999,6.636669,[27 55] ; [39 34],[34.91612903 47.08387097] ; [31.08387097 41.91612903],0
r2,1,0.011447,6.394524,[66 19] ; [70  6],[71.80124224 13.19875776] ; [64.19875776 11.80124224],0
p9,1,0.01639,5.760544,[36 47] ; [48 29],[43.575 39.425] ; [40.425 36.575],0
n2,1,0.017745,5.621199,[22  4] ; [19 15],[17.76666667  8.23333333] ; [23.23333333 10.76666667],0
n6,1,0.031136,4.645445,[48 37] ; [56 21],[54.56790123 30.43209877] ; [49.43209877 27.56790123],0
n4,1,0.034076,4.490877,[49 36] ; [58 21],[55.45731707 29.54268293] ; [51.54268293 27.45731707],0
b4,1,0.082028,3.024263,[44 42] ; [51 28],[49.51515152 36.48484848] ; [45.48484848 33.51515152],0
s3,1,0.089081,2.8909,[29 54] ; [38 41],[34.32716049 48.67283951] ; [32.67283951 46.32716049],0
s1,1,0.130905,2.281735,[10 75] ; [ 4 74],[ 7.3006135 77.6993865] ; [ 6.6993865 71.3006135],0
r1,1,0.150005,2.072204,[50 35] ; [55 24],[54.42073171 30.57926829] ; [50.57926829 28.42073171],0
p10,1,0.154782,2.024476,[38 45] ; [45 34],[42.52469136 40.47530864] ; [40.47530864 38.52469136],0
s2,1,0.167342,1.906591,[26 60] ; [32 47],[30.23030303 55.76969697] ; [27.76969697 51.23030303],0
