Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.222785,[227  52] ; [89 55],[208.42553191  70.57446809] ; [107.57446809  36.42553191],1
p2,1,2.2e-05,17.967347,[248  31] ; [107  40],[232.5  46.5] ; [122.5  24.5],1
p6,1,0.000115,14.873803,[123 147] ; [ 38 107],[104.74698795 165.25301205] ; [56.25301205 88.74698795],1
p3,1,0.002372,9.236554,[164 114] ; [64 83],[149.13882353 128.86117647] ; [78.86117647 68.13882353],0
p9,1,0.003786,8.38373,[245  30] ; [114  31],[235.05952381  39.94047619] ; [123.94047619  21.05952381],0
s8,1,0.003993,8.28691,[148 131] ; [56 90],[133.92 145.08] ; [70.08 75.92],0
p4,1,0.004564,8.044567,[186  92] ; [76 68],[172.5971564 105.4028436] ; [89.4028436 54.5971564],0
v3,1,0.004766,7.966253,[167 107] ; [67 77],[153.38755981 120.61244019] ; [80.61244019 63.38755981],0
p8,1,0.006687,7.355177,[164 109] ; [66 77],[150.9375 122.0625] ; [79.0625 63.9375],0
p5,1,0.009276,6.768816,[ 41 239] ; [  9 138],[ 32.78688525 247.21311475] ; [ 17.21311475 129.78688525],0
p11,1,0.009942,6.645185,[235  47] ; [107  40],[224.81118881  57.18881119] ; [117.18881119  29.81118881],0
v4,1,0.011174,6.437377,[271   9] ; [132  13],[265.50588235  14.49411765] ; [137.49411765   7.50588235],0
p7,1,0.025373,4.99827,[193  78] ; [87 57],[182.84337349  88.15662651] ; [97.15662651 46.84337349],0
s6,1,0.038185,4.29677,[199  76] ; [90 54],[189.6778043  85.3221957] ; [99.3221957 44.6778043],0
s7,1,0.043732,4.066893,[152 115] ; [66 76],[142.31295844 124.68704156] ; [75.68704156 66.31295844],0
s5,1,0.048238,3.901679,[111 162] ; [42 95],[101.87560976 171.12439024] ; [51.12439024 85.87560976],0
s4,1,0.058352,3.583622,[ 36 243] ; [ 29 117],[ 42.67058824 236.32941176] ; [ 22.32941176 123.67058824],0
b5,1,0.059941,3.53901,[178 104] ; [79 68],[168.93706294 113.06293706] ; [88.06293706 58.93706294],0
r4,1,0.064016,3.430169,[261  21] ; [128  19],[255.70629371  26.29370629] ; [133.29370629  13.70629371],0
r3,1,0.071582,3.246362,[276   5] ; [138   7],[273.08450704   7.91549296] ; [140.91549296   4.08450704],0
p12,1,0.074964,3.170845,[ 32 245] ; [  9 137],[ 26.84869976 250.15130024] ; [ 14.15130024 131.84869976],0
p10,1,0.084068,2.984447,[234  40] ; [115  31],[227.68095238  46.31904762] ; [121.31904762  24.68095238],0
n1,1,0.088178,2.907323,[19 27] ; [ 9 29],[15.33333333 30.66666667] ; [12.66666667 25.33333333],0
s2,1,0.094275,2.799821,[157 121] ; [70 76],[148.83490566 129.16509434] ; [78.16509434 67.83490566],0
n4,1,0.098959,2.722248,[229  52] ; [109  37],[222.43091335  58.56908665] ; [115.56908665  30.43091335],0
n6,1,0.102126,2.672031,[243  35] ; [119  27],[237.3490566  40.6509434] ; [124.6509434  21.3490566],0
u3,1,0.154563,2.026634,[37 21] ; [16 17],[33.78021978 24.21978022] ; [19.21978022 13.78021978],0
a4,1,0.18365,1.767834,[149 132] ; [68 79],[142.46962617 138.53037383] ; [74.53037383 72.46962617],0
u4,1,0.192605,1.697579,[ 10 272] ; [  2 145],[  7.88811189 274.11188811] ; [  4.11188811 142.88811189],0
a8,1,0.245273,1.35003,[ 41 206] ; [ 16 116],[ 37.14775726 209.85224274] ; [ 19.85224274 112.14775726],0
s1,1,0.258489,1.276833,[  9 269] ; [  2 142],[  7.2464455 270.7535545] ; [  3.7535545 140.2464455],0
a7,1,0.262654,1.254713,[208  73] ; [116  31],[212.71962617  68.28037383] ; [111.28037383  35.71962617],0
b2,1,0.302312,1.063968,[ 74 103] ; [31 57],[ 70.13207547 106.86792453] ; [34.86792453 53.13207547],0
b3,1,0.302312,1.063968,[ 74 103] ; [31 57],[ 70.13207547 106.86792453] ; [34.86792453 53.13207547],0
u1,1,0.343522,0.897243,[ 69 213] ; [ 30 117],[ 65.07692308 216.92307692] ; [ 33.92307692 113.07692308],0
d1,1,0.364561,0.822119,[211  71] ; [104  43],[207.06293706  74.93706294] ; [107.93706294  39.06293706],0
u2,1,0.392207,0.732088,[33 24] ; [15 16],[31.09090909 25.90909091] ; [16.90909091 14.09090909],0
n3,1,0.401953,0.702475,[32 15] ; [29  9],[33.72941176 13.27058824] ; [27.27058824 10.72941176],0
a5,1,0.419789,0.650905,[228  54] ; [114  33],[224.81118881  57.18881119] ; [117.18881119  29.81118881],0
d3,1,0.439255,0.598229,[224  58] ; [112  35],[220.86713287  61.13286713] ; [115.13286713  31.86713287],0
