Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.019076,5.494505,[6 1] ; [4 9],[3.5 3.5] ; [6.5 6.5],0
u3,1,0.060761,3.516484,[3 4] ; [ 1 12],[1.4 5.6] ; [ 2.6 10.4],0
s3,1,0.076967,3.12782,[4 4] ; [ 3 15],[2.15384615 5.84615385] ; [ 4.84615385 13.15384615],0
r1,1,0.076967,3.12782,[4 4] ; [ 3 15],[2.15384615 5.84615385] ; [ 4.84615385 13.15384615],0
p7,1,0.089192,2.888889,[6 2] ; [ 7 11],[4. 4.] ; [9. 9.],0
a5,1,0.093028,2.821181,[5 3] ; [ 5 13],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
s4,1,0.115078,2.483069,[3 5] ; [ 2 16],[1.53846154 6.46153846] ; [ 3.46153846 14.53846154],0
s8,1,0.115078,2.483069,[3 5] ; [ 2 16],[1.53846154 6.46153846] ; [ 3.46153846 14.53846154],0
p10,1,0.115184,2.481618,[5 3] ; [ 5 12],[3.2 4.8] ; [ 6.8 10.2],0
b5,1,0.149173,2.080688,[6 2] ; [ 8 10],[4.30769231 3.69230769] ; [9.69230769 8.30769231],0
s2,1,0.152053,2.05153,[2 6] ; [ 1 17],[0.92307692 7.07692308] ; [ 2.07692308 15.92307692],0
p11,1,0.233703,1.418182,[6 2] ; [9 9],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
r4,1,0.244551,1.354167,[3 5] ; [ 3 15],[1.84615385 6.15384615] ; [ 4.15384615 13.84615385],0
p4,1,0.271644,1.208424,[4 4] ; [ 5 13],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
a6,1,0.271644,1.208424,[4 4] ; [ 5 13],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
p8,1,0.317113,1.000817,[4 4] ; [ 5 12],[2.88 5.12] ; [ 6.12 10.88],0
a3,1,0.355703,0.853006,[1 7] ; [ 5 12],[1.92 6.08] ; [ 4.08 12.92],0
n5,1,0.393454,0.728241,[7 1] ; [13  5],[6.15384615 1.84615385] ; [13.84615385  4.15384615],0
d2,1,0.393454,0.728241,[1 7] ; [ 5 13],[1.84615385 6.15384615] ; [ 4.15384615 13.84615385],0
a4,1,0.393454,0.728241,[1 7] ; [ 5 13],[1.84615385 6.15384615] ; [ 4.15384615 13.84615385],0
p3,1,0.4176,0.657059,[3 5] ; [ 4 14],[2.15384615 5.84615385] ; [ 4.84615385 13.15384615],0
d5,1,0.4176,0.657059,[3 5] ; [ 4 14],[2.15384615 5.84615385] ; [ 4.84615385 13.15384615],0
r3,1,0.431847,0.617851,[6 2] ; [10  7],[5.12 2.88] ; [10.88  6.12],0
p9,1,0.470989,0.519655,[5 3] ; [8 9],[4.16 3.84] ; [8.84 8.16],0
v2,1,0.477197,0.505263,[1 7] ; [ 4 12],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
b1,1,0.49205,0.472041,[6 2] ; [11  7],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
v3,1,0.539667,0.376157,[1 7] ; [ 1 17],[0.61538462 7.38461538] ; [ 1.38461538 16.61538462],0
b4,1,0.555126,0.348214,[3 5] ; [9 9],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
v4,1,0.555126,0.348214,[5 3] ; [9 9],[4.30769231 3.69230769] ; [9.69230769 8.30769231],0
v1,1,0.618757,0.247619,[2 6] ; [ 3 15],[1.53846154 6.46153846] ; [ 3.46153846 14.53846154],0
d3,1,0.618757,0.247619,[2 6] ; [ 3 15],[1.53846154 6.46153846] ; [ 3.46153846 14.53846154],0
p6,1,0.668108,0.183824,[2 6] ; [ 3 14],[1.6 6.4] ; [ 3.4 13.6],0
a8,1,0.668108,0.183824,[2 6] ; [ 3 14],[1.6 6.4] ; [ 3.4 13.6],0
n6,1,0.740797,0.109428,[5 3] ; [10  8],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
n4,1,0.740797,0.109428,[5 3] ; [10  8],[4.61538462 3.38461538] ; [10.38461538  7.61538462],0
s1,1,0.918512,0.010467,[1 7] ; [ 2 16],[0.92307692 7.07692308] ; [ 2.07692308 15.92307692],0
p2,1,0.946434,0.004514,[5 3] ; [11  7],[4.92307692 3.07692308] ; [11.07692308  6.92307692],0
a7,1,0.946434,0.004514,[3 5] ; [ 7 11],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
