Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.8e-05,18.367011,[28 35] ; [ 9 66],[16.89130435 46.10869565] ; [20.10869565 54.89130435],1
r3,1,0.000147,14.415787,[62  4] ; [55 25],[52.89041096 13.10958904] ; [64.10958904 15.89041096],1
d5,1,0.000474,12.215388,[56 10] ; [46 33],[46.42758621 19.57241379] ; [55.57241379 23.42758621],1
p11,1,0.004415,8.104787,[46 20] ; [37 43],[37.52054795 28.47945205] ; [45.47945205 34.52054795],0
a5,1,0.007718,7.097798,[51 15] ; [45 35],[43.39726027 22.60273973] ; [52.60273973 27.39726027],0
v1,1,0.008061,7.019965,[36 29] ; [26 52],[28.18181818 36.81818182] ; [33.81818182 44.18181818],0
d1,1,0.010822,6.494267,[37 29] ; [28 52],[29.38356164 36.61643836] ; [35.61643836 44.38356164],0
v4,1,0.012252,6.274038,[58  7] ; [58 22],[52. 13.] ; [64. 16.],0
r1,1,0.014594,5.964854,[52 13] ; [49 31],[45.27586207 19.72413793] ; [55.72413793 24.27586207],0
p4,1,0.015867,5.817562,[33 31] ; [25 54],[25.95804196 38.04195804] ; [32.04195804 46.95804196],0
s6,1,0.018992,5.50229,[35 31] ; [27 53],[28.02739726 37.97260274] ; [33.97260274 46.02739726],0
s7,1,0.021915,5.252504,[21 42] ; [12 61],[15.28676471 47.71323529] ; [17.71323529 55.28676471],0
a3,1,0.02626,4.938807,[50 16] ; [46 33],[43.69655172 22.30344828] ; [52.30344828 26.69655172],0
p8,1,0.030164,4.699941,[29 35] ; [22 57],[22.82517483 41.17482517] ; [28.17482517 50.82517483],0
a1,1,0.038134,4.299054,[ 2 64] ; [10 70],[ 5.42465753 60.57534247] ; [ 6.57534247 73.42465753],0
r4,1,0.043675,4.069099,[50 16] ; [48 32],[44.30136986 21.69863014] ; [53.69863014 26.30136986],0
p2,1,0.046387,3.967502,[46 18] ; [44 35],[40.27972028 23.72027972] ; [49.72027972 29.27972028],0
s2,1,0.046728,3.955163,[26 40] ; [19 60],[20.48275862 45.51724138] ; [24.51724138 54.48275862],0
p3,1,0.092099,2.837302,[24 39] ; [20 60],[19.38461538 43.61538462] ; [24.61538462 55.38461538],0
s1,1,0.102583,2.664918,[ 2 62] ; [ 8 71],[ 4.47552448 59.52447552] ; [ 5.52447552 73.47552448],0
d3,1,0.118066,2.442786,[44 22] ; [42 36],[39.41666667 26.58333333] ; [46.58333333 31.41666667],0
p10,1,0.144698,2.127273,[39 25] ; [39 41],[34.66666667 29.33333333] ; [43.33333333 36.66666667],0
a8,1,0.174075,1.847492,[ 4 55] ; [11 67],[ 6.45985401 52.54014599] ; [ 8.54014599 69.45985401],0
p6,1,0.181271,1.787176,[13 48] ; [10 68],[10.09352518 50.90647482] ; [12.90647482 65.09352518],0
u2,1,0.19389,1.687806,[12  4] ; [19 15],[9.92 6.08] ; [21.08 12.92],0
r2,1,0.195377,1.676602,[57  7] ; [65 15],[54.22222222  9.77777778] ; [67.77777778 12.22222222],0
n2,1,0.204233,1.611842,[15  6] ; [15 13],[12.85714286  8.14285714] ; [17.14285714 10.85714286],0
d4,1,0.211265,1.562735,[52 14] ; [55 24],[48.70344828 17.29655172] ; [58.29655172 20.70344828],0
n3,1,0.217655,1.519768,[15  6] ; [14 12],[12.95744681  8.04255319] ; [16.04255319  9.95744681],0
a2,1,0.231399,1.432242,[ 9 57] ; [17 63],[11.75342466 54.24657534] ; [14.24657534 65.75342466],0
p7,1,0.252204,1.311055,[34 30] ; [33 43],[30.62857143 33.37142857] ; [36.37142857 39.62857143],0
b1,1,0.29039,1.117813,[33 33] ; [47 33],[36.16438356 29.83561644] ; [43.83561644 36.16438356],0
s8,1,0.292934,1.106089,[19 47] ; [17 63],[16.2739726 49.7260274] ; [19.7260274 60.2739726],0
a4,1,0.30621,1.046954,[21 45] ; [32 48],[23.95890411 42.04109589] ; [29.04109589 50.95890411],0
p9,1,0.360834,0.834989,[43 22] ; [47 33],[40.34482759 24.65517241] ; [49.65517241 30.34482759],0
p5,1,0.512909,0.428129,[ 4 61] ; [ 3 76],[ 3.15972222 61.84027778] ; [ 3.84027778 75.15972222],0
d2,1,0.528851,0.396599,[25 41] ; [34 45],[26.85517241 39.14482759] ; [32.14482759 46.85517241],0
a6,1,0.67164,0.17969,[44 22] ; [50 29],[42.7862069 23.2137931] ; [51.2137931 27.7862069],0
a7,1,0.68532,0.164199,[45 21] ; [52 28],[43.84931507 22.15068493] ; [53.15068493 26.84931507],0
u1,1,0.73183,0.117438,[ 4 62] ; [ 6 74],[ 4.52054795 61.47945205] ; [ 5.47945205 74.52054795],0
s5,1,0.771707,0.084183,[11 53] ; [12 66],[10.36619718 53.63380282] ; [12.63380282 65.36619718],0
n4,1,0.787777,0.072467,[34 32] ; [43 37],[34.80821918 31.19178082] ; [42.19178082 37.80821918],0
b5,1,0.790745,0.070407,[39 27] ; [49 31],[39.78082192 26.21917808] ; [48.21917808 31.78082192],0
n5,1,0.824309,0.049287,[30 35] ; [35 44],[29.34027778 35.65972222] ; [35.65972222 43.34027778],0
s3,1,0.829554,0.046343,[28 37] ; [35 43],[28.63636364 36.36363636] ; [34.36363636 43.63636364],0
b3,1,0.868256,0.027514,[10 26] ; [15 36],[10.34482759 25.65517241] ; [14.65517241 36.34482759],0
b2,1,0.868256,0.027514,[10 26] ; [15 36],[10.34482759 25.65517241] ; [14.65517241 36.34482759],0
n1,1,0.937057,0.006236,[ 7 12] ; [10 18],[ 6.87234043 12.12765957] ; [10.12765957 17.87234043],0
u3,1,0.98051,0.000597,[9 7] ; [19 15],[8.96 7.04] ; [19.04 14.96],0
b4,1,0.981687,0.000527,[37 29] ; [45 35],[37.06849315 28.93150685] ; [44.93150685 35.06849315],0
p1,1,0.996534,1.9e-05,[ 5 61] ; [ 6 73],[ 5.00689655 60.99310345] ; [ 5.99310345 73.00689655],0
