Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.42458,[108  19] ; [63 48],[91.24789916 35.75210084] ; [79.75210084 31.24789916],1
p7,1,1.8e-05,18.360502,[108  16] ; [68 40],[94.06896552 29.93103448] ; [81.93103448 26.06896552],1
p8,1,0.000406,12.503936,[92 33] ; [57 54],[78.91949153 46.08050847] ; [70.08050847 40.91949153],1
p3,1,0.008441,6.937427,[88 39] ; [59 53],[78.11297071 48.88702929] ; [68.88702929 43.11297071],0
p5,1,0.009676,6.693515,[32 95] ; [13 96],[ 24.21610169 102.78389831] ; [20.78389831 88.21610169],0
n6,1,0.029307,4.749512,[116  10] ; [91 19],[110.51694915  15.48305085] ; [96.48305085 13.51694915],0
a7,1,0.031273,4.637932,[95 31] ; [70 42],[87.35294118 38.64705882] ; [77.64705882 34.35294118],0
s5,1,0.035879,4.402866,[70 49] ; [48 59],[62.13274336 56.86725664] ; [55.86725664 51.13274336],0
d3,1,0.040353,4.203001,[99 28] ; [74 38],[91.92887029 35.07112971] ; [81.07112971 30.92887029],0
d1,1,0.054463,3.698462,[92 35] ; [68 44],[85.0209205 41.9790795] ; [74.9790795 37.0209205],0
n4,1,0.054845,3.68679,[113  14] ; [88 22],[107.70886076  19.29113924] ; [93.29113924 16.70886076],0
a1,1,0.069649,3.291273,[ 12 115] ; [  4 108],[  8.50209205 118.49790795] ; [  7.49790795 104.50209205],0
n5,1,0.080849,3.047757,[113  14] ; [89 21],[108.24472574  18.75527426] ; [93.75527426 16.24472574],0
b4,1,0.111881,2.527449,[82 45] ; [61 51],[75.9874477 51.0125523] ; [67.0125523 44.9874477],0
p12,1,0.112781,2.514813,[ 20 106] ; [ 10 101],[ 15.94936709 110.05063291] ; [14.05063291 96.94936709],0
r3,1,0.133436,2.252064,[126   1] ; [108   4],[124.34309623   2.65690377] ; [109.65690377   2.34309623],0
d5,1,0.133527,2.251007,[113  13] ; [93 19],[109.05882353  16.94117647] ; [96.94117647 15.05882353],0
p10,1,0.148666,2.08589,[116  10] ; [94 15],[112.59574468  13.40425532] ; [97.40425532 11.59574468],0
u1,1,0.151851,2.053557,[35 92] ; [22 90],[30.28870293 96.71129707] ; [26.71129707 85.28870293],0
b3,1,0.155582,2.016655,[45 45] ; [33 51],[40.34482759 49.65517241] ; [37.65517241 46.34482759],0
b2,1,0.155582,2.016655,[45 45] ; [33 51],[40.34482759 49.65517241] ; [37.65517241 46.34482759],0
p9,1,0.171647,1.868502,[121   5] ; [101   9],[118.52542373   7.47457627] ; [103.47457627   6.52542373],0
n3,1,0.171857,1.866667,[8 7] ; [20  7],[10.  5.] ; [18.  9.],0
n1,1,0.174144,1.846902,[11  4] ; [14 13],[8.92857143 6.07142857] ; [16.07142857 10.92857143],0
s3,1,0.183394,1.769902,[88 38] ; [83 24],[92.472103 33.527897] ; [78.527897 28.472103],0
p2,1,0.18402,1.764853,[113  14] ; [93 19],[109.46443515  17.53556485] ; [96.53556485 15.46443515],0
d4,1,0.188044,1.73288,[113  13] ; [94 18],[109.58823529  16.41176471] ; [97.41176471 14.58823529],0
a5,1,0.192915,1.695213,[109  18] ; [89 23],[105.21338912  21.78661088] ; [92.78661088 19.21338912],0
s7,1,0.230165,1.439839,[100  22] ; [80 26],[96.31578947 25.68421053] ; [83.68421053 22.31578947],0
