Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,82.482722,[ 25 105] ; [216 110],[68.70614035 61.29385965] ; [172.29385965 153.70614035],1
s3,1,0.0,75.373304,[33 96] ; [227  96],[74.20353982 54.79646018] ; [185.79646018 137.20353982],1
s8,1,0.0,46.813916,[32 99] ; [195 131],[65.07002188 65.92997812] ; [161.92997812 164.07002188],1
s7,1,0.0,46.046161,[34 88] ; [202 114],[65.73515982 56.26484018] ; [170.26484018 145.73515982],1
s5,1,0.0,40.319114,[ 21 110] ; [154 166],[50.83148559 80.16851441] ; [124.16851441 195.83148559],1
s4,1,2.3e-05,17.885424,[  8 123] ; [ 74 248],[ 23.71302428 107.28697572] ; [ 58.28697572 263.71302428],1
r3,1,0.001059,10.721299,[122   9] ; [321   4],[127.26535088   3.73464912] ; [315.73464912   9.26535088],0
p6,1,0.001708,9.839455,[45 81] ; [170 156],[59.93362832 66.06637168] ; [155.06637168 170.93362832],0
u1,1,0.009482,6.729792,[ 17 114] ; [ 78 249],[ 27.17248908 103.82751092] ; [ 67.82751092 259.17248908],0
p4,1,0.011351,6.409503,[80 49] ; [242  85],[91.09210526 37.90789474] ; [230.90789474  96.09210526],0
u3,1,0.019494,5.456663,[14 21] ; [46 26],[19.62616822 15.37383178] ; [40.37383178 31.62616822],0
p12,1,0.019835,5.426321,[  4 126] ; [ 31 295],[  9.97807018 120.02192982] ; [ 25.02192982 300.97807018],0
a1,1,0.038146,4.298515,[  3 128] ; [ 24 303],[  7.72270742 123.27729258] ; [ 19.27729258 307.72270742],0
a4,1,0.040008,4.217559,[54 77] ; [169 157],[63.92341357 67.07658643] ; [159.07658643 166.92341357],0
r2,1,0.049177,3.8693,[119  10] ; [310  11],[122.98   6.02] ; [306.02  14.98],0
r1,1,0.067564,3.341221,[103  27] ; [280  45],[109.42857143  20.57142857] ; [273.57142857  51.42857143],0
p5,1,0.068148,3.327077,[ 11 120] ; [ 48 278],[ 16.91247265 114.08752735] ; [ 42.08752735 283.91247265],0
p9,1,0.074144,3.188798,[110  20] ; [294  31],[115.42857143  14.57142857] ; [288.57142857  36.42857143],0
n6,1,0.075538,3.158382,[106  24] ; [284  39],[111.9205298  18.0794702] ; [278.0794702  44.9205298],0
a2,1,0.116982,2.457265,[ 29 102] ; [ 96 231],[35.75327511 95.24672489] ; [ 89.24672489 237.75327511],0
p10,1,0.117002,2.456995,[109  21] ; [289  35],[113.96475771  16.03524229] ; [284.03524229  39.96475771],0
n5,1,0.173743,1.850346,[98 33] ; [261  63],[103.36043956  27.63956044] ; [255.63956044  68.36043956],0
r4,1,0.197163,1.663262,[119  12] ; [308  19],[122.13318777   8.86681223] ; [304.86681223  22.13318777],0
a6,1,0.202262,1.625962,[96 35] ; [219 107],[90.29540481 40.70459519] ; [224.70459519 101.29540481],0
b3,1,0.20844,1.58223,[34 43] ; [ 76 135],[29.40972222 47.59027778] ; [ 80.59027778 130.40972222],0
b2,1,0.20844,1.58223,[34 43] ; [ 76 135],[29.40972222 47.59027778] ; [ 80.59027778 130.40972222],0
n2,1,0.243832,1.358303,[20  8] ; [51 11],[22.08888889  5.91111111] ; [48.91111111 13.08888889],0
s1,1,0.288554,1.126357,[  2 127] ; [ 11 313],[  3.70198675 125.29801325] ; [  9.29801325 314.70198675],0
b4,1,0.289214,1.123276,[69 62] ; [190 137],[74.08078603 56.91921397] ; [184.91921397 142.08078603],0
n1,1,0.290935,1.115291,[ 7 19] ; [24 38],[ 9.15909091 16.84090909] ; [21.84090909 40.15909091],0
a5,1,0.292273,1.109121,[100  31] ; [264  63],[104.11353712  26.88646288] ; [259.88646288  67.11353712],0
p3,1,0.293095,1.105348,[75 55] ; [206 121],[79.93435449 50.06564551] ; [201.06564551 125.93435449],0
