Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,49.556135,[ 9 27] ; [88 13],[25.48905109 10.51094891] ; [71.51094891 29.48905109],1
a3,1,0.000452,12.304862,[16 20] ; [77 24],[24.4379562 11.5620438] ; [68.5620438 32.4379562],1
a7,1,0.000855,11.118726,[18 18] ; [80 21],[25.75182482 10.24817518] ; [72.24817518 28.75182482],1
d3,1,0.000883,11.05792,[19 17] ; [82 19],[26.54014599  9.45985401] ; [74.45985401 26.54014599],1
d1,1,0.003528,8.512125,[11 25] ; [60 42],[18.52173913 17.47826087] ; [52.47826087 49.52173913],0
d4,1,0.003605,8.472924,[23 13] ; [88 14],[28.95652174  7.04347826] ; [82.04347826 19.95652174],0
a5,1,0.003994,8.286765,[17 19] ; [75 27],[24. 12.] ; [68. 34.],0
b1,1,0.004994,7.881461,[22 14] ; [35 67],[14.86956522 21.13043478] ; [42.13043478 59.86956522],0
n6,1,0.005066,7.855715,[18 18] ; [76 25],[24.70072993 11.29927007] ; [69.29927007 31.70072993],0
s6,1,0.006983,7.277232,[13 22] ; [64 37],[19.81617647 15.18382353] ; [57.18382353 43.81617647],0
p11,1,0.00825,6.978328,[20 16] ; [80 22],[26.08695652  9.91304348] ; [73.91304348 28.08695652],0
s8,1,0.010124,6.612957,[ 6 29] ; [42 60],[12.26277372 22.73722628] ; [35.73722628 66.26277372],0
d5,1,0.013355,6.121508,[20 16] ; [78 23],[25.75182482 10.24817518] ; [72.24817518 28.75182482],0
s7,1,0.024281,5.074433,[ 8 27] ; [44 55],[13.58208955 21.41791045] ; [38.41791045 60.58208955],0
p2,1,0.024409,5.065307,[27  9] ; [91 10],[31.00729927  4.99270073] ; [86.99270073 14.00729927],0
r1,1,0.027268,4.873793,[21 15] ; [79 23],[26.08695652  9.91304348] ; [73.91304348 28.08695652],0
r4,1,0.037245,4.339158,[27  9] ; [91 11],[30.7826087  5.2173913] ; [87.2173913 14.7826087],0
v4,1,0.038964,4.262443,[31  5] ; [97  4],[33.6350365  2.3649635] ; [94.3649635  6.6350365],0
