Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.5e-05,18.756455,[60 19] ; [16 28],[48.81300813 30.18699187] ; [27.18699187 16.81300813],1
p10,1,0.015771,5.828265,[50 26] ; [19 25],[43.7 32.3] ; [25.3 18.7],0
n1,1,0.024431,5.063756,[14 12] ; [ 3 13],[10.52380952 15.47619048] ; [6.47619048 9.52380952],0
p2,1,0.033737,4.507989,[46 33] ; [34 10],[51.38211382 27.61788618] ; [28.61788618 15.38211382],0
u2,1,0.066037,3.378882,[15 30] ; [13 10],[18.52941176 26.47058824] ; [ 9.47058824 13.52941176],0
d2,1,0.071582,3.246367,[22 57] ; [ 6 38],[17.98373984 61.01626016] ; [10.01626016 33.98373984],0
p7,1,0.100063,2.704537,[34 44] ; [26 18],[38.36065574 39.63934426] ; [21.63934426 22.36065574],0
p5,1,0.140536,2.172077,[10 68] ; [ 2 42],[ 7.67213115 70.32786885] ; [ 4.32786885 39.67213115],0
d4,1,0.140651,2.170826,[25 53] ; [20 24],[28.7704918 49.2295082] ; [16.2295082 27.7704918],0
n6,1,0.14686,2.104564,[60 19] ; [28 16],[56.5203252 22.4796748] ; [31.4796748 12.5203252],0
a2,1,0.155545,2.017012,[ 7 72] ; [ 1 43],[ 5.13821138 73.86178862] ; [ 2.86178862 41.13821138],0
r3,1,0.158847,1.985164,[59 19] ; [38  6],[62.01639344 15.98360656] ; [34.98360656  9.01639344],0
a5,1,0.170229,1.880923,[37 42] ; [15 29],[33.39837398 45.60162602] ; [18.60162602 25.39837398],0
v4,1,0.198624,1.652461,[62 16] ; [39  5],[64.57377049 13.42622951] ; [36.42622951  7.57377049],0
a6,1,0.220399,1.501772,[45 34] ; [20 24],[41.74796748 37.25203252] ; [23.25203252 20.74796748],0
a7,1,0.231699,1.430399,[36 43] ; [25 19],[39.17886179 39.82113821] ; [21.82113821 22.17886179],0
s7,1,0.247893,1.335138,[19 54] ; [ 7 35],[16.50434783 56.49565217] ; [ 9.49565217 32.50434783],0
b5,1,0.288506,1.126582,[37 42] ; [25 19],[39.82113821 39.17886179] ; [22.17886179 21.82113821],0
s6,1,0.297898,1.083578,[30 47] ; [13 31],[27.36363636 49.63636364] ; [15.63636364 28.36363636],0
n3,1,0.321829,0.981499,[17  9] ; [12  3],[18.3902439  7.6097561] ; [10.6097561  4.3902439],0
p4,1,0.322236,0.979851,[30 48] ; [13 31],[27.49180328 50.50819672] ; [15.50819672 28.49180328],0
d3,1,0.327223,0.959856,[22 57] ; [16 28],[24.40650407 54.59349593] ; [13.59349593 30.40650407],0
r1,1,0.331281,0.943883,[45 34] ; [29 15],[47.52845528 31.47154472] ; [26.47154472 17.52845528],0
p9,1,0.348425,0.879187,[53 23] ; [27 17],[50.66666667 25.33333333] ; [29.33333333 14.66666667],0
p8,1,0.386092,0.751214,[32 44] ; [15 29],[29.76666667 46.23333333] ; [17.23333333 26.76666667],0
a4,1,0.409216,0.681076,[19 58] ; [ 8 36],[17.18181818 59.81818182] ; [ 9.81818182 34.18181818],0
