Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,48.540073,[ 65 102] ; [262 109],[101.50371747  65.49628253] ; [225.49628253 145.50371747],1
p6,1,0.0,45.371781,[ 44 119] ; [217 153],[79.81801126 83.18198874] ; [181.18198874 188.81801126],1
p8,1,0.0,34.185069,[81 83] ; [278  92],[110.25468165  53.74531835] ; [248.74531835 121.25468165],1
p5,1,0.0,26.542386,[  4 163] ; [ 70 299],[ 23.05597015 143.94402985] ; [ 50.94402985 318.05597015],1
p2,1,6e-06,20.487165,[136  31] ; [347  22],[150.4869403  16.5130597] ; [332.5130597  36.4869403],1
p10,1,2.2e-05,17.974304,[125  41] ; [330  39],[141.17757009  24.82242991] ; [313.82242991  55.17757009],1
d3,1,4.3e-05,16.748446,[96 68] ; [282  89],[115.8728972  48.1271028] ; [262.1271028 108.8728972],1
a5,1,4.3e-05,16.721304,[105  62] ; [295  76],[124.16356877  42.83643123] ; [275.83643123  95.16356877],1
s7,1,0.000214,13.703118,[68 93] ; [211 142],[87.39105058 73.60894942] ; [191.60894942 161.39105058],1
d1,1,0.000252,13.396849,[82 85] ; [244 127],[101.19330855  65.80669145] ; [224.80669145 146.19330855],1
p9,1,0.00034,12.837328,[128  35] ; [334  37],[141.02247191  21.97752809] ; [320.97752809  50.02247191],1
n5,1,0.000412,12.478436,[113  53] ; [302  67],[128.76635514  37.23364486] ; [286.23364486  82.76635514],1
p11,1,0.000432,12.390485,[122  45] ; [318  53],[136.57992565  30.42007435] ; [303.42007435  67.57992565],1
s6,1,0.001196,10.495943,[98 65] ; [267  93],[113.75717017  49.24282983] ; [251.24282983 108.75717017],0
v1,1,0.004037,8.266952,[78 85] ; [223 141],[93.09867173 69.90132827] ; [207.90132827 156.09867173],0
s8,1,0.004057,8.257999,[ 65 100] ; [195 174],[80.33707865 84.66292135] ; [179.66292135 189.33707865],0
s5,1,0.005497,7.708064,[ 49 115] ; [153 206],[ 63.34225621 100.65774379] ; [138.65774379 220.34225621],0
u1,1,0.006753,7.337446,[ 20 147] ; [ 81 290],[ 31.35130112 135.64869888] ; [ 69.64869888 301.35130112],0
a7,1,0.007308,7.195686,[108  58] ; [282  88],[120.78358209  45.21641791] ; [269.21641791 100.78358209],0
a4,1,0.008262,6.975765,[ 61 106] ; [180 189],[75.08768657 91.91231343] ; [165.91231343 203.08768657],0
d2,1,0.010585,6.533754,[67 99] ; [194 177],[80.68156425 85.31843575] ; [180.31843575 190.68156425],0
a2,1,0.011547,6.379093,[ 31 136] ; [107 264],[ 42.83643123 124.16356877] ; [ 95.16356877 275.83643123],0
n4,1,0.011731,6.351053,[120  46] ; [303  67],[131.00373134  34.99626866] ; [291.99626866  78.00373134],0
p1,1,0.015841,5.820492,[  8 158] ; [ 42 327],[ 15.51401869 150.48598131] ; [ 34.48598131 334.51401869],0
d5,1,0.017484,5.647114,[126  39] ; [314  56],[135.70093458  29.29906542] ; [304.29906542  65.70093458],0
a6,1,0.043909,4.060058,[102  63] ; [262 109],[112.05223881  52.94776119] ; [251.94776119 119.05223881],0
s2,1,0.062452,3.471035,[79 88] ; [206 162],[88.96261682 78.03738318] ; [196.03738318 171.96261682],0
u3,1,0.066864,3.358384,[24 30] ; [53 35],[29.28169014 24.71830986] ; [47.71830986 40.28169014],0
a3,1,0.070434,3.272876,[113  52] ; [281  89],[121.51401869  43.48598131] ; [272.48598131  97.51401869],0
b4,1,0.078376,3.098267,[85 82] ; [219 152],[94.36431227 72.63568773] ; [209.63568773 161.36431227],0
d4,1,0.084676,2.97279,[129  36] ; [312  58],[136.00934579  28.99065421] ; [304.99065421  65.00934579],0
p12,1,0.103739,2.647097,[  8 157] ; [ 33 338],[ 12.62126866 152.37873134] ; [ 28.37873134 342.62126866],0
v3,1,0.110832,2.542316,[ 61 104] ; [158 198],[69.35700576 95.64299424] ; [149.64299424 206.35700576],0
