Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,33.594739,[ 7 55] ; [19  7],[18.31818182 43.68181818] ; [ 7.68181818 18.31818182],1
s6,1,8.5e-05,15.444842,[19 42] ; [20  6],[27.34482759 33.65517241] ; [11.65517241 14.34482759],1
s2,1,0.00013,14.640037,[12 49] ; [16 10],[19.63218391 41.36781609] ; [ 8.36781609 17.63218391],1
n4,1,0.000294,13.109536,[32 30] ; [24  2],[39.45454545 22.54545455] ; [16.54545455  9.45454545],1
a3,1,0.000574,11.858356,[18 43] ; [18  8],[25.24137931 35.75862069] ; [10.75862069 15.24137931],1
s3,1,0.001149,10.571313,[21 39] ; [19  7],[27.90697674 32.09302326] ; [12.09302326 13.90697674],0
s5,1,0.004732,7.97914,[ 7 52] ; [10 16],[11.8 47.2] ; [ 5.2 20.8],0
n5,1,0.010282,6.58534,[37 24] ; [23  3],[42.06896552 18.93103448] ; [17.93103448  8.06896552],0
a5,1,0.011349,6.409811,[16 46] ; [14 12],[21.13636364 40.86363636] ; [ 8.86363636 17.13636364],0
p10,1,0.023855,5.105118,[28 32] ; [19  7],[32.79069767 27.20930233] ; [14.20930233 11.79069767],0
p8,1,0.026136,4.946995,[20 42] ; [15 11],[24.65909091 37.34090909] ; [10.34090909 15.65909091],0
p9,1,0.04497,4.019765,[35 25] ; [21  5],[39.06976744 20.93023256] ; [16.93023256  9.06976744],0
v1,1,0.045786,3.989453,[19 42] ; [14 12],[23.13793103 37.86206897] ; [ 9.86206897 16.13793103],0
u2,1,0.05679,3.628731,[17 27] ; [6 2],[19.46153846 24.53846154] ; [3.53846154 4.46153846],0
d4,1,0.05775,3.600837,[20 42] ; [14 12],[23.95454545 38.04545455] ; [10.04545455 15.95454545],0
u3,1,0.071508,3.248069,[13 31] ; [5 3],[15.23076923 28.76923077] ; [2.76923077 5.23076923],0
b3,1,0.074586,3.179086,[12 29] ; [11 10],[15.20967742 25.79032258] ; [ 7.79032258 13.20967742],0
b2,1,0.074586,3.179086,[12 29] ; [11 10],[15.20967742 25.79032258] ; [ 7.79032258 13.20967742],0
p1,1,0.094692,2.792739,[ 6 56] ; [ 6 20],[ 8.45454545 53.54545455] ; [ 3.54545455 22.45454545],0
p2,1,0.110734,2.543715,[34 28] ; [19  7],[37.34090909 24.65909091] ; [15.65909091 10.34090909],0
p4,1,0.134849,2.235774,[18 43] ; [12 14],[21.03448276 39.96551724] ; [ 8.96551724 17.03448276],0
b4,1,0.1764,1.827693,[36 26] ; [11 15],[33.11363636 28.88636364] ; [13.88636364 12.11363636],0
r3,1,0.177351,1.819686,[44 18] ; [22  4],[46.5 15.5] ; [19.5  6.5],0
r1,1,0.20618,1.598051,[29 33] ; [16 10],[31.70454545 30.29545455] ; [13.29545455 12.70454545],0
b1,1,0.225526,1.468859,[27 35] ; [15 11],[29.59090909 32.40909091] ; [12.40909091 13.59090909],0
p3,1,0.226747,1.461151,[18 44] ; [11 15],[20.43181818 41.56818182] ; [ 8.56818182 17.43181818],0
s4,1,0.233857,1.417247,[ 8 54] ; [ 6 20],[ 9.86363636 52.13636364] ; [ 4.13636364 21.86363636],0
p12,1,0.255276,1.294196,[ 3 59] ; [ 3 23],[ 4.22727273 57.77272727] ; [ 1.77272727 24.22727273],0
p7,1,0.269465,1.219468,[25 36] ; [14 12],[27.34482759 33.65517241] ; [11.65517241 14.34482759],0
s1,1,0.274343,1.194904,[ 3 57] ; [ 3 23],[ 4.18604651 55.81395349] ; [ 1.81395349 24.18604651],0
v2,1,0.323576,0.974436,[13 44] ; [ 8 16],[14.77777778 42.22222222] ; [ 6.22222222 17.77777778],0
v4,1,0.325238,0.967765,[46 16] ; [21  4],[47.74712644 14.25287356] ; [19.25287356  5.74712644],0
r4,1,0.326341,0.963363,[36 26] ; [18  8],[38.04545455 23.95454545] ; [15.95454545 10.04545455],0
a6,1,0.360523,0.836072,[28 34] ; [ 9 17],[26.06818182 35.93181818] ; [10.93181818 15.06818182],0
p6,1,0.364655,0.821798,[ 9 51] ; [ 6 20],[10.46511628 49.53488372] ; [ 4.53488372 21.46511628],0
v3,1,0.368497,0.808727,[11 49] ; [ 7 19],[12.55813953 47.44186047] ; [ 5.44186047 20.55813953],0
p5,1,0.389243,0.741304,[ 4 58] ; [ 3 22],[ 4.98850575 57.01149425] ; [ 2.01149425 22.98850575],0
r2,1,0.471228,0.519095,[45 17] ; [20  5],[46.32183908 15.67816092] ; [18.67816092  6.32183908],0
n1,1,0.471548,0.518347,[ 6 16] ; [4 6],[ 6.875 15.125] ; [3.125 6.875],0
a1,1,0.473816,0.513063,[ 5 57] ; [ 1 25],[ 4.22727273 57.77272727] ; [ 1.77272727 24.22727273],0
n6,1,0.502795,0.449032,[40 22] ; [18  7],[41.33333333 20.66666667] ; [16.66666667  8.33333333],0
a2,1,0.521293,0.411334,[ 1 61] ; [ 1 25],[ 1.40909091 60.59090909] ; [ 0.59090909 25.40909091],0
n3,1,0.530057,0.394282,[13  8] ; [5 5],[12.19354839  8.80645161] ; [5.80645161 4.19354839],0
a4,1,0.690513,0.158531,[ 9 52] ; [ 3 23],[ 8.4137931 52.5862069] ; [ 3.5862069 22.4137931],0
b5,1,0.782231,0.076404,[29 33] ; [13 13],[29.59090909 32.40909091] ; [12.40909091 13.59090909],0
d2,1,0.787321,0.072787,[15 47] ; [ 7 19],[15.5 46.5] ; [ 6.5 19.5],0
p11,1,0.825268,0.048742,[39 23] ; [17  9],[39.45454545 22.54545455] ; [16.54545455  9.45454545],0
n2,1,0.843869,0.038788,[14  8] ; [6 4],[13.75  8.25] ; [6.25 3.75],0
d3,1,0.868776,0.027295,[11 51] ; [ 5 21],[11.27272727 50.72727273] ; [ 4.72727273 21.27272727],0
a8,1,0.890594,0.018921,[ 6 51] ; [ 3 23],[ 6.18072289 50.81927711] ; [ 2.81927711 23.18072289],0
