Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,118.180222,[319  59] ; [51 91],[268.96153846 109.03846154] ; [101.03846154  40.96153846],1
n6,1,0.0,26.746909,[331  48] ; [97 46],[310.75095785  68.24904215] ; [117.24904215  25.75095785],1
p11,1,6.8e-05,15.868772,[313  66] ; [95 48],[296.22988506  82.77011494] ; [111.77011494  31.22988506],1
a8,1,9.9e-05,15.156953,[ 60 283] ; [  5 127],[ 46.93684211 296.06315789] ; [ 18.06315789 113.93684211],1
a4,1,0.000131,14.623614,[178 199] ; [ 41 102],[158.775 218.225] ; [60.225 82.775],1
a5,1,0.000163,14.221227,[293  86] ; [87 56],[275.90038314 103.09961686] ; [104.09961686  38.90038314],1
s7,1,0.001622,9.935081,[164 196] ; [40 94],[148.66396761 211.33603239] ; [55.33603239 78.66396761],0
a3,1,0.002531,9.118363,[274 104] ; [84 59],[259.73896353 118.26103647] ; [98.26103647 44.73896353],0
d2,1,0.002626,9.050526,[190 187] ; [51 92],[174.725 202.275] ; [66.275 76.725],0
p3,1,0.002757,8.961373,[171 207] ; [44 99],[155.98848369 222.01151631] ; [59.01151631 83.98848369],0
p10,1,0.002838,8.909111,[308  70] ; [97 43],[295.54054054  82.45945946] ; [109.45945946  30.54054054],0
p4,1,0.004543,8.052886,[196 181] ; [54 88],[181.59922929 195.40077071] ; [68.40077071 73.59922929],0
a2,1,0.004564,8.044402,[ 97 282] ; [ 20 123],[ 84.94827586 294.05172414] ; [ 32.05172414 110.94827586],0
u1,1,0.004772,7.964016,[ 70 309] ; [ 12 131],[ 59.53639847 319.46360153] ; [ 22.46360153 120.53639847],0
d5,1,0.006478,7.412412,[315  63] ; [104  39],[303.99616123  74.00383877] ; [115.00383877  27.99616123],0
n1,1,0.012564,6.229433,[32 37] ; [12 38],[25.51260504 43.48739496] ; [18.48739496 31.51260504],0
v3,1,0.017344,5.661248,[151 210] ; [40 93],[139.57692308 221.42307692] ; [51.42307692 81.57692308],0
d1,1,0.018892,5.511504,[221 158] ; [67 76],[209.10344828 169.89655172] ; [78.89655172 64.10344828],0
p2,1,0.019179,5.485153,[308  71] ; [102  40],[298.25335893  80.74664107] ; [111.74664107  30.25335893],0
v1,1,0.020589,5.361227,[187 179] ; [55 84],[175.39009901 190.60990099] ; [66.60990099 72.39009901],0
b1,1,0.024785,5.038849,[146 233] ; [ 40 103],[135.04597701 243.95402299] ; [50.95402299 92.04597701],0
p12,1,0.034863,4.451894,[ 26 352] ; [  3 139],[ 21.08076923 356.91923077] ; [  7.91923077 134.08076923],0
s8,1,0.046992,3.945675,[154 222] ; [45 98],[144.16955684 231.83044316] ; [54.83044316 88.16955684],0
s4,1,0.047903,3.913382,[ 50 326] ; [ 29 114],[ 57.23314066 318.76685934] ; [ 21.76685934 121.23314066],0
r1,1,0.100317,2.700499,[327  50] ; [115  27],[321.06743738  55.93256262] ; [120.93256262  21.06743738],0
r2,1,0.127143,2.327045,[370   7] ; [137   6],[367.575   9.425] ; [139.425   3.575],0
p5,1,0.132305,2.265247,[ 30 345] ; [  6 136],[ 26.11218569 348.88781431] ; [  9.88781431 132.11218569],0
s2,1,0.153213,2.039966,[179 195] ; [58 84],[171.77906977 202.22093023] ; [65.22093023 76.77906977],0
v2,1,0.203441,1.617498,[203 159] ; [65 66],[196.78701826 165.21298174] ; [71.21298174 59.78701826],0
s6,1,0.214391,1.541528,[242 130] ; [84 58],[235.93774319 136.06225681] ; [90.06225681 51.93774319],0
p9,1,0.226212,1.464522,[309  66] ; [108  31],[304.23151751  70.76848249] ; [112.76848249  26.23151751],0
d4,1,0.228798,1.448315,[308  70] ; [109  33],[303.12692308  74.87307692] ; [113.87307692  28.12692308],0
p7,1,0.245719,1.347478,[201 174] ; [66 72],[195.1754386 179.8245614] ; [71.8245614 66.1754386],0
p1,1,0.246174,1.344886,[ 23 354] ; [  5 137],[ 20.33911368 356.66088632] ; [  7.66088632 134.33911368],0
a1,1,0.264914,1.242895,[ 12 367] ; [  2 141],[ 10.16475096 368.83524904] ; [  3.83524904 139.16475096],0
b3,1,0.265559,1.239544,[ 80 158] ; [18 50],[ 76.22222222 161.77777778] ; [21.77777778 46.22222222],0
b2,1,0.265559,1.239544,[ 80 158] ; [18 50],[ 76.22222222 161.77777778] ; [21.77777778 46.22222222],0
u3,1,0.275462,1.189345,[57 48] ; [36 21],[60.27777778 44.72222222] ; [32.72222222 24.27777778],0
