Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9e-06,19.648207,[74  6] ; [29 19],[64.375 15.625] ; [38.625  9.375],1
r4,1,6.9e-05,15.829643,[62 19] ; [20 28],[51.48837209 29.51162791] ; [30.51162791 17.48837209],1
n6,1,0.000112,14.930556,[64 17] ; [22 26],[54. 27.] ; [32. 16.],1
p9,1,0.000136,14.55212,[61 20] ; [19 27],[51.02362205 29.97637795] ; [28.97637795 17.02362205],1
v4,1,0.000352,12.77073,[73  7] ; [31 16],[65.51181102 14.48818898] ; [38.48818898  8.51181102],1
r2,1,0.003651,8.449536,[72  9] ; [32 15],[65.8125 15.1875] ; [38.1875  8.8125],0
a7,1,0.004571,8.041909,[53 27] ; [19 28],[45.35433071 34.64566929] ; [26.64566929 20.35433071],0
v2,1,0.007046,7.26126,[34 43] ; [ 9 36],[27.13934426 49.86065574] ; [15.86065574 29.13934426],0
p10,1,0.009821,6.667065,[52 28] ; [19 27],[45.07936508 34.92063492] ; [25.92063492 20.07936508],0
n3,1,0.011025,6.461276,[21  4] ; [8 9],[17.26190476  7.73809524] ; [11.73809524  5.26190476],0
s1,1,0.016679,5.729854,[ 1 80] ; [ 5 43],[ 3.76744186 77.23255814] ; [ 2.23255814 45.76744186],0
r1,1,0.016858,5.711099,[48 33] ; [18 30],[41.44186047 39.55813953] ; [24.55813953 23.44186047],0
p2,1,0.041208,4.167442,[59 21] ; [27 21],[53.75 26.25] ; [32.25 15.75],0
a4,1,0.04263,4.110025,[18 63] ; [ 4 44],[13.81395349 67.18604651] ; [ 8.18604651 39.81395349],0
n1,1,0.043896,4.060549,[12 13] ; [ 3 14],[ 8.92857143 16.07142857] ; [ 6.07142857 10.92857143],0
a3,1,0.051694,3.785656,[39 42] ; [14 32],[33.80314961 47.19685039] ; [19.19685039 26.80314961],0
p7,1,0.055174,3.676814,[42 36] ; [17 30],[36.816 41.184] ; [22.184 24.816],0
d1,1,0.073555,3.20186,[29 52] ; [10 38],[24.48837209 56.51162791] ; [14.51162791 33.48837209],0
b1,1,0.073579,3.201309,[26 55] ; [23 25],[30.76744186 50.23255814] ; [18.23255814 29.76744186],0
d3,1,0.080116,3.062554,[43 38] ; [17 29],[38.26771654 42.73228346] ; [21.73228346 24.26771654],0
u2,1,0.090452,2.866309,[23 19] ; [12 22],[19.34210526 22.65789474] ; [15.65789474 18.34210526],0
p4,1,0.100928,2.690824,[30 50] ; [11 36],[25.82677165 54.17322835] ; [15.17322835 31.82677165],0
v1,1,0.102956,2.659143,[28 52] ; [10 37],[23.93700787 56.06299213] ; [14.06299213 32.93700787],0
u3,1,0.106388,2.607072,[20 22] ; [10 24],[16.57894737 25.42105263] ; [13.42105263 20.57894737],0
a1,1,0.112178,2.523264,[ 1 80] ; [ 3 45],[ 2.51162791 78.48837209] ; [ 1.48837209 46.51162791],0
n2,1,0.142258,2.153361,[18  6] ; [9 8],[15.80487805  8.19512195] ; [11.19512195  5.80487805],0
s8,1,0.142424,2.151572,[12 69] ; [ 3 45],[ 9.41860465 71.58139535] ; [ 5.58139535 42.41860465],0
a8,1,0.144415,2.130273,[10 67] ; [ 2 41],[ 7.7 69.3] ; [ 4.3 38.7],0
n4,1,0.151895,2.053113,[46 35] ; [21 27],[42.06976744 38.93023256] ; [24.93023256 23.06976744],0
s7,1,0.153066,2.041425,[17 63] ; [ 5 40],[14.08 65.92] ; [ 7.92 37.08],0
d5,1,0.172553,1.86062,[48 33] ; [22 25],[44.296875 36.703125] ; [25.703125 21.296875],0
p8,1,0.178496,1.810101,[31 49] ; [13 35],[27.5 52.5] ; [16.5 31.5],0
d4,1,0.188474,1.729502,[52 28] ; [25 22],[48.50393701 31.49606299] ; [28.49606299 18.50393701],0
p1,1,0.233832,1.417401,[ 8 72] ; [ 2 46],[ 6.25 73.75] ; [ 3.75 44.25],0
s5,1,0.253428,1.304308,[10 68] ; [ 3 44],[ 8.112 69.888] ; [ 4.888 42.112],0
p3,1,0.341375,0.905259,[23 58] ; [10 38],[20.72093023 60.27906977] ; [12.27906977 35.72093023],0
v3,1,0.355384,0.854138,[21 57] ; [ 9 37],[18.87096774 59.12903226] ; [11.12903226 34.87096774],0
s2,1,0.366258,0.816322,[17 64] ; [ 7 41],[15.06976744 65.93023256] ; [ 8.93023256 39.06976744],0
p6,1,0.44819,0.575224,[20 60] ; [ 9 38],[18.26771654 61.73228346] ; [10.73228346 36.26771654],0
s4,1,0.481685,0.495045,[ 7 74] ; [ 6 42],[ 8.1627907 72.8372093] ; [ 4.8372093 43.1627907],0
a6,1,0.535667,0.38363,[40 41] ; [21 27],[38.30232558 42.69767442] ; [22.69767442 25.30232558],0
b5,1,0.54855,0.359921,[48 33] ; [31 17],[49.60465116 31.39534884] ; [29.39534884 18.60465116],0
b4,1,0.589452,0.291201,[45 36] ; [29 19],[46.46511628 34.53488372] ; [27.53488372 20.46511628],0
u1,1,0.590826,0.289056,[ 2 79] ; [ 2 46],[ 2.51162791 78.48837209] ; [ 1.48837209 46.51162791],0
b2,1,0.602045,0.271923,[15 30] ; [ 8 21],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
b3,1,0.602045,0.271923,[15 30] ; [ 8 21],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
d2,1,0.67329,0.177778,[21 59] ; [11 37],[20. 60.] ; [12. 36.],0
n5,1,0.784088,0.075073,[42 38] ; [24 24],[41.25 38.75] ; [24.75 23.25],0
s3,1,0.929007,0.007938,[21 59] ; [12 35],[20.78740157 59.21259843] ; [12.21259843 34.78740157],0
