Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.4e-05,16.303047,[27 11] ; [36 72],[16.39726027 21.60273973] ; [46.60273973 61.39726027],1
p5,1,0.000153,14.340456,[10 28] ; [  5 103],[ 3.90410959 34.09589041] ; [11.09589041 96.90410959],1
s6,1,0.002254,9.330473,[29  8] ; [53 54],[21.06944444 15.93055556] ; [60.93055556 46.06944444],0
a1,1,0.004126,8.227444,[ 6 32] ; [  3 105],[ 2.34246575 35.65753425] ; [  6.65753425 101.34246575],0
u1,1,0.005129,7.833373,[ 4 34] ; [  1 107],[ 1.30136986 36.69863014] ; [  3.69863014 104.30136986],0
s7,1,0.005331,7.763751,[21 15] ; [33 70],[13.98561151 22.01438849] ; [40.01438849 62.98561151],0
b4,1,0.008542,6.916146,[29  9] ; [56 52],[22.12328767 15.87671233] ; [62.87671233 45.12328767],0
u3,1,0.00926,6.772051,[11  5] ; [16 34],[6.54545455 9.45454545] ; [20.45454545 29.54545455],0
d4,1,0.011862,6.331334,[32  6] ; [67 41],[25.76712329 12.23287671] ; [73.23287671 34.76712329],0
s4,1,0.01537,5.873604,[13 25] ; [17 91],[ 7.80821918 30.19178082] ; [22.19178082 85.80821918],0
v1,1,0.02012,5.401475,[21 15] ; [38 67],[15.06382979 20.93617021] ; [43.93617021 61.06382979],0
a5,1,0.023613,5.122807,[25 13] ; [48 60],[19. 19.] ; [54. 54.],0
d3,1,0.025041,5.021053,[27 11] ; [53 53],[21.11111111 16.88888889] ; [58.88888889 47.11111111],0
b5,1,0.026909,4.896634,[18 20] ; [73 35],[23.68493151 14.31506849] ; [67.31506849 40.68493151],0
d1,1,0.041174,4.168827,[19 19] ; [34 74],[13.79452055 24.20547945] ; [39.20547945 68.79452055],0
s3,1,0.055527,3.666176,[23 15] ; [45 61],[17.94444444 20.05555556] ; [50.05555556 55.94444444],0
p6,1,0.082076,3.023302,[17 20] ; [32 74],[12.67832168 24.32167832] ; [36.32167832 69.67832168],0
n3,1,0.101594,2.680342,[8 6] ; [28  7],[10.28571429  3.71428571] ; [25.71428571  9.28571429],0
p11,1,0.159727,1.976807,[26 12] ; [86 22],[29.15068493  8.84931507] ; [82.84931507 25.15068493],0
r4,1,0.165489,1.92334,[27 11] ; [63 45],[23.42465753 14.57534247] ; [66.57534247 41.42465753],0
p10,1,0.194557,1.682766,[32  6] ; [79 28],[29.08965517  8.91034483] ; [81.91034483 25.08965517],0
v2,1,0.197289,1.662328,[18 20] ; [38 69],[14.67586207 23.32413793] ; [41.32413793 65.67586207],0
b2,1,0.209483,1.574998,[ 8 12] ; [16 47],[ 5.78313253 14.21686747] ; [18.21686747 44.78313253],0
b3,1,0.209483,1.574998,[ 8 12] ; [16 47],[ 5.78313253 14.21686747] ; [18.21686747 44.78313253],0
d5,1,0.215096,1.536792,[29  9] ; [70 37],[25.94482759 12.05517241] ; [73.05517241 33.94482759],0
p4,1,0.249213,1.327708,[24 14] ; [56 51],[20.96551724 17.03448276] ; [59.03448276 47.96551724],0
u2,1,0.250592,1.32,[10  6] ; [23 27],[8. 8.] ; [25. 25.],0
s8,1,0.294941,1.096929,[14 24] ; [30 78],[11.45205479 26.54794521] ; [32.54794521 75.45205479],0
a4,1,0.328379,0.955279,[13 25] ; [28 80],[10.67123288 27.32876712] ; [30.32876712 77.67123288],0
