Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.006769,7.333333,[3 5] ; [30  6],[6. 2.] ; [27.  9.],0
n6,1,0.00832,6.963367,[2 6] ; [26  9],[5.20930233 2.79069767] ; [22.79069767 12.20930233],0
v4,1,0.060921,3.512133,[3 5] ; [26 10],[5.27272727 2.72727273] ; [23.72727273 12.27272727],0
a6,1,0.060921,3.512133,[3 5] ; [26 10],[5.27272727 2.72727273] ; [23.72727273 12.27272727],0
d3,1,0.154362,2.028608,[7 1] ; [22 14],[5.27272727 2.72727273] ; [23.72727273 12.27272727],0
r2,1,0.194924,1.68,[4 3] ; [28  7],[5.33333333 1.66666667] ; [26.66666667  8.33333333],0
p9,1,0.237419,1.395852,[3 5] ; [20 13],[4.48780488 3.51219512] ; [18.51219512 14.48780488],0
s5,1,0.281542,1.159629,[1 7] ; [11 24],[2.23255814 5.76744186] ; [ 9.76744186 25.23255814],0
a4,1,0.283962,1.148032,[6 2] ; [19 16],[4.65116279 3.34883721] ; [20.34883721 14.65116279],0
s7,1,0.307153,1.042879,[1 5] ; [13 21],[2.1 3.9] ; [11.9 22.1],0
s3,1,0.351339,0.868617,[2 6] ; [15 20],[3.1627907 4.8372093] ; [13.8372093 21.1627907],0
p7,1,0.396601,0.718609,[2 6] ; [14 20],[3.04761905 4.95238095] ; [12.95238095 21.04761905],0
p3,1,0.406768,0.688228,[4 4] ; [12 23],[2.97674419 5.02325581] ; [13.02325581 21.97674419],0
s6,1,0.428427,0.627083,[2 6] ; [14 21],[2.97674419 5.02325581] ; [13.02325581 21.97674419],0
p10,1,0.43437,0.611111,[3 5] ; [19 17],[4. 4.] ; [18. 18.],0
v1,1,0.465533,0.532559,[4 4] ; [13 23],[3.09090909 4.90909091] ; [13.90909091 22.09090909],0
p8,1,0.482096,0.494118,[2 6] ; [13 21],[2.85714286 5.14285714] ; [12.14285714 21.85714286],0
v2,1,0.537471,0.380247,[1 7] ; [ 8 28],[1.63636364 6.36363636] ; [ 7.36363636 28.63636364],0
b1,1,0.548705,0.359642,[6 2] ; [23 13],[5.27272727 2.72727273] ; [23.72727273 12.27272727],0
a7,1,0.563148,0.334283,[4 4] ; [22 14],[4.72727273 3.27272727] ; [21.27272727 14.72727273],0
p2,1,0.571109,0.320831,[3 5] ; [17 18],[3.72093023 4.27906977] ; [16.27906977 18.72093023],0
v3,1,0.585633,0.297215,[3 5] ; [10 26],[2.36363636 5.63636364] ; [10.63636364 25.36363636],0
p11,1,0.617401,0.249537,[3 5] ; [17 19],[3.63636364 4.36363636] ; [16.36363636 19.63636364],0
b5,1,0.617401,0.249537,[5 3] ; [19 17],[4.36363636 3.63636364] ; [19.63636364 16.36363636],0
b4,1,0.617401,0.249537,[5 3] ; [19 17],[4.36363636 3.63636364] ; [19.63636364 16.36363636],0
p4,1,0.617401,0.249537,[3 5] ; [17 19],[3.63636364 4.36363636] ; [16.36363636 19.63636364],0
s2,1,0.647141,0.209524,[2 6] ; [12 24],[2.54545455 5.45454545] ; [11.45454545 24.54545455],0
n3,1,0.650041,0.205848,[1 2] ; [ 9 10],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
d2,1,0.713596,0.134712,[4 4] ; [20 15],[4.46511628 3.53488372] ; [19.53488372 15.46511628],0
s4,1,0.724563,0.124162,[2 6] ; [ 7 29],[1.63636364 6.36363636] ; [ 7.36363636 28.63636364],0
a2,1,0.724563,0.124162,[2 6] ; [ 7 29],[1.63636364 6.36363636] ; [ 7.36363636 28.63636364],0
a3,1,0.74827,0.10299,[7 1] ; [29  6],[6.69767442 1.30232558] ; [29.30232558  5.69767442],0
n1,1,0.825381,0.048677,[2 1] ; [12  8],[1.82608696 1.17391304] ; [12.17391304  7.82608696],0
d5,1,0.873219,0.025463,[6 2] ; [26 10],[5.81818182 2.18181818] ; [26.18181818  9.81818182],0
b3,1,0.875566,0.024521,[1 2] ; [11 18],[1.125 1.875] ; [10.875 18.125],0
b2,1,0.875566,0.024521,[1 2] ; [11 18],[1.125 1.875] ; [10.875 18.125],0
r1,1,0.886858,0.020244,[4 4] ; [17 19],[3.81818182 4.18181818] ; [17.18181818 18.81818182],0
s1,1,0.910853,0.012536,[1 7] ; [ 4 32],[0.90909091 7.09090909] ; [ 4.09090909 31.90909091],0
d1,1,1.0,0.0,[4 4] ; [18 18],[4. 4.] ; [18. 18.],0
