Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.945578,[68 30] ; [16 40],[53.45454545 44.54545455] ; [30.54545455 25.45454545],1
a5,1,0.007717,7.097954,[62 36] ; [23 33],[54.09090909 43.90909091] ; [30.90909091 25.09090909],0
n1,1,0.010583,6.534091,[17 19] ; [ 6 27],[12. 24.] ; [11. 22.],0
s7,1,0.025646,4.979762,[30 61] ; [ 8 43],[24.35211268 66.64788732] ; [13.64788732 37.35211268],0
v3,1,0.027495,4.859481,[29 64] ; [ 8 46],[23.40816327 69.59183673] ; [13.59183673 40.40816327],0
a4,1,0.046705,3.955974,[49 48] ; [19 37],[43.11111111 53.88888889] ; [24.88888889 31.11111111],0
a8,1,0.075301,3.163503,[14 77] ; [ 3 51],[10.66896552 80.33103448] ; [ 6.33103448 47.66896552],0
s8,1,0.101458,2.682468,[21 77] ; [ 6 49],[17.29411765 80.70588235] ; [ 9.70588235 45.29411765],0
d5,1,0.122893,2.380063,[69 28] ; [33 23],[64.66666667 32.33333333] ; [37.33333333 18.66666667],0
r1,1,0.138243,2.197414,[66 32] ; [31 25],[61.72727273 36.27272727] ; [35.27272727 20.72727273],0
u1,1,0.138395,2.195712,[15 83] ; [ 4 52],[12.09090909 85.90909091] ; [ 6.90909091 49.09090909],0
a3,1,0.138536,2.194145,[63 34] ; [29 26],[58.71052632 38.28947368] ; [33.28947368 21.71052632],0
v1,1,0.160798,1.966701,[37 59] ; [15 40],[33.05960265 62.94039735] ; [18.94039735 36.05960265],0
a6,1,0.206534,1.595558,[57 40] ; [27 29],[53.25490196 43.74509804] ; [30.74509804 25.25490196],0
s6,1,0.211842,1.558791,[44 54] ; [19 36],[40.35294118 57.64705882] ; [22.64705882 32.35294118],0
a2,1,0.214408,1.541411,[20 78] ; [ 7 49],[17.18181818 80.81818182] ; [ 9.81818182 46.18181818],0
a1,1,0.223081,1.484439,[11 87] ; [ 3 53],[ 8.90909091 89.09090909] ; [ 5.09090909 50.90909091],0
p1,1,0.223697,1.480498,[ 4 93] ; [ 5 51],[ 5.70588235 91.29411765] ; [ 3.29411765 52.70588235],0
a7,1,0.239505,1.383508,[58 39] ; [28 28],[54.52287582 42.47712418] ; [31.47712418 24.52287582],0
v4,1,0.240926,1.375168,[74 24] ; [46  9],[76.8627451 21.1372549] ; [43.1372549 11.8627451],0
b3,1,0.253945,1.30147,[25 41] ; [ 9 25],[22.44 43.56] ; [11.56 22.44],0
b2,1,0.253945,1.30147,[25 41] ; [ 9 25],[22.44 43.56] ; [11.56 22.44],0
p6,1,0.274007,1.196578,[17 80] ; [ 6 49],[14.67763158 82.32236842] ; [ 8.32236842 46.67763158],0
r2,1,0.292772,1.106833,[81 14] ; [44 12],[78.64238411 16.35761589] ; [46.35761589  9.64238411],0
p11,1,0.297792,1.084058,[47 51] ; [22 34],[43.90909091 54.09090909] ; [25.09090909 30.90909091],0
s2,1,0.337516,0.919842,[30 67] ; [13 42],[27.44078947 69.55921053] ; [15.55921053 39.44078947],0
p7,1,0.398486,0.71289,[25 72] ; [18 38],[27.26143791 69.73856209] ; [15.73856209 40.26143791],0
d2,1,0.410187,0.678259,[49 46] ; [25 31],[46.55629139 48.44370861] ; [27.44370861 28.55629139],0
p3,1,0.434936,0.609607,[27 71] ; [12 43],[24.98039216 73.01960784] ; [14.01960784 40.98039216],0
u3,1,0.442235,0.590476,[16 19] ; [15 12],[17.5 17.5] ; [13.5 13.5],0
r3,1,0.469442,0.523288,[73 24] ; [45 11],[74.81045752 22.18954248] ; [43.18954248 12.81045752],0
p9,1,0.503574,0.447396,[29 68] ; [19 35],[30.83443709 66.16556291] ; [17.16556291 36.83443709],0
v2,1,0.507876,0.43844,[36 60] ; [17 36],[34.14765101 61.85234899] ; [18.85234899 34.14765101],0
s1,1,0.526916,0.400335,[ 6 91] ; [ 5 51],[ 6.97385621 90.02614379] ; [ 4.02614379 51.97385621],0
s3,1,0.548987,0.359135,[39 57] ; [20 36],[37.26315789 58.73684211] ; [21.73684211 34.26315789],0
b1,1,0.562668,0.335105,[52 46] ; [27 29],[50.27272727 47.72727273] ; [28.72727273 27.27272727],0
n2,1,0.617961,0.248743,[23 14] ; [18 14],[21.98550725 15.01449275] ; [19.01449275 12.98550725],0
u2,1,0.636337,0.223564,[16 17] ; [11 15],[15.10169492 17.89830508] ; [11.89830508 14.10169492],0
b4,1,0.71013,0.138148,[59 39] ; [32 24],[57.90909091 40.09090909] ; [33.09090909 22.90909091],0
b5,1,0.7793,0.07853,[60 38] ; [33 23],[59.18181818 38.81818182] ; [33.81818182 22.18181818],0
r4,1,0.797617,0.065758,[65 33] ; [36 20],[64.27272727 33.72727273] ; [36.72727273 19.27272727],0
d1,1,0.804748,0.061111,[40 58] ; [24 32],[40.72727273 57.27272727] ; [23.27272727 32.72727273],0
s4,1,0.828889,0.046711,[16 81] ; [10 46],[16.48366013 80.51633987] ; [ 9.51633987 46.48366013],0
p2,1,0.831156,0.045462,[49 49] ; [29 27],[49.63636364 48.36363636] ; [28.36363636 27.63636364],0
n3,1,0.874167,0.02508,[21 13] ; [21 12],[21.31343284 12.68656716] ; [20.68656716 12.31343284],0
