Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.9e-05,17.503966,[75  5] ; [13  9],[69.01960784 10.98039216] ; [18.98039216  3.01960784],1
r2,1,0.011644,6.364286,[73  4] ; [17  5],[70.  7.] ; [20.  2.],0
v4,1,0.017731,5.62255,[77  3] ; [18  4],[74.50980392  5.49019608] ; [20.49019608  1.50980392],0
s5,1,0.078315,3.099528,[33 47] ; [ 4 16],[29.6 50.4] ; [ 7.4 12.6],0
s8,1,0.096325,2.765367,[52 28] ; [10 12],[48.62745098 31.37254902] ; [13.37254902  8.62745098],0
u2,1,0.096731,2.758636,[10  6] ; [1 4],[8.38095238 7.61904762] ; [2.61904762 2.38095238],0
a5,1,0.109057,2.567832,[64 16] ; [14  8],[61.17647059 18.82352941] ; [16.82352941  5.17647059],0
p1,1,0.155905,2.013506,[ 4 76] ; [ 3 19],[ 5.49019608 74.50980392] ; [ 1.50980392 20.49019608],0
p9,1,0.187107,1.74025,[62 17] ; [20  2],[64.13861386 14.86138614] ; [17.86138614  4.13861386],0
d5,1,0.190289,1.715377,[67 12] ; [16  6],[64.92079208 14.07920792] ; [18.07920792  3.92079208],0
p8,1,0.204594,1.609273,[46 33] ; [ 8 11],[43.53061224 35.46938776] ; [10.46938776  8.53061224],0
v1,1,0.244924,1.352025,[55 23] ; [12  9],[52.78787879 25.21212121] ; [14.21212121  6.78787879],0
p10,1,0.26924,1.220615,[65 14] ; [15  6],[63.2 15.8] ; [16.8  4.2],0
a8,1,0.315544,1.007326,[10 67] ; [ 1 19],[ 8.73195876 68.26804124] ; [ 2.26804124 17.73195876],0
s6,1,0.33056,0.946704,[57 23] ; [12  8],[55.2 24.8] ; [13.8  6.2],0
d2,1,0.335573,0.927273,[38 42] ; [13  9],[40. 40.] ; [11. 11.],0
s7,1,0.357064,0.848195,[49 26] ; [12 10],[47.16494845 27.83505155] ; [13.83505155  8.16494845],0
r3,1,0.368823,0.807625,[74  6] ; [19  3],[72.94117647  7.05882353] ; [20.05882353  1.94117647],0
p6,1,0.428729,0.626265,[30 50] ; [ 9 10],[31.51515152 48.48484848] ; [ 7.48484848 11.51515152],0
v2,1,0.428964,0.625627,[56 23] ; [13  8],[54.51 24.49] ; [14.49  6.51],0
u3,1,0.468717,0.525,[ 6 10] ; [1 4],[ 5.33333333 10.66666667] ; [1.66666667 3.33333333],0
b2,1,0.534989,0.384906,[26 27] ; [6 9],[24.94117647 28.05882353] ; [7.05882353 7.94117647],0
b3,1,0.534989,0.384906,[26 27] ; [6 9],[24.94117647 28.05882353] ; [7.05882353 7.94117647],0
p3,1,0.55722,0.344541,[47 32] ; [11 10],[45.82 33.18] ; [12.18  8.82],0
p5,1,0.561901,0.336424,[15 64] ; [ 3 19],[14.07920792 64.92079208] ; [ 3.92079208 18.07920792],0
d3,1,0.582833,0.301678,[38 42] ; [ 9 13],[36.8627451 43.1372549] ; [10.1372549 11.8627451],0
a6,1,0.60451,0.268247,[34 46] ; [ 8 14],[32.94117647 47.05882353] ; [ 9.05882353 12.94117647],0
a1,1,0.626276,0.237145,[ 8 72] ; [ 3 19],[ 8.62745098 71.37254902] ; [ 2.37254902 19.62745098],0
u1,1,0.627364,0.235653,[ 6 74] ; [ 1 21],[ 5.49019608 74.50980392] ; [ 1.50980392 20.49019608],0
p11,1,0.640228,0.218444,[62 18] ; [16  6],[61.17647059 18.82352941] ; [16.82352941  5.17647059],0
d1,1,0.705653,0.142657,[40 40] ; [12 10],[40.78431373 39.21568627] ; [11.21568627 10.78431373],0
s2,1,0.723576,0.125092,[47 33] ; [12 10],[46.2745098 33.7254902] ; [12.7254902  9.2745098],0
b5,1,0.723576,0.125092,[33 47] ; [10 12],[33.7254902 46.2745098] ; [ 9.2745098 12.7254902],0
s3,1,0.731975,0.117306,[49 31] ; [12  9],[48.31683168 31.68316832] ; [12.68316832  8.31683168],0
b4,1,0.754977,0.097396,[43 37] ; [11 11],[42.35294118 37.64705882] ; [11.64705882 10.35294118],0
s4,1,0.765296,0.089122,[13 67] ; [ 3 19],[12.54901961 67.45098039] ; [ 3.45098039 18.54901961],0
a4,1,0.770744,0.084915,[30 50] ; [ 9 13],[30.58823529 49.41176471] ; [ 8.41176471 13.58823529],0
n4,1,0.772473,0.083603,[71  9] ; [20  2],[71.37254902  8.62745098] ; [19.62745098  2.37254902],0
a3,1,0.779342,0.078499,[64 16] ; [17  5],[63.52941176 16.47058824] ; [17.47058824  4.52941176],0
p2,1,0.804802,0.061077,[62 17] ; [17  4],[62.41 16.59] ; [16.59  4.41],0
n2,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
n1,1,0.830696,0.045714,[6 9] ; [4 5],[6.25 8.75] ; [3.75 5.25],0
n5,1,0.87293,0.02558,[68 12] ; [19  3],[68.23529412 11.76470588] ; [18.76470588  3.23529412],0
p7,1,0.880332,0.022665,[57 21] ; [15  6],[56.72727273 21.27272727] ; [15.27272727  5.72727273],0
n3,1,0.896743,0.016842,[12  3] ; [7 2],[11.875  3.125] ; [7.125 1.875],0
a2,1,0.930313,0.007648,[ 4 76] ; [ 1 21],[ 3.92156863 76.07843137] ; [ 1.07843137 20.92156863],0
d4,1,0.931862,0.007311,[64 15] ; [18  4],[64.13861386 14.86138614] ; [17.86138614  4.13861386],0
b1,1,0.947148,0.004394,[37 43] ; [10 12],[36.8627451 43.1372549] ; [10.1372549 11.8627451],0
p4,1,0.950487,0.003856,[48 31] ; [12  8],[47.87878788 31.12121212] ; [12.12121212  7.87878788],0
