Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,160.723635,[317   8] ; [17 28],[293.37837838  31.62162162] ; [40.62162162  4.37837838],1
p11,1,0.0,56.795266,[289  36] ; [20 25],[271.41891892  53.58108108] ; [37.58108108  7.41891892],1
n5,1,8e-06,19.972759,[276  48] ; [26 19],[265.17073171  58.82926829] ; [36.82926829  8.17073171],1
p7,1,6.6e-05,15.92358,[258  64] ; [24 21],[247.42234332  74.57765668] ; [34.57765668 10.42234332],1
p2,1,0.00017,14.13575,[300  23] ; [34 11],[293.1576087  29.8423913] ; [40.8423913  4.1576087],1
n6,1,0.000652,11.621053,[297  27] ; [33 11],[290.54347826  33.45652174] ; [39.45652174  4.54347826],1
a5,1,0.000716,11.446935,[266  59] ; [27 18],[257.36486486  67.63513514] ; [35.63513514  9.36486486],1
v1,1,0.000751,11.358523,[201 113] ; [17 28],[190.67409471 123.32590529] ; [27.32590529 17.67409471],1
r4,1,0.000767,11.320416,[306  19] ; [36  9],[300.40540541  24.59459459] ; [41.59459459  3.40540541],1
n4,1,0.000888,11.047974,[280  45] ; [30 15],[272.2972973  52.7027027] ; [37.7027027  7.2972973],1
a6,1,0.001167,10.542099,[236  89] ; [22 23],[226.62162162  98.37837838] ; [31.37837838 13.62162162],0
v4,1,0.001605,9.953504,[313  10] ; [39  6],[308.95652174  14.04347826] ; [43.04347826  1.95652174],0
v2,1,0.00168,9.869672,[199 115] ; [17 27],[189.45251397 124.54748603] ; [26.54748603 17.45251397],0
a3,1,0.001828,9.7147,[250  74] ; [25 20],[241.46341463  82.53658537] ; [33.53658537 11.46341463],0
r1,1,0.002599,9.069578,[274  49] ; [30 15],[266.82608696  56.17391304] ; [37.17391304  7.82608696],0
p8,1,0.003485,8.534542,[234  89] ; [23 22],[225.57336957  97.42663043] ; [31.42663043 13.57336957],0
r2,1,0.003921,8.319939,[307  15] ; [38  7],[302.69754768  19.30245232] ; [42.30245232  2.69754768],0
v3,1,0.005472,7.716426,[150 162] ; [11 32],[141.49859155 170.50140845] ; [19.50140845 23.49859155],0
d4,1,0.009583,6.710858,[279  45] ; [32 13],[273.07317073  50.92682927] ; [37.92682927  7.07317073],0
u2,1,0.010214,6.597222,[50 25] ; [ 7 13],[45. 30.] ; [12.  8.],0
d1,1,0.011386,6.40412,[221 104] ; [22 23],[213.44594595 111.55405405] ; [29.55405405 15.44594595],0
a2,1,0.022608,5.198375,[ 96 229] ; [ 6 39],[ 89.59459459 235.40540541] ; [12.40540541 32.59459459],0
s1,1,0.023274,5.147939,[  8 315] ; [ 4 41],[ 10.5326087 312.4673913] ; [ 1.4673913 43.5326087],0
s5,1,0.032136,4.591224,[135 175] ; [11 31],[128.57954545 181.42045455] ; [17.42045455 24.57954545],0
s7,1,0.033118,4.539686,[185 117] ; [19 24],[178.57391304 123.42608696] ; [25.42608696 17.57391304],0
p6,1,0.039964,4.219399,[178 145] ; [17 27],[171.62125341 151.37874659] ; [23.37874659 20.62125341],0
d5,1,0.04692,3.948269,[281  43] ; [34 11],[276.58536585  47.41463415] ; [38.41463415  6.58536585],0
r3,1,0.057814,3.599009,[312  10] ; [41  4],[309.71662125  12.28337875] ; [43.28337875  1.71662125],0
b5,1,0.062036,3.48211,[176 149] ; [31 14],[181.82432432 143.17567568] ; [25.17567568 19.82432432],0
b1,1,0.075266,3.164276,[135 190] ; [25 20],[140.54054054 184.45945946] ; [19.45945946 25.54054054],0
d3,1,0.092205,2.835457,[241  84] ; [28 17],[236.28378378  88.71621622] ; [32.71621622 12.28378378],0
a4,1,0.106432,2.606418,[164 160] ; [17 28],[158.92682927 165.07317073] ; [22.07317073 22.92682927],0
a7,1,0.108215,2.580102,[245  79] ; [29 16],[240.58536585  83.41463415] ; [33.41463415 11.58536585],0
s8,1,0.124295,2.362344,[172 151] ; [18 26],[167.22070845 155.77929155] ; [22.77929155 21.22070845],0
s4,1,0.148856,2.083939,[ 58 262] ; [12 32],[ 61.53846154 258.46153846] ; [ 8.46153846 35.53846154],0
p5,1,0.165604,1.922298,[ 72 250] ; [ 6 39],[ 68.4359673 253.5640327] ; [ 9.5640327 35.4359673],0
n1,1,0.190016,1.717491,[18 30] ; [8 6],[20.12903226 27.87096774] ; [5.87096774 8.12903226],0
b4,1,0.259667,1.270531,[188 137] ; [30 15],[191.48648649 133.51351351] ; [26.51351351 18.48648649],0
u1,1,0.333013,0.937145,[ 79 246] ; [ 8 37],[ 76.41891892 248.58108108] ; [10.58108108 34.41891892],0
n3,1,0.335609,0.927132,[37 11] ; [9 5],[35.61290323 12.38709677] ; [10.38709677  3.61290323],0
d2,1,0.458183,0.550331,[178 147] ; [22 23],[175.67567568 149.32432432] ; [24.32432432 20.67567568],0
n2,1,0.476249,0.50744,[33 15] ; [11  3],[34.06451613 13.93548387] ; [9.93548387 4.06451613],0
s6,1,0.486908,0.483351,[238  78] ; [31 13],[236.12222222  79.87777778] ; [32.87777778 11.12222222],0
a1,1,0.599426,0.275862,[ 21 304] ; [ 2 43],[ 20.2027027 304.7972973] ; [ 2.7972973 42.2027027],0
s2,1,0.62183,0.243305,[185 137] ; [23 20],[183.49589041 138.50410959] ; [24.50410959 18.49589041],0
u4,1,0.630336,0.231606,[ 10 314] ; [ 2 43],[ 10.53658537 313.46341463] ; [ 1.46341463 43.53658537],0
b2,1,0.699035,0.149478,[ 83 125] ; [12 21],[ 81.99170124 126.00829876] ; [13.00829876 19.99170124],0
b3,1,0.699035,0.149478,[ 83 125] ; [12 21],[ 81.99170124 126.00829876] ; [13.00829876 19.99170124],0
u3,1,0.763924,0.090199,[46 29] ; [13  7],[46.57894737 28.42105263] ; [12.42105263  7.57894737],0
s3,1,0.831565,0.045239,[191 129] ; [27 17],[191.64835165 128.35164835] ; [26.35164835 17.64835165],0
p1,1,0.862747,0.029887,[ 40 282] ; [ 6 39],[ 40.35967302 281.64032698] ; [ 5.64032698 39.35967302],0
a8,1,0.974044,0.001059,[ 38 255] ; [ 5 33],[ 38.06344411 254.93655589] ; [ 4.93655589 33.06344411],0
