Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,22.157218,[41 13] ; [ 64 100],[26.00917431 27.99082569] ; [78.99082569 85.00917431],1
p2,1,4e-06,21.364423,[53  1] ; [109  55],[40.12844037 13.87155963] ; [121.87155963  42.12844037],1
p3,1,3.4e-05,17.178542,[37 17] ; [ 59 104],[23.88940092 30.11059908] ; [72.11059908 90.88940092],1
p7,1,3.6e-05,17.091836,[42 12] ; [74 89],[28.86635945 25.13364055] ; [87.13364055 75.86635945],1
p8,1,0.000135,14.563766,[37 17] ; [ 63 100],[24.88479263 29.11520737] ; [75.11520737 87.88479263],1
s7,1,0.000315,12.977361,[23 29] ; [ 28 120],[13.26 38.74] ; [ 37.74 110.26],1
s8,1,0.000865,11.095589,[21 33] ; [ 28 136],[12.13761468 41.86238532] ; [ 36.86238532 127.13761468],1
p9,1,0.002642,9.039289,[48  6] ; [108  51],[39.54929577 14.45070423] ; [116.45070423  42.54929577],0
n6,1,0.003889,8.335011,[49  5] ; [115  46],[41.19069767 12.80930233] ; [122.80930233  38.19069767],0
u1,1,0.010767,6.503403,[14 40] ; [ 19 145],[ 8.17431193 45.82568807] ; [ 24.82568807 139.17431193],0
p12,1,0.012555,6.230769,[ 5 49] ; [  3 159],[ 2. 52.] ; [  6. 156.],0
a7,1,0.037337,4.334955,[45  9] ; [112  51],[39.06912442 14.93087558] ; [117.93087558  45.06912442],0
v1,1,0.040016,4.217215,[32 22] ; [69 91],[25.48598131 28.51401869] ; [75.51401869 84.48598131],0
r1,1,0.058782,3.571429,[47  7] ; [121  41],[42. 12.] ; [126.  36.],0
d1,1,0.063719,3.437851,[38 16] ; [92 72],[32.20183486 21.79816514] ; [97.79816514 66.20183486],0
p10,1,0.070425,3.27308,[44 10] ; [112  51],[38.8202765 15.1797235] ; [117.1797235  45.8202765],0
n4,1,0.073463,3.203907,[47  7] ; [123  40],[42.30414747 11.69585253] ; [127.69585253  35.30414747],0
r4,1,0.079798,3.069018,[48  6] ; [128  36],[43.59633028 10.40366972] ; [132.40366972  31.59633028],0
v3,1,0.096378,2.764487,[24 28] ; [ 52 104],[19. 33.] ; [57. 99.],0
s2,1,0.110123,2.552458,[14 40] ; [ 26 135],[10.04651163 43.95348837] ; [ 29.95348837 131.04651163],0
s5,1,0.117325,2.452669,[10 41] ; [ 18 144],[ 6.70422535 44.29577465] ; [ 21.29577465 140.70422535],0
r2,1,0.126756,2.331788,[51  2] ; [142  17],[48.25  4.75] ; [144.75  14.25],0
d3,1,0.144782,2.126383,[41 13] ; [107  57],[36.66055046 17.33944954] ; [111.33944954  52.66055046],0
a2,1,0.165877,1.919813,[18 36] ; [ 39 125],[14.11926606 39.88073394] ; [ 42.88073394 121.11926606],0
b2,1,0.173393,1.853357,[19 16] ; [41 59],[15.55555556 19.44444444] ; [44.44444444 55.55555556],0
b3,1,0.173393,1.853357,[19 16] ; [41 59],[15.55555556 19.44444444] ; [44.44444444 55.55555556],0
v2,1,0.176032,1.830808,[33 20] ; [82 77],[28.75 24.25] ; [86.25 72.75],0
p11,1,0.219797,1.505695,[44 10] ; [120  44],[40.62385321 13.37614679] ; [123.37614679  40.62385321],0
a4,1,0.323931,0.973009,[32 22] ; [84 79],[28.86635945 25.13364055] ; [87.13364055 75.86635945],0
n5,1,0.332145,0.940516,[42 12] ; [115  47],[39.25 14.75] ; [117.75  44.25],0
a3,1,0.347185,0.883718,[45  9] ; [126  37],[42.55299539 11.44700461] ; [128.44700461  34.55299539],0
n2,1,0.348425,0.879187,[9 3] ; [29 19],[7.6 4.4] ; [30.4 17.6],0
s3,1,0.375409,0.785683,[17 37] ; [ 41 121],[14.5 39.5] ; [ 43.5 118.5],0
p1,1,0.38663,0.749516,[ 6 48] ; [ 12 151],[ 4.47926267 49.52073733] ; [ 13.52073733 149.47926267],0
r3,1,0.405703,0.691358,[49  5] ; [140  22],[47.25  6.75] ; [141.75  20.25],0
n3,1,0.409889,0.679122,[9 3] ; [28 17],[7.78947368 4.21052632] ; [29.21052632 15.78947368],0
a1,1,0.5035,0.447551,[ 2 52] ; [ 10 154],[ 2.97247706 51.02752294] ; [  9.02752294 154.97247706],0
s1,1,0.529961,0.394466,[ 1 51] ; [  6 156],[ 1.70093458 50.29906542] ; [  5.29906542 156.70093458],0
