Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001001,10.825084,[35 19] ; [ 9 23],[27.62790698 26.37209302] ; [16.37209302 15.62790698],0
d3,1,0.006646,7.366187,[38 16] ; [13 19],[32.02325581 21.97674419] ; [18.97674419 13.02325581],0
r4,1,0.03033,4.690477,[38 16] ; [15 17],[33.27906977 20.72093023] ; [19.72093023 12.27906977],0
d2,1,0.038018,4.304203,[15 39] ; [16 16],[19.46511628 34.53488372] ; [11.53488372 20.46511628],0
a4,1,0.046998,3.945472,[14 40] ; [15 17],[18.20930233 35.79069767] ; [10.79069767 21.20930233],0
b3,1,0.053106,3.740585,[13 15] ; [ 5 19],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
b2,1,0.053106,3.740585,[13 15] ; [ 5 19],[ 9.69230769 18.30769231] ; [ 8.30769231 15.69230769],0
b4,1,0.056504,3.637137,[35 19] ; [14 18],[30.76744186 23.23255814] ; [18.23255814 13.76744186],0
n6,1,0.060253,3.530398,[45  9] ; [21 11],[41.44186047 12.55813953] ; [24.55813953  7.44186047],0
n5,1,0.072917,3.216097,[36 18] ; [27  5],[39.55813953 14.44186047] ; [23.44186047  8.55813953],0
n1,1,0.07956,3.073874,[ 4 10] ; [7 4],[6.16 7.84] ; [4.84 6.16],0
p4,1,0.084761,2.971155,[28 26] ; [22  9],[31.76470588 22.23529412] ; [18.23529412 12.76470588],0
b1,1,0.094449,2.796856,[22 32] ; [19 13],[25.74418605 28.25581395] ; [15.25581395 16.74418605],0
d5,1,0.09803,2.737305,[44 10] ; [21 11],[40.81395349 13.18604651] ; [24.18604651  7.81395349],0
s2,1,0.10542,2.621573,[24 30] ; [20 12],[27.62790698 26.37209302] ; [16.37209302 15.62790698],0
n2,1,0.12182,2.393769,[9 5] ; [10  1],[10.64  3.36] ; [8.36 2.64],0
s7,1,0.16639,1.91517,[18 32] ; [16 15],[20.98765432 29.01234568] ; [13.01234568 17.98765432],0
v4,1,0.181952,1.781609,[49  5] ; [25  6],[47.01176471  6.98823529] ; [26.98823529  4.01176471],0
u3,1,0.197156,1.663316,[10 12] ; [7 3],[11.6875 10.3125] ; [5.3125 4.6875],0
r2,1,0.227634,1.455587,[45  8] ; [23  8],[42.9047619 10.0952381] ; [25.0952381  5.9047619],0
