Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,64.042339,[ 59 188] ; [80 39],[ 93.80601093 153.19398907] ; [45.19398907 73.80601093],1
p7,1,0.0,27.725534,[ 84 161] ; [75 43],[107.31404959 137.68595041] ; [51.68595041 66.31404959],1
p8,1,3e-06,21.778204,[ 69 178] ; [63 56],[ 89.08196721 157.91803279] ; [42.91803279 76.08196721],1
v1,1,0.000408,12.496056,[ 86 159] ; [63 52],[101.40277778 143.59722222] ; [47.59722222 67.40277778],1
s8,1,0.001256,10.406313,[ 27 224] ; [28 91],[ 37.31081081 213.68918919] ; [ 17.68918919 101.31081081],0
v2,1,0.001649,9.904113,[ 96 139] ; [67 47],[109.75644699 125.24355301] ; [53.24355301 60.75644699],0
n4,1,0.004013,8.277777,[148 101] ; [89 30],[160.36141304  88.63858696] ; [76.63858696 42.36141304],0
p2,1,0.013752,6.069734,[168  82] ; [94 24],[177.98913043  72.01086957] ; [84.01086957 33.98913043],0
d5,1,0.017817,5.614022,[173  78] ; [96 23],[182.48378378  68.51621622] ; [86.51621622 32.48378378],0
p11,1,0.018479,5.550156,[166  85] ; [93 26],[175.7  75.3] ; [83.3 35.7],0
r4,1,0.022392,5.21508,[189  62] ; [102  17],[197.40810811  53.59189189] ; [93.59189189 25.40810811],0
n5,1,0.026668,4.912207,[147 100] ; [85 34],[156.56830601  90.43169399] ; [75.43169399 43.56830601],0
p5,1,0.030818,4.663088,[  8 241] ; [ 10 109],[ 12.17934783 236.82065217] ; [  5.82065217 113.17934783],0
p1,1,0.040949,4.178126,[ 10 239] ; [ 11 107],[ 14.2479564 234.7520436] ; [  6.7520436 111.2479564],0
p10,1,0.043141,4.089882,[158  88] ; [89 30],[166.47123288  79.52876712] ; [80.52876712 38.47123288],0
a5,1,0.045432,4.00254,[148 103] ; [83 36],[156.70540541  94.29459459] ; [74.29459459 44.70540541],0
r2,1,0.056149,3.647629,[212  33] ; [111   8],[217.40384615  27.59615385] ; [105.59615385  13.40384615],0
u1,1,0.071248,3.254037,[ 19 232] ; [ 16 103],[ 23.74324324 227.25675676] ; [ 11.25675676 107.74324324],0
n3,1,0.071629,3.245291,[52 28] ; [21  4],[55.61904762 24.38095238] ; [17.38095238  7.61904762],0
v3,1,0.073511,3.202822,[ 64 176] ; [41 73],[ 71.18644068 168.81355932] ; [33.81355932 80.18644068],0
n6,1,0.093624,2.810938,[181  69] ; [95 23],[187.5  62.5] ; [88.5 29.5],0
s5,1,0.094056,2.803554,[ 41 202] ; [28 87],[ 46.83519553 196.16480447] ; [22.16480447 92.83519553],0
s6,1,0.099705,2.710251,[102 145] ; [60 59],[109.32786885 137.67213115] ; [52.67213115 66.32786885],0
u3,1,0.12332,2.374643,[47 56] ; [30 21],[51.5 51.5] ; [25.5 25.5],0
s3,1,0.123535,2.371922,[ 81 164] ; [48 68],[ 87.54847645 157.45152355] ; [41.45152355 74.54847645],0
d1,1,0.135993,2.222718,[110 141] ; [62 57],[116.68108108 134.31891892] ; [55.31891892 63.68108108],0
p9,1,0.1378,2.202353,[169  76] ; [91 28],[175.  70.] ; [85. 34.],0
a4,1,0.189393,1.722337,[ 83 166] ; [48 71],[ 88.63858696 160.36141304] ; [42.36141304 76.63858696],0
v4,1,0.204958,1.606686,[216  32] ; [109  10],[219.61852861  28.38147139] ; [105.38147139  13.61852861],0
s2,1,0.237989,1.392467,[ 59 188] ; [35 83],[ 63.6109589 183.3890411] ; [30.3890411 87.6109589],0
a1,1,0.240307,1.378792,[ 13 238] ; [  3 116],[ 10.85405405 240.14594595] ; [  5.14594595 113.85405405],0
a7,1,0.307045,1.043343,[169  80] ; [87 32],[173.2173913  75.7826087] ; [82.7826087 36.2173913],0
r1,1,0.308713,1.036175,[170  79] ; [86 31],[174.16393443  74.83606557] ; [81.83606557 35.16393443],0
b5,1,0.317491,0.999252,[155  96] ; [67 52],[150.6 100.4] ; [71.4 47.6],0
r3,1,0.326128,0.964211,[214  34] ; [107  12],[216.91553134  31.08446866] ; [104.08446866  14.91553134],0
b1,1,0.327171,0.960061,[ 86 165] ; [47 72],[ 90.22432432 160.77567568] ; [42.77567568 76.22432432],0
d2,1,0.35422,0.85828,[ 95 154] ; [51 67],[ 99.05722071 149.94277929] ; [46.94277929 71.05722071],0
n2,1,0.35934,0.840199,[53 27] ; [19  6],[54.85714286 25.14285714] ; [17.14285714  7.85714286],0
a2,1,0.410833,0.676388,[ 36 215] ; [21 98],[ 38.66756757 212.33243243] ; [ 18.33243243 100.66756757],0
a8,1,0.475918,0.508202,[ 26 210] ; [ 9 97],[ 24.15204678 211.84795322] ; [10.84795322 95.15204678],0
a6,1,0.649386,0.206675,[167  84] ; [82 37],[168.91621622  82.08378378] ; [80.08378378 38.91621622],0
s1,1,0.697196,0.151405,[  8 237] ; [  3 116],[  7.40384615 237.59615385] ; [  3.59615385 115.40384615],0
b4,1,0.729795,0.1193,[145 106] ; [71 48],[146.52972973 104.47027027] ; [69.47027027 49.52972973],0
b2,1,0.75326,0.098812,[40 93] ; [19 49],[39.039801 93.960199] ; [19.960199 48.039801],0
b3,1,0.75326,0.098812,[40 93] ; [19 49],[39.039801 93.960199] ; [19.960199 48.039801],0
a3,1,0.753289,0.098788,[146 102] ; [68 51],[144.61035422 103.38964578] ; [69.38964578 49.61035422],0
d3,1,0.771232,0.084544,[150 101] ; [73 46],[151.27837838  99.72162162] ; [71.72162162 47.27837838],0
p12,1,0.777348,0.079963,[  9 241] ; [  5 114],[  9.48509485 240.51490515] ; [  4.51490515 114.48509485],0
u2,1,0.778106,0.079405,[49 54] ; [25 25],[49.81699346 53.18300654] ; [24.18300654 25.81699346],0
n1,1,0.840862,0.040317,[27 52] ; [ 8 17],[26.58653846 52.41346154] ; [ 8.41346154 16.58653846],0
s4,1,0.874848,0.024807,[ 33 215] ; [ 15 103],[ 32.52459016 215.47540984] ; [ 15.47540984 102.52459016],0
d4,1,0.932172,0.007244,[188  62] ; [89 30],[187.66937669  62.33062331] ; [89.33062331 29.66937669],0
