Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,66.581544,[105   4] ; [14 25],[87.64189189 21.35810811] ; [31.35810811  7.64189189],1
p11,1,0.0,33.961991,[94 16] ; [15 25],[79.93333333 30.06666667] ; [29.06666667 10.93333333],1
r3,1,0.0,33.336499,[99 10] ; [19 21],[86.32214765 22.67785235] ; [31.67785235  8.32214765],1
r4,1,1e-06,23.311146,[76 34] ; [10 30],[63.06666667 46.93333333] ; [22.93333333 17.06666667],1
n6,1,0.000153,14.338316,[96 14] ; [23 16],[87.85234899 22.14765101] ; [31.14765101  7.85234899],1
p8,1,0.000193,13.901764,[54 55] ; [ 6 33],[44.18918919 64.81081081] ; [15.81081081 23.18918919],1
p2,1,0.000197,13.863239,[86 23] ; [19 21],[76.81208054 32.18791946] ; [28.18791946 11.81208054],1
s6,1,0.000393,12.565881,[64 42] ; [11 29],[54.45205479 51.54794521] ; [20.54794521 19.45205479],1
s2,1,0.000963,10.896519,[52 58] ; [ 7 33],[43.26666667 66.73333333] ; [15.73333333 24.26666667],1
v1,1,0.001022,10.786711,[54 52] ; [ 8 31],[45.32413793 60.67586207] ; [16.67586207 22.32413793],0
v4,1,0.001364,10.254447,[94 15] ; [25 15],[87.05369128 21.94630872] ; [31.94630872  8.05369128],0
s8,1,0.003618,8.466432,[41 69] ; [ 5 35],[33.73333333 76.26666667] ; [12.26666667 27.73333333],0
n2,1,0.00407,8.252367,[28  5] ; [ 9 10],[23.48076923  9.51923077] ; [13.51923077  5.48076923],0
p7,1,0.004214,8.189283,[61 47] ; [12 28],[53.27027027 54.72972973] ; [19.72972973 20.27027027],0
p3,1,0.004734,7.978497,[53 57] ; [ 9 31],[45.46666667 64.53333333] ; [16.53333333 23.46666667],0
a1,1,0.009704,6.688488,[  5 105] ; [ 7 33],[  8.8 101.2] ; [ 3.2 36.8],0
p4,1,0.00974,6.681818,[62 48] ; [13 27],[55. 55.] ; [20. 20.],0
a5,1,0.015322,5.879057,[71 39] ; [17 23],[64.53333333 45.46666667] ; [23.46666667 16.53333333],0
d4,1,0.017334,5.662195,[78 32] ; [20 20],[71.86666667 38.13333333] ; [26.13333333 13.86666667],0
d2,1,0.021858,5.257035,[36 73] ; [21 18],[41.97972973 67.02027027] ; [15.02027027 23.97972973],0
v2,1,0.025257,5.006177,[49 57] ; [10 29],[43.13103448 62.86896552] ; [15.86896552 23.13103448],0
r2,1,0.030893,4.6589,[89 18] ; [26 13],[84.28082192 22.71917808] ; [30.71917808  8.28082192],0
a7,1,0.038025,4.303909,[65 45] ; [16 24],[59.4 50.6] ; [21.6 18.4],0
s7,1,0.038405,4.286988,[44 59] ; [ 9 29],[38.71631206 64.28368794] ; [14.28368794 23.71631206],0
d5,1,0.052114,3.772112,[79 31] ; [22 18],[74.06666667 35.93333333] ; [26.93333333 13.06666667],0
u3,1,0.057164,3.617808,[16 25] ; [ 3 17],[12.7704918 28.2295082] ; [ 6.2295082 13.7704918],0
s3,1,0.068099,3.328255,[57 53] ; [14 26],[52.06666667 57.93333333] ; [18.93333333 21.06666667],0
s5,1,0.070112,3.280387,[26 78] ; [ 4 33],[22.12765957 81.87234043] ; [ 7.87234043 29.12765957],0
d3,1,0.089114,2.89031,[58 51] ; [15 25],[53.40268456 55.59731544] ; [19.59731544 20.40268456],0
v3,1,0.131658,2.272844,[35 72] ; [ 8 32],[31.29931973 75.70068027] ; [11.70068027 28.29931973],0
d1,1,0.131668,2.272727,[48 62] ; [12 28],[44. 66.] ; [16. 24.],0
u2,1,0.140777,2.169448,[19 22] ; [ 5 14],[16.4 24.6] ; [ 7.6 11.4],0
p5,1,0.146758,2.105632,[15 94] ; [ 2 37],[12.52027027 96.47972973] ; [ 4.47972973 34.52027027],0
a3,1,0.16053,1.969223,[69 41] ; [20 20],[65.26666667 44.73333333] ; [23.73333333 16.26666667],0
a4,1,0.185118,1.756049,[35 75] ; [17 22],[38.38926174 71.61073826] ; [13.61073826 25.38926174],0
b1,1,0.19366,1.689549,[42 68] ; [20 20],[45.46666667 64.53333333] ; [16.53333333 23.46666667],0
b4,1,0.258195,1.278409,[69 41] ; [21 19],[66. 44.] ; [24. 16.],0
p6,1,0.322579,0.978463,[37 71] ; [10 29],[34.53061224 73.46938776] ; [12.46938776 26.53061224],0
p12,1,0.442417,0.590005,[  6 103] ; [ 1 39],[  5.12080537 103.87919463] ; [ 1.87919463 38.12080537],0
a8,1,0.452202,0.565126,[13 92] ; [ 3 35],[11.74825175 93.25174825] ; [ 4.25174825 33.74825175],0
n3,1,0.47155,0.518341,[24  9] ; [12  7],[22.84615385 10.15384615] ; [13.15384615  5.84615385],0
s1,1,0.474376,0.511765,[  3 107] ; [ 2 37],[  3.69127517 106.30872483] ; [ 1.30872483 37.69127517],0
u1,1,0.47637,0.507162,[  5 105] ; [ 3 37],[  5.86666667 104.13333333] ; [ 2.13333333 37.86666667],0
a6,1,0.514706,0.424488,[67 43] ; [22 18],[65.26666667 44.73333333] ; [23.73333333 16.26666667],0
p1,1,0.538253,0.378788,[12 98] ; [ 3 37],[11. 99.] ; [ 4. 36.],0
b5,1,0.633992,0.226687,[64 46] ; [25 15],[65.26666667 44.73333333] ; [23.73333333 16.26666667],0
s4,1,0.644373,0.213068,[21 89] ; [ 9 31],[22. 88.] ; [ 8. 32.],0
n4,1,0.738083,0.111819,[88 22] ; [31  9],[87.26666667 22.73333333] ; [31.73333333  8.26666667],0
b2,1,0.743745,0.106863,[24 41] ; [ 9 18],[23.31521739 41.68478261] ; [ 9.68478261 17.31521739],0
b3,1,0.743745,0.106863,[24 41] ; [ 9 18],[23.31521739 41.68478261] ; [ 9.68478261 17.31521739],0
a2,1,0.785767,0.073881,[12 98] ; [ 5 35],[12.46666667 97.53333333] ; [ 4.53333333 35.46666667],0
n1,1,0.962128,0.002255,[14 18] ; [ 8 10],[14.08 17.92] ; [ 7.92 10.08],0
