Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,41.067447,[12 95] ; [88 94],[37.02422145 69.97577855] ; [ 62.97577855 119.02422145],1
s3,1,0.0,39.088571,[29 76] ; [117  60],[54.36170213 50.63829787] ; [91.63829787 85.36170213],1
s2,1,0.0,34.002328,[21 86] ; [98 81],[44.52097902 62.47902098] ; [ 74.47902098 104.52097902],1
s5,1,0.0,29.474976,[ 9 95] ; [ 68 108],[28.6 75.4] ; [ 48.4 127.6],1
s7,1,0.0,25.696809,[24 74] ; [97 75],[43.91851852 54.08148148] ; [77.08148148 94.91851852],1
p9,1,7.6e-05,15.663908,[67 38] ; [151  28],[80.59859155 24.40140845] ; [137.40140845  41.59859155],1
n6,1,9e-05,15.337988,[74 32] ; [160  21],[86.42508711 19.57491289] ; [147.57491289  33.42508711],1
p10,1,0.000141,14.487625,[65 41] ; [144  32],[78.56028369 27.43971631] ; [130.43971631  45.56028369],1
v4,1,0.000175,14.081088,[86 20] ; [171   9],[95.25174825 10.74825175] ; [161.74825175  18.25174825],1
p7,1,0.000183,13.994509,[46 60] ; [117  60],[61.05300353 44.94699647] ; [101.94699647  75.05300353],1
u3,1,0.000578,11.845513,[13 32] ; [46 29],[22.125 22.875] ; [36.875 38.125],1
p5,1,0.000579,11.841785,[  3 103] ; [ 29 151],[11.86013986 94.13986014] ; [ 20.13986014 159.86013986],1
u2,1,0.002281,9.308664,[15 30] ; [46 28],[23.06722689 21.93277311] ; [37.93277311 36.06722689],0
n5,1,0.00411,8.234668,[79 28] ; [157  23],[87.98606272 19.01393728] ; [148.01393728  31.98606272],0
r3,1,0.006058,7.53288,[89 17] ; [170  11],[95.65853659 10.34146341] ; [163.34146341  17.65853659],0
p4,1,0.007557,7.135568,[42 65] ; [100  80],[52.94076655 54.05923345] ; [89.05923345 90.94076655],0
r1,1,0.008356,6.955588,[68 39] ; [141  40],[77.64930556 29.35069444] ; [131.35069444  49.64930556],0
r4,1,0.015885,5.81553,[81 26] ; [158  24],[88.48788927 18.51211073] ; [150.51211073  31.48788927],0
r2,1,0.020377,5.379336,[89 18] ; [164  14],[94.98596491 12.01403509] ; [158.01403509  19.98596491],0
p8,1,0.021251,5.306124,[38 67] ; [90 89],[47.32394366 57.67605634] ; [80.67605634 98.32394366],0
p2,1,0.021981,5.24731,[77 30] ; [150  30],[84.63066202 22.36933798] ; [142.36933798  37.63066202],0
p6,1,0.026593,4.917049,[25 80] ; [ 65 113],[33.39222615 71.60777385] ; [ 56.60777385 121.39222615],0
d5,1,0.032025,4.597163,[52 55] ; [112  70],[60.71972318 46.28027682] ; [103.28027682  78.71972318],0
p11,1,0.057484,3.608538,[74 33] ; [144  38],[80.71280277 26.28719723] ; [137.28719723  44.71280277],0
v1,1,0.080382,3.057154,[44 60] ; [94 83],[51.0747331 52.9252669] ; [86.9252669 90.0747331],0
p1,1,0.097645,2.743599,[14 92] ; [ 13 166],[10.04210526 95.95789474] ; [ 16.95789474 162.04210526],0
d4,1,0.106572,2.604333,[54 53] ; [109  72],[60.55902778 46.44097222] ; [102.44097222  78.55902778],0
a1,1,0.110011,2.554058,[ 8 99] ; [  6 176],[  5.183391 101.816609] ; [  8.816609 173.183391],0
s4,1,0.133381,2.252709,[10 97] ; [ 28 152],[14.16724739 92.83275261] ; [ 23.83275261 156.16724739],0
p12,1,0.136725,2.214435,[  4 101] ; [ 15 164],[ 7.02464789 97.97535211] ; [ 11.97535211 167.02464789],0
a4,1,0.186165,1.747711,[34 73] ; [ 44 135],[29.18181818 77.81818182] ; [ 48.81818182 130.18181818],0
b3,1,0.196584,1.667576,[29 36] ; [39 73],[24.97175141 40.02824859] ; [43.02824859 68.97175141],0
b2,1,0.196584,1.667576,[29 36] ; [39 73],[24.97175141 40.02824859] ; [43.02824859 68.97175141],0
v2,1,0.233074,1.422004,[44 58] ; [87 85],[48.76642336 53.23357664] ; [82.23357664 89.76642336],0
b1,1,0.271801,1.207634,[50 57] ; [ 73 109],[45.53979239 61.46020761] ; [ 77.46020761 104.53979239],0
a6,1,0.296921,1.087973,[67 40] ; [102  79],[62.78819444 44.21180556] ; [106.21180556  74.78819444],0
a8,1,0.298141,1.082489,[13 88] ; [ 30 140],[16.02583026 84.97416974] ; [ 26.97416974 143.02583026],0
u1,1,0.387111,0.747999,[  5 102] ; [  5 177],[  3.70242215 103.29757785] ; [  6.29757785 175.70242215],0
a7,1,0.432687,0.615601,[64 43] ; [116  64],[67.10801394 39.89198606] ; [112.89198606  67.10801394],0
v3,1,0.444366,0.584983,[34 71] ; [ 66 113],[36.97183099 68.02816901] ; [ 63.02816901 115.97183099],0
n2,1,0.448344,0.574834,[17  7] ; [34  9],[18.26865672  5.73134328] ; [32.73134328 10.26865672],0
s1,1,0.477099,0.505487,[  4 103] ; [ 10 168],[  5.25614035 101.74385965] ; [  8.74385965 169.25614035],0
b4,1,0.503652,0.447233,[58 49] ; [106  76],[60.71972318 46.28027682] ; [103.28027682  78.71972318],0
p3,1,0.513181,0.427575,[46 61] ; [85 96],[48.67013889 58.32986111] ; [82.32986111 98.67013889],0
d3,1,0.592467,0.286508,[38 69] ; [ 70 111],[40.125 66.875] ; [ 67.875 113.125],0
n1,1,0.608815,0.261905,[13 11] ; [20 22],[12. 12.] ; [21. 21.],0
b5,1,0.675577,0.175148,[65 42] ; [106  76],[63.31141869 43.68858131] ; [107.68858131  74.31141869],0
a5,1,0.703797,0.144552,[62 45] ; [109  72],[63.53125 43.46875] ; [107.46875  73.53125],0
a2,1,0.775134,0.081605,[ 8 99] ; [ 12 170],[ 7.40484429 99.59515571] ; [ 12.59515571 169.40484429],0
a3,1,0.947309,0.004367,[62 44] ; [106  74],[62.26573427 43.73426573] ; [105.73426573  74.26573427],0
d2,1,0.94735,0.004361,[16 90] ; [ 28 154],[16.19444444 89.80555556] ; [ 27.80555556 154.19444444],0
n3,1,0.956877,0.002924,[16  6] ; [31 12],[15.90769231  6.09230769] ; [31.09230769 11.90769231],0
