Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,66.424747,[100   3] ; [19 30],[80.63815789 22.36184211] ; [38.36184211 10.63815789],1
r1,1,0.0,57.813739,[88 14] ; [12 38],[67.10526316 34.89473684] ; [32.89473684 17.10526316],1
r2,1,0.0,55.245743,[102   1] ; [24 23],[86.52 16.48] ; [39.48  7.52],1
v4,1,0.0,40.218248,[95  7] ; [24 26],[79.85526316 22.14473684] ; [39.14473684 10.85526316],1
p2,1,0.000316,12.975435,[66 37] ; [17 34],[55.51298701 47.48701299] ; [27.48701299 23.51298701],1
a1,1,0.000453,12.301273,[  3 100] ; [10 41],[ 8.69480519 94.30519481] ; [ 4.30519481 46.69480519],1
p11,1,0.00076,11.335923,[62 41] ; [16 35],[52.16883117 50.83116883] ; [25.83116883 25.16883117],1
d4,1,0.000788,11.269718,[81 20] ; [27 23],[72.2384106 28.7615894] ; [35.7615894 14.2384106],1
n6,1,0.00131,10.327728,[73 30] ; [22 28],[63.95424837 39.04575163] ; [31.04575163 18.95424837],0
a7,1,0.001459,10.130181,[70 33] ; [20 29],[60.98684211 42.01315789] ; [29.01315789 19.98684211],0
s8,1,0.001638,9.916667,[25 77] ; [ 2 49],[18. 84.] ; [ 9. 42.],0
p7,1,0.002782,8.945211,[43 58] ; [ 9 41],[34.78145695 66.21854305] ; [17.21854305 32.78145695],0
s6,1,0.007402,7.172722,[49 53] ; [13 38],[41.33333333 60.66666667] ; [20.66666667 30.33333333],0
v1,1,0.010465,6.554032,[41 62] ; [ 9 39],[34.10596026 68.89403974] ; [15.89403974 32.10596026],0
n2,1,0.011722,6.352507,[28 11] ; [12 17],[22.94117647 16.05882353] ; [17.05882353 11.94117647],0
u3,1,0.014159,6.018158,[21 17] ; [ 6 19],[16.28571429 21.71428571] ; [10.71428571 14.28571429],0
d3,1,0.014717,5.95,[67 35] ; [23 28],[60. 42.] ; [30. 21.],0
b1,1,0.034238,4.482758,[40 63] ; [29 22],[46.14935065 56.85064935] ; [22.85064935 28.14935065],0
d5,1,0.037262,4.338403,[75 27] ; [29 22],[69.33333333 32.66666667] ; [34.66666667 16.33333333],0
s2,1,0.037386,4.332743,[32 70] ; [ 8 43],[26.66666667 75.33333333] ; [13.33333333 37.66666667],0
p8,1,0.045848,3.987153,[29 72] ; [ 7 43],[24.0794702 76.9205298] ; [11.9205298 38.0794702],0
s7,1,0.048701,3.885615,[32 66] ; [ 8 39],[27.03448276 70.96551724] ; [12.96551724 34.03448276],0
s3,1,0.057842,3.598201,[44 56] ; [14 36],[38.66666667 61.33333333] ; [19.33333333 30.66666667],0
v3,1,0.059569,3.549334,[32 66] ; [ 9 41],[27.14864865 70.85135135] ; [13.85135135 36.14864865],0
n3,1,0.06953,3.294086,[26 11] ; [14 15],[22.42424242 14.57575758] ; [17.57575758 11.42424242],0
p9,1,0.072576,3.223778,[39 60] ; [12 37],[34.11486486 64.88513514] ; [16.88513514 32.11486486],0
p1,1,0.074826,3.173839,[ 3 98] ; [ 5 46],[ 5.31578947 95.68421053] ; [ 2.68421053 48.31578947],0
p4,1,0.090791,2.860288,[31 71] ; [ 9 42],[26.66666667 75.33333333] ; [13.33333333 37.66666667],0
a8,1,0.117202,2.454315,[15 79] ; [ 3 43],[12.08571429 81.91428571] ; [ 5.91428571 40.08571429],0
d1,1,0.121106,2.40296,[52 51] ; [19 32],[47.48701299 55.51298701] ; [23.51298701 27.48701299],0
a2,1,0.128979,2.304746,[25 78] ; [ 7 44],[21.4025974 81.5974026] ; [10.5974026 40.4025974],0
p6,1,0.152783,2.044247,[22 80] ; [ 6 44],[18.78947368 83.21052632] ; [ 9.21052632 40.78947368],0
a4,1,0.160135,1.972952,[49 53] ; [18 32],[44.96052632 57.03947368] ; [22.03947368 27.96052632],0
b2,1,0.178945,1.806364,[17 48] ; [13 20],[19.89795918 45.10204082] ; [10.10204082 22.89795918],0
b3,1,0.178945,1.806364,[17 48] ; [13 20],[19.89795918 45.10204082] ; [10.10204082 22.89795918],0
b4,1,0.186156,1.747777,[64 39] ; [26 25],[60.19480519 42.80519481] ; [29.80519481 21.19480519],0
a5,1,0.18803,1.732988,[62 41] ; [25 26],[58.18831169 44.81168831] ; [28.81168831 22.18831169],0
a6,1,0.199039,1.649412,[65 37] ; [27 24],[61.33333333 40.66666667] ; [30.66666667 20.33333333],0
u1,1,0.208725,1.580244,[18 85] ; [ 5 46],[15.38311688 87.61688312] ; [ 7.61688312 43.38311688],0
a3,1,0.209922,1.571964,[65 37] ; [26 23],[61.47019868 40.52980132] ; [29.52980132 19.47019868],0
n1,1,0.219417,1.508181,[16 22] ; [ 8 21],[13.6119403 24.3880597] ; [10.3880597 18.6119403],0
s1,1,0.296975,1.087727,[ 4 97] ; [ 4 46],[ 5.35099338 95.64900662] ; [ 2.64900662 47.35099338],0
s4,1,0.29726,1.086444,[10 91] ; [ 8 43],[11.96052632 89.03947368] ; [ 6.03947368 44.96052632],0
n5,1,0.37136,0.799109,[56 47] ; [31 19],[58.56862745 44.43137255] ; [28.43137255 21.56862745],0
