Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,58.942062,[133  33] ; [28 61],[104.80784314  61.19215686] ; [56.19215686 32.80784314],1
a5,1,2e-06,22.889755,[118  49] ; [36 54],[100.07003891  66.92996109] ; [53.92996109 36.07003891],1
a4,1,4.4e-05,16.696255,[76 90] ; [18 72],[ 60.953125 105.046875] ; [33.046875 56.953125],1
p3,1,9e-05,15.33993,[68 98] ; [15 74],[ 54.03137255 111.96862745] ; [28.96862745 60.03137255],1
n6,1,0.000539,11.975591,[130  36] ; [52 38],[118.015625  47.984375] ; [63.984375 26.015625],1
a6,1,0.000909,11.004666,[120  47] ; [46 44],[107.86770428  59.13229572] ; [58.13229572 31.86770428],1
d1,1,0.001149,10.570576,[93 74] ; [31 59],[80.57587549 86.42412451] ; [43.42412451 46.57587549],0
a2,1,0.001603,9.956646,[ 34 133] ; [ 5 85],[ 25.34241245 141.65758755] ; [13.65758755 76.34241245],0
v3,1,0.001719,9.827389,[ 57 105] ; [14 72],[ 46.37903226 115.62096774] ; [24.62096774 61.37903226],0
d2,1,0.003661,8.444574,[82 82] ; [28 62],[71.02362205 92.97637795] ; [38.97637795 51.02362205],0
s1,1,0.008196,6.990107,[  3 161] ; [ 8 82],[  7.1023622 156.8976378] ; [ 3.8976378 86.1023622],0
r4,1,0.013212,6.140465,[133  34] ; [59 31],[124.76264591  42.23735409] ; [67.23735409 22.76264591],0
d5,1,0.013736,6.071725,[126  41] ; [54 35],[117.421875  49.578125] ; [62.578125 26.421875],0
p4,1,0.017329,5.662789,[71 93] ; [25 64],[ 62.22924901 101.77075099] ; [33.77075099 55.22924901],0
v2,1,0.017927,5.603243,[82 77] ; [32 57],[73.08870968 85.91129032] ; [40.91129032 48.08870968],0
s8,1,0.019996,5.412259,[ 23 144] ; [ 4 86],[ 17.54474708 149.45525292] ; [ 9.45525292 80.54474708],0
r2,1,0.026483,4.924207,[148  15] ; [73 17],[142.38339921  20.61660079] ; [78.61660079 11.38339921],0
a8,1,0.028388,4.804325,[ 18 135] ; [ 3 84],[ 13.3875 139.6125] ; [ 7.6125 79.3875],0
n1,1,0.029469,4.740018,[16 22] ; [ 7 30],[11.65333333 26.34666667] ; [11.34666667 25.65333333],0
b2,1,0.032257,4.584774,[42 61] ; [11 37],[36.15231788 66.84768212] ; [16.84768212 31.15231788],0
b3,1,0.032257,4.584774,[42 61] ; [11 37],[36.15231788 66.84768212] ; [16.84768212 31.15231788],0
a3,1,0.03524,4.433525,[110  56] ; [47 42],[102.20392157  63.79607843] ; [54.79607843 34.20392157],0
p10,1,0.046006,3.981373,[111  54] ; [48 40],[103.69565217  61.30434783] ; [55.30434783 32.69565217],0
p1,1,0.05049,3.825109,[ 20 147] ; [ 4 85],[ 15.65625 151.34375] ; [ 8.34375 80.65625],0
