Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000676,11.554747,[ 1 11] ; [17  8],[5.83783784 6.16216216] ; [12.16216216 12.83783784],1
b4,1,0.003098,8.748818,[9 3] ; [ 6 19],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
s2,1,0.017983,5.597831,[ 1 11] ; [12 13],[4.21621622 7.78378378] ; [ 8.78378378 16.21621622],0
n6,1,0.026294,4.936579,[3 9] ; [16  9],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
v1,1,0.04044,4.199313,[ 2 10] ; [13 12],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
v3,1,0.04852,3.8919,[ 1 11] ; [10 15],[3.56756757 8.43243243] ; [ 7.43243243 17.56756757],0
u3,1,0.093533,2.8125,[1 5] ; [7 5],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
s3,1,0.120693,2.408304,[3 9] ; [13 12],[5.18918919 6.81081081] ; [10.81081081 14.18918919],0
a5,1,0.126699,2.332495,[5 7] ; [17  8],[7.13513514 4.86486486] ; [14.86486486 10.13513514],0
v2,1,0.151494,2.057143,[3 9] ; [12 12],[5. 7.] ; [10. 14.],0
p8,1,0.151494,2.057143,[5 7] ; [16  8],[7. 5.] ; [14. 10.],0
a4,1,0.155808,2.014444,[ 2 10] ; [10 15],[3.89189189 8.10810811] ; [ 8.10810811 16.89189189],0
a8,1,0.190732,1.711957,[3 9] ; [ 2 21],[ 1.71428571 10.28571429] ; [ 3.28571429 19.71428571],0
p5,1,0.233614,1.418719,[ 1 11] ; [ 6 18],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
p9,1,0.271067,1.21134,[7 5] ; [19  6],[8.43243243 3.56756757] ; [17.56756757  7.43243243],0
s7,1,0.284005,1.147826,[2 9] ; [ 8 14],[3.33333333 7.66666667] ; [ 6.66666667 15.33333333],0
n5,1,0.290588,1.116894,[6 6] ; [17  8],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
a7,1,0.294859,1.097304,[7 5] ; [10 15],[5.51351351 6.48648649] ; [11.48648649 13.51351351],0
p6,1,0.37095,0.800481,[3 9] ; [10 15],[4.21621622 7.78378378] ; [ 8.78378378 16.21621622],0
d2,1,0.405798,0.691078,[5 7] ; [ 7 18],[3.89189189 8.10810811] ; [ 8.10810811 16.89189189],0
p10,1,0.405798,0.691078,[7 5] ; [18  7],[8.10810811 3.89189189] ; [16.89189189  8.10810811],0
a6,1,0.414172,0.666793,[5 7] ; [14 11],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
r4,1,0.416817,0.659273,[6 6] ; [ 9 16],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
s4,1,0.451946,0.565767,[ 2 10] ; [ 7 18],[2.91891892 9.08108108] ; [ 6.08108108 18.91891892],0
u2,1,0.45675,0.553846,[5 1] ; [8 4],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
r3,1,0.54955,0.358123,[8 4] ; [19  6],[8.75675676 3.24324324] ; [18.24324324  6.75675676],0
b1,1,0.564222,0.332447,[7 5] ; [17  8],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
d4,1,0.564222,0.332447,[7 5] ; [17  8],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
r1,1,0.565449,0.330357,[6 6] ; [10 15],[5.18918919 6.81081081] ; [10.81081081 14.18918919],0
n4,1,0.565449,0.330357,[6 6] ; [15 10],[6.81081081 5.18918919] ; [14.18918919 10.81081081],0
d5,1,0.565449,0.330357,[6 6] ; [15 10],[6.81081081 5.18918919] ; [14.18918919 10.81081081],0
s5,1,0.611982,0.257299,[ 2 10] ; [ 6 19],[2.59459459 9.40540541] ; [ 5.40540541 19.59459459],0
p2,1,0.611982,0.257299,[10  2] ; [19  6],[9.40540541 2.59459459] ; [19.59459459  5.40540541],0
n2,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
b2,1,0.656005,0.198413,[1 6] ; [ 4 14],[1.4 5.6] ; [ 3.6 14.4],0
b3,1,0.656005,0.198413,[1 6] ; [ 4 14],[1.4 5.6] ; [ 3.6 14.4],0
s8,1,0.662771,0.190175,[3 9] ; [ 8 17],[3.56756757 8.43243243] ; [ 7.43243243 17.56756757],0
b5,1,0.717448,0.130951,[7 5] ; [13 12],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
s6,1,0.73173,0.117529,[6 6] ; [14 11],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
d1,1,0.808514,0.05873,[ 2 10] ; [ 5 20],[2.27027027 9.72972973] ; [ 4.72972973 20.27027027],0
d3,1,0.909285,0.012982,[6 6] ; [12 13],[5.83783784 6.16216216] ; [12.16216216 12.83783784],0
a3,1,0.909285,0.012982,[6 6] ; [13 12],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
v4,1,0.93536,0.006578,[8 4] ; [17  8],[8.10810811 3.89189189] ; [16.89189189  8.10810811],0
p11,1,0.947085,0.004405,[9 3] ; [19  6],[9.08108108 2.91891892] ; [18.91891892  6.08108108],0
s1,1,0.972261,0.001209,[ 1 11] ; [ 2 23],[ 0.97297297 11.02702703] ; [ 2.02702703 22.97297297],0
