Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.2e-05,19.216742,[5 5] ; [ 1 44],[1.09090909 8.90909091] ; [ 4.90909091 40.09090909],1
s7,1,0.005403,7.739401,[5 3] ; [ 7 35],[1.92 6.08] ; [10.08 31.92],0
a2,1,0.011599,6.371158,[4 6] ; [ 4 41],[1.45454545 8.54545455] ; [ 6.54545455 38.45454545],0
b1,1,0.032284,4.583333,[9 1] ; [24 21],[6. 4.] ; [27. 18.],0
v1,1,0.082194,3.020979,[5 5] ; [10 34],[2.77777778 7.22222222] ; [12.22222222 31.77777778],0
r2,1,0.086041,2.946927,[8 2] ; [21 21],[5.57692308 4.42307692] ; [23.42307692 18.57692308],0
a6,1,0.111503,2.532788,[7 3] ; [19 26],[4.72727273 5.27272727] ; [21.27272727 23.72727273],0
r4,1,0.123794,2.368648,[4 6] ; [ 8 37],[2.18181818 7.81818182] ; [ 9.81818182 35.18181818],0
s2,1,0.123794,2.368648,[4 6] ; [ 8 37],[2.18181818 7.81818182] ; [ 9.81818182 35.18181818],0
s6,1,0.164915,1.928571,[4 5] ; [10 35],[2.33333333 6.66666667] ; [11.66666667 33.33333333],0
v2,1,0.2155,1.534091,[5 5] ; [13 31],[3.33333333 6.66666667] ; [14.66666667 29.33333333],0
d5,1,0.234346,1.414286,[8 2] ; [27 18],[6.36363636 3.63636364] ; [28.63636364 16.36363636],0
a7,1,0.24869,1.330645,[6 4] ; [18 27],[4.36363636 5.63636364] ; [19.63636364 25.36363636],0
n4,1,0.261811,1.259158,[9 1] ; [33 12],[7.63636364 2.36363636] ; [34.36363636 10.63636364],0
u3,1,0.284735,1.144352,[1 2] ; [ 2 17],[0.40909091 2.59090909] ; [ 2.59090909 16.40909091],0
b3,1,0.323595,0.974359,[1 5] ; [12 20],[2.05263158 3.94736842] ; [10.94736842 21.05263158],0
b2,1,0.323595,0.974359,[1 5] ; [12 20],[2.05263158 3.94736842] ; [10.94736842 21.05263158],0
p6,1,0.336203,0.924856,[2 8] ; [ 4 39],[1.13207547 8.86792453] ; [ 4.86792453 38.13207547],0
p3,1,0.382114,0.763889,[3 7] ; [ 8 37],[2. 8.] ; [ 9. 36.],0
n5,1,0.409203,0.681115,[8 2] ; [30 15],[6.90909091 3.09090909] ; [31.09090909 13.90909091],0
a4,1,0.424601,0.637544,[5 5] ; [16 28],[3.88888889 6.11111111] ; [17.11111111 26.88888889],0
p1,1,0.445525,0.582011,[2 8] ; [ 5 40],[1.27272727 8.72727273] ; [ 5.72727273 39.27272727],0
a1,1,0.445525,0.582011,[2 8] ; [ 5 40],[1.27272727 8.72727273] ; [ 5.72727273 39.27272727],0
u2,1,0.464069,0.536062,[1 2] ; [ 3 16],[0.54545455 2.45454545] ; [ 3.45454545 15.54545455],0
s1,1,0.484073,0.489672,[1 9] ; [ 2 43],[0.54545455 9.45454545] ; [ 2.45454545 42.54545455],0
p7,1,0.48858,0.479651,[3 7] ; [ 9 36],[2.18181818 7.81818182] ; [ 9.81818182 35.18181818],0
a3,1,0.522972,0.408028,[7 3] ; [26 18],[6.11111111 3.88888889] ; [26.88888889 17.11111111],0
r1,1,0.556022,0.346639,[3 7] ; [18 27],[3.81818182 6.18181818] ; [17.18181818 27.81818182],0
n6,1,0.567802,0.326374,[6 4] ; [22 22],[5.18518519 4.81481481] ; [22.81481481 21.18518519],0
a8,1,0.609117,0.261462,[2 8] ; [ 6 38],[1.48148148 8.51851852] ; [ 6.51851852 37.48148148],0
p2,1,0.609698,0.260615,[3 7] ; [17 27],[3.7037037 6.2962963] ; [16.2962963 27.7037037],0
b5,1,0.610562,0.259358,[6 4] ; [23 22],[5.27272727 4.72727273] ; [23.72727273 21.27272727],0
s3,1,0.620294,0.245455,[4 6] ; [14 30],[3.33333333 6.66666667] ; [14.66666667 29.33333333],0
p9,1,0.639938,0.218824,[5 5] ; [18 25],[4.33962264 5.66037736] ; [18.66037736 24.33962264],0
r3,1,0.658225,0.195687,[6 4] ; [23 21],[5.37037037 4.62962963] ; [23.62962963 20.37037037],0
a5,1,0.701741,0.146667,[6 4] ; [24 21],[5.45454545 4.54545455] ; [24.54545455 20.45454545],0
b4,1,0.73824,0.11168,[7 3] ; [29 16],[6.54545455 3.45454545] ; [29.45454545 15.54545455],0
p4,1,0.764763,0.08954,[2 8] ; [11 34],[2.36363636 7.63636364] ; [10.63636364 34.36363636],0
d2,1,0.794698,0.067712,[5 5] ; [20 24],[4.62962963 5.37037037] ; [20.37037037 23.62962963],0
d4,1,0.838977,0.041291,[7 3] ; [30 15],[6.72727273 3.27272727] ; [30.27272727 14.72727273],0
d3,1,0.848544,0.036472,[5 5] ; [21 24],[4.72727273 5.27272727] ; [21.27272727 23.72727273],0
d1,1,0.897464,0.016606,[4 6] ; [19 26],[4.18181818 5.81818182] ; [18.81818182 26.18181818],0
s4,1,0.918799,0.010393,[1 9] ; [ 5 40],[1.09090909 8.90909091] ; [ 4.90909091 40.09090909],0
n2,1,0.948644,0.004149,[1 1] ; [10 11],[0.95652174 1.04347826] ; [10.04347826 10.95652174],0
p10,1,0.957881,0.002789,[4 6] ; [18 26],[4.07407407 5.92592593] ; [17.92592593 26.07407407],0
p11,1,1.0,0.0,[4 6] ; [18 27],[4. 6.] ; [18. 27.],0
