Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.1e-05,18.139989,[69 17] ; [ 9 16],[60.43243243 25.56756757] ; [17.56756757  7.43243243],1
a6,1,0.001312,10.325581,[64 22] ; [10 15],[57.33333333 28.66666667] ; [16.66666667  8.33333333],0
p2,1,0.00522,7.801618,[68 17] ; [13 12],[62.59090909 22.40909091] ; [18.40909091  6.59090909],0
r1,1,0.007579,7.130258,[72 13] ; [15 10],[67.22727273 17.77272727] ; [19.77272727  5.22727273],0
p9,1,0.014731,5.948365,[69 15] ; [14 10],[64.55555556 19.44444444] ; [18.44444444  5.55555556],0
d1,1,0.016041,5.798363,[51 35] ; [ 8 17],[45.71171171 40.28828829] ; [13.28828829 11.71171171],0
p10,1,0.03543,4.424322,[64 20] ; [13 11],[59.88888889 24.11111111] ; [17.11111111  6.88888889],0
a2,1,0.03828,4.29252,[19 67] ; [ 1 24],[15.4954955 70.5045045] ; [ 4.5045045 20.4954955],0
d4,1,0.03878,4.270479,[74 12] ; [17  8],[70.5045045 15.4954955] ; [20.4954955  4.5045045],0
r3,1,0.041791,4.143641,[83  2] ; [22  3],[81.13636364  3.86363636] ; [23.86363636  1.13636364],0
b1,1,0.044079,4.053548,[23 63] ; [12 13],[27.11711712 58.88288288] ; [ 7.88288288 17.11711712],0
n1,1,0.048792,3.882503,[ 4 25] ; [4 5],[ 6.10526316 22.89473684] ; [1.89473684 7.10526316],0
s7,1,0.049535,3.857143,[32 52] ; [ 4 20],[28. 56.] ; [ 8. 16.],0
a1,1,0.063509,3.443295,[ 1 85] ; [ 2 23],[ 2.32432432 83.67567568] ; [ 0.67567568 24.32432432],0
p8,1,0.065287,3.397717,[44 39] ; [ 8 17],[39.96296296 43.03703704] ; [12.03703704 12.96296296],0
r4,1,0.100743,2.693748,[74 12] ; [18  7],[71.27927928 14.72072072] ; [20.72072072  4.27927928],0
s6,1,0.125728,2.344476,[57 28] ; [12 12],[53.80733945 31.19266055] ; [15.19266055  8.80733945],0
v3,1,0.134336,2.241671,[38 44] ; [ 7 17],[34.81132075 47.18867925] ; [10.18867925 13.81132075],0
v4,1,0.189065,1.724892,[81  4] ; [22  3],[79.59090909  5.40909091] ; [23.40909091  1.59090909],0
s8,1,0.190188,1.716164,[29 57] ; [ 5 20],[26.34234234 59.65765766] ; [ 7.65765766 17.34234234],0
d2,1,0.220499,1.501118,[32 54] ; [ 6 19],[29.44144144 56.55855856] ; [ 8.55855856 16.44144144],0
n6,1,0.226491,1.462763,[58 26] ; [14 11],[55.48623853 28.51376147] ; [16.51376147  8.48623853],0
p11,1,0.248255,1.333096,[62 24] ; [15 10],[59.65765766 26.34234234] ; [17.34234234  7.65765766],0
u2,1,0.288589,1.126194,[14 12] ; [3 6],[12.62857143 13.37142857] ; [4.37142857 4.62857143],0
s3,1,0.300974,1.069872,[44 41] ; [10 15],[41.72727273 43.27272727] ; [12.27272727 12.72727273],0
p3,1,0.35528,0.854508,[32 52] ; [ 7 18],[30.05504587 53.94495413] ; [ 8.94495413 16.05504587],0
n2,1,0.35879,0.842125,[18 10] ; [8 2],[19.15789474  8.84210526] ; [6.84210526 3.15789474],0
v1,1,0.419819,0.650822,[48 36] ; [12 13],[46.23853211 37.76146789] ; [13.76146789 11.23853211],0
s4,1,0.437918,0.601732,[20 66] ; [ 4 21],[18.59459459 67.40540541] ; [ 5.40540541 19.59459459],0
p5,1,0.473481,0.513841,[ 7 78] ; [ 1 24],[ 6.18181818 78.81818182] ; [ 1.81818182 23.18181818],0
a5,1,0.490034,0.476451,[58 28] ; [15 10],[56.55855856 29.44144144] ; [16.44144144  8.55855856],0
p6,1,0.499605,0.455775,[23 60] ; [ 5 19],[21.71962617 61.28037383] ; [ 6.28037383 17.71962617],0
b5,1,0.515412,0.423064,[51 35] ; [13 12],[49.58558559 36.41441441] ; [14.41441441 10.58558559],0
a4,1,0.520439,0.413023,[30 56] ; [ 7 18],[28.66666667 57.33333333] ; [ 8.33333333 16.66666667],0
d5,1,0.551407,0.354803,[70 16] ; [19  6],[68.95495495 17.04504505] ; [20.04504505  4.95495495],0
r2,1,0.581798,0.303337,[79  6] ; [24  1],[79.59090909  5.40909091] ; [23.40909091  1.59090909],0
b2,1,0.583587,0.300472,[13 29] ; [4 6],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
b3,1,0.583587,0.300472,[13 29] ; [4 6],[13.73076923 28.26923077] ; [3.26923077 6.73076923],0
a3,1,0.584867,0.298433,[60 26] ; [16  9],[58.88288288 27.11711712] ; [17.11711712  7.88288288],0
p12,1,0.609779,0.260497,[ 6 79] ; [ 1 23],[ 5.4587156 79.5412844] ; [ 1.5412844 22.4587156],0
p4,1,0.634049,0.22661,[42 43] ; [11 14],[40.95454545 44.04545455] ; [12.04545455 12.95454545],0
s1,1,0.65671,0.197544,[ 2 83] ; [ 1 24],[ 2.31818182 82.68181818] ; [ 0.68181818 24.31818182],0
a8,1,0.718371,0.130059,[ 2 75] ; [ 1 24],[ 2.26470588 74.73529412] ; [ 0.73529412 24.26470588],0
b4,1,0.718464,0.129969,[55 31] ; [15 10],[54.23423423 31.76576577] ; [15.76576577  9.23423423],0
s2,1,0.735838,0.113818,[38 48] ; [12 13],[38.73873874 47.26126126] ; [11.26126126 13.73873874],0
n3,1,0.802746,0.062397,[18 11] ; [6 3],[18.31578947 10.68421053] ; [5.68421053 3.31578947],0
s5,1,0.811037,0.057163,[27 57] ; [ 8 15],[27.47663551 56.52336449] ; [ 7.52336449 15.47663551],0
p1,1,0.881596,0.022185,[ 4 81] ; [ 1 24],[ 3.86363636 81.13636364] ; [ 1.13636364 23.86363636],0
u3,1,0.911106,0.012464,[15 11] ; [5 4],[14.85714286 11.14285714] ; [5.14285714 3.85714286],0
n5,1,0.948289,0.004206,[30 55] ; [ 9 16],[30.13636364 54.86363636] ; [ 8.86363636 16.13636364],0
p7,1,0.955828,0.003068,[47 36] ; [14 11],[46.87962963 36.12037037] ; [14.12037037 10.87962963],0
