Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000158,14.27615,[ 5 11] ; [73 21],[11.34545455  4.65454545] ; [66.65454545 27.34545455],1
r4,1,0.016179,5.783367,[11  5] ; [85  9],[13.96363636  2.03636364] ; [82.03636364 11.96363636],0
n5,1,0.023223,5.151722,[7 9] ; [68 26],[10.90909091  5.09090909] ; [64.09090909 29.90909091],0
n4,1,0.023973,5.096568,[ 6 10] ; [63 31],[10.03636364  5.96363636] ; [58.96363636 35.03636364],0
p4,1,0.030319,4.691095,[ 6 10] ; [62 32],[9.89090909 6.10909091] ; [58.10909091 35.89090909],0
r1,1,0.053491,3.728519,[9 7] ; [74 20],[12.07272727  3.92727273] ; [70.92727273 23.07272727],0
d2,1,0.088823,2.895582,[ 4 12] ; [45 49],[7.12727273 8.87272727] ; [41.87272727 52.12727273],0
p11,1,0.091198,2.85309,[8 8] ; [67 27],[10.90909091  5.09090909] ; [64.09090909 29.90909091],0
p10,1,0.106402,2.606871,[10  5] ; [79 15],[12.24770642  2.75229358] ; [76.75229358 17.24770642],0
p6,1,0.112884,2.513378,[9 6] ; [36 58],[6.19266055 8.80733945] ; [38.80733945 55.19266055],0
v3,1,0.145228,2.12167,[ 2 14] ; [28 65],[ 4.40366972 11.59633028] ; [25.59633028 67.40366972],0
v1,1,0.164926,1.928465,[ 5 11] ; [47 47],[7.56363636 8.43636364] ; [44.43636364 49.56363636],0
d1,1,0.176977,1.822831,[7 9] ; [58 36],[9.45454545 6.54545455] ; [55.54545455 38.45454545],0
a4,1,0.185209,1.755319,[ 4 12] ; [40 54],[6.4 9.6] ; [37.6 56.4],0
d4,1,0.207035,1.592038,[15  1] ; [76 18],[13.23636364  2.76363636] ; [77.76363636 16.23636364],0
a2,1,0.225849,1.466813,[ 2 14] ; [25 69],[ 3.92727273 12.07272727] ; [23.07272727 70.92727273],0
b1,1,0.229224,1.44567,[7 9] ; [27 67],[ 4.94545455 11.05454545] ; [29.05454545 64.94545455],0
s8,1,0.245793,1.34706,[10  6] ; [44 50],[7.85454545 8.14545455] ; [46.14545455 47.85454545],0
u2,1,0.278203,1.175849,[3 2] ; [10 19],[1.91176471 3.08823529] ; [11.08823529 17.91176471],0
s7,1,0.283515,1.150165,[11  5] ; [50 42],[9.03703704 6.96296296] ; [51.96296296 40.03703704],0
b4,1,0.292532,1.107933,[8 8] ; [60 34],[9.89090909 6.10909091] ; [58.10909091 35.89090909],0
s5,1,0.321107,0.984432,[5 9] ; [43 43],[6.72 7.28] ; [41.28 44.72],0
p8,1,0.336956,0.921978,[5 9] ; [46 47],[6.6728972 7.3271028] ; [44.3271028 48.6728972],0
s6,1,0.343019,0.899116,[12  4] ; [77 14],[13.30841121  2.69158879] ; [75.69158879 15.30841121],0
v4,1,0.349344,0.875837,[15  1] ; [92  2],[15.56363636  0.43636364] ; [91.43636364  2.56363636],0
a6,1,0.36432,0.822948,[13  3] ; [66 28],[11.49090909  4.50909091] ; [67.50909091 26.49090909],0
s2,1,0.382378,0.763043,[13  3] ; [65 27],[11.55555556  4.44444444] ; [66.44444444 25.55555556],0
p3,1,0.441831,0.591523,[ 6 10] ; [45 49],[7.41818182 8.58181818] ; [43.58181818 50.41818182],0
d3,1,0.468055,0.526564,[14  2] ; [75 19],[12.94545455  3.05454545] ; [76.05454545 17.94545455],0
p2,1,0.468055,0.526564,[14  2] ; [75 19],[12.94545455  3.05454545] ; [76.05454545 17.94545455],0
b3,1,0.505278,0.443833,[3 6] ; [11 37],[2.21052632 6.78947368] ; [11.78947368 36.21052632],0
b2,1,0.505278,0.443833,[3 6] ; [11 37],[2.21052632 6.78947368] ; [11.78947368 36.21052632],0
d5,1,0.588589,0.292553,[12  4] ; [76 18],[12.8  3.2] ; [75.2 18.8],0
s3,1,0.678591,0.171716,[12  4] ; [65 28],[11.30275229  4.69724771] ; [65.69724771 27.30275229],0
u1,1,0.681316,0.168648,[ 3 13] ; [22 72],[ 3.63636364 12.36363636] ; [21.36363636 72.63636364],0
v2,1,0.692315,0.156591,[7 8] ; [48 44],[7.71028037 7.28971963] ; [47.28971963 44.71028037],0
r2,1,0.730698,0.118472,[15  1] ; [89  4],[15.26605505  0.73394495] ; [88.73394495  4.26605505],0
p5,1,0.760382,0.093012,[ 1 15] ; [ 8 86],[ 1.30909091 14.69090909] ; [ 7.69090909 86.30909091],0
p7,1,0.851347,0.035119,[8 6] ; [55 37],[8.32075472 5.67924528] ; [54.67924528 37.32075472],0
a8,1,0.897421,0.01662,[ 1 14] ; [ 5 81],[ 0.89108911 14.10891089] ; [ 5.10891089 80.89108911],0
p9,1,0.946544,0.004495,[13  2] ; [80 13],[12.91666667  2.08333333] ; [80.08333333 12.91666667],0
b5,1,0.963986,0.002039,[12  4] ; [70 24],[11.92727273  4.07272727] ; [70.07272727 23.92727273],0
a3,1,0.974535,0.001019,[11  5] ; [65 29],[11.05454545  4.94545455] ; [64.94545455 29.05454545],0
r3,1,0.974956,0.000986,[14  1] ; [87  6],[14.02777778  0.97222222] ; [86.97222222  6.02777778],0
p1,1,0.983929,0.000406,[ 1 15] ; [ 6 88],[ 1.01818182 14.98181818] ; [ 5.98181818 88.01818182],0
n1,1,1.0,0.0,[1 4] ; [ 4 16],[1. 4.] ; [ 4. 16.],0
