Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,94.502605,[380   7] ; [25 15],[367.06088993  19.93911007] ; [37.93911007  2.06088993],1
r1,1,0.0,68.142829,[343  45] ; [18 27],[323.48267898  64.51732102] ; [37.51732102  7.48267898],1
v4,1,0.0,57.022172,[378  11] ; [29 13],[367.3387471  21.6612529] ; [39.6612529  2.3387471],1
r3,1,0.0,47.384005,[382   5] ; [34  9],[374.4  12.6] ; [41.6  1.4],1
p9,1,0.0,26.89183,[341  40] ; [27 17],[329.90117647  51.09882353] ; [38.09882353  5.90117647],1
p10,1,0.0,26.829057,[332  51] ; [24 19],[320.0657277  62.9342723] ; [35.9342723  7.0657277],1
p2,1,1.4e-05,18.917283,[336  50] ; [28 17],[325.99535963  60.00464037] ; [38.00464037  6.99535963],1
n6,1,0.000294,13.107054,[333  51] ; [29 15],[324.78504673  59.21495327] ; [37.21495327  6.78504673],1
p3,1,0.00065,11.626041,[219 168] ; [13 31],[208.31554524 178.68445476] ; [23.68445476 20.31554524],1
p7,1,0.000669,11.573736,[262 114] ; [20 25],[251.85748219 124.14251781] ; [30.14251781 14.85748219],1
p4,1,0.000859,11.110073,[255 129] ; [18 26],[244.93457944 139.06542056] ; [28.06542056 15.93457944],1
p8,1,0.000887,11.048842,[211 166] ; [13 31],[200.58907363 176.41092637] ; [23.41092637 20.58907363],1
s8,1,0.005165,7.820702,[196 189] ; [13 32],[187.12790698 197.87209302] ; [21.87209302 23.12790698],0
p11,1,0.010883,6.484375,[316  73] ; [30 16],[309.41149425  79.58850575] ; [36.58850575  9.41149425],0
n5,1,0.011494,6.387322,[294  90] ; [26 18],[287.10280374  96.89719626] ; [32.89719626 11.10280374],0
n4,1,0.011537,6.38073,[314  73] ; [30 16],[307.45496536  79.54503464] ; [36.54503464  9.45496536],0
n3,1,0.036888,4.355569,[59 14] ; [11  8],[55.54347826 17.45652174] ; [14.45652174  4.54347826],0
a6,1,0.037776,4.315072,[277 111] ; [26 20],[270.88479263 117.11520737] ; [32.11520737 13.88479263],0
v3,1,0.042403,4.119055,[214 161] ; [19 27],[207.5415677 167.4584323] ; [25.4584323 20.5415677],0
v1,1,0.045796,3.989084,[254 128] ; [22 21],[248.07529412 133.92470588] ; [27.92470588 15.07529412],0
n1,1,0.048595,3.889286,[27 43] ; [ 3 17],[23.33333333 46.66666667] ; [ 6.66666667 13.33333333],0
a5,1,0.061346,3.500615,[316  73] ; [32 14],[311.2  77.8] ; [36.8  9.2],0
s1,1,0.073008,3.214053,[  8 374] ; [ 3 43],[  9.81775701 372.18224299] ; [ 1.18224299 44.81775701],0
u1,1,0.083923,2.987236,[ 95 294] ; [ 6 40],[ 90.31954023 298.68045977] ; [10.68045977 35.31954023],0
b1,1,0.091913,2.840539,[129 260] ; [21 25],[134.13793103 254.86206897] ; [15.86206897 30.13793103],0
s6,1,0.1222,2.388897,[267 112] ; [26 18],[262.52245863 116.47754137] ; [30.47754137 13.52245863],0
