Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,78.951468,[434 101] ; [88 98],[387.3370319 147.6629681] ; [134.6629681  51.3370319],1
d2,1,0.0,74.875701,[311 224] ; [ 40 147],[260.0900277 274.9099723] ; [90.9099723 96.0900277],1
d1,1,0.0,69.295061,[368 168] ; [ 64 124],[319.82320442 216.17679558] ; [112.17679558  75.82320442],1
a4,1,0.0,59.182255,[284 250] ; [ 39 149],[238.89473684 295.10526316] ; [ 84.10526316 103.89473684],1
n4,1,0.0,33.900656,[446  88] ; [118  69],[417.71983356 116.28016644] ; [146.28016644  40.71983356],1
d5,1,0.0,33.101515,[468  67] ; [129  58],[442.37534626  92.62465374] ; [154.62465374  32.37534626],1
r1,1,0.0,32.756956,[467  65] ; [130  57],[441.73018081  90.26981919] ; [155.26981919  31.73018081],1
u1,1,0.0,30.790906,[123 413] ; [  9 179],[ 97.72375691 438.27624309] ; [ 34.27624309 153.72375691],1
d4,1,1e-06,24.650536,[465  70] ; [132  54],[442.9889043  92.0110957] ; [154.0110957  31.9889043],1
a6,1,6e-06,20.386373,[396 139] ; [106  82],[371.46611342 163.53388658] ; [130.53388658  57.46611342],1
r4,1,8e-06,19.903013,[516  20] ; [164  24],[503.42541436  32.57458564] ; [176.57458564  11.42541436],1
p4,1,0.000178,14.051065,[359 175] ; [97 90],[337.73092926 196.26907074] ; [118.26907074  68.73092926],1
d3,1,0.000325,12.923072,[400 136] ; [113  73],[380.84210526 155.15789474] ; [132.15789474  53.84210526],1
p3,1,0.00041,12.485072,[302 233] ; [ 78 110],[281.18948824 253.81051176] ; [98.81051176 89.18948824],1
v2,1,0.000533,11.997952,[315 204] ; [81 96],[295.29310345 223.70689655] ; [100.70689655  76.29310345],1
s8,1,0.000568,11.878548,[258 273] ; [ 64 124],[237.80528512 293.19471488] ; [ 84.19471488 103.80528512],1
s7,1,0.000849,11.130745,[277 234] ; [ 72 109],[257.71531792 253.28468208] ; [91.28468208 89.71531792],1
p10,1,0.002451,9.176461,[459  73] ; [142  43],[445.93026499  86.06973501] ; [155.06973501  29.93026499],0
v1,1,0.002492,9.14668,[311 213] ; [84 97],[293.58865248 230.41134752] ; [101.41134752  79.58865248],0
p11,1,0.005478,7.714556,[446  90] ; [139  49],[433.09392265 102.90607735] ; [151.90607735  36.09392265],0
b3,1,0.007194,7.223926,[136 191] ; [27 74],[124.53504673 202.46495327] ; [38.46495327 62.53504673],0
b2,1,0.007194,7.223926,[136 191] ; [27 74],[124.53504673 202.46495327] ; [38.46495327 62.53504673],0
n6,1,0.007888,7.058659,[467  66] ; [149  38],[456.01111111  76.98888889] ; [159.98888889  27.01111111],0
