Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,34.307021,[ 6 29] ; [27  3],[17.76923077 17.23076923] ; [15.23076923 14.76923077],1
s8,1,0.000138,14.532833,[ 1 37] ; [12 19],[ 7.15942029 30.84057971] ; [ 5.84057971 25.15942029],1
r3,1,0.000568,11.878778,[18 20] ; [27  4],[24.7826087 13.2173913] ; [20.2173913 10.7826087],1
p11,1,0.001307,10.332002,[11 27] ; [21 10],[17.62318841 20.37681159] ; [14.37681159 16.62318841],0
s2,1,0.007474,7.155334,[ 6 32] ; [14 17],[11.01449275 26.98550725] ; [ 8.98550725 22.01449275],0
r4,1,0.007552,7.136826,[10 28] ; [18 13],[15.42028986 22.57971014] ; [12.57971014 18.42028986],0
v4,1,0.010953,6.472876,[18 20] ; [24  7],[23.13043478 14.86956522] ; [18.86956522 12.13043478],0
n2,1,0.024098,5.087534,[7 9] ; [11  2],[9.93103448 6.06896552] ; [8.06896552 4.93103448],0
b4,1,0.077678,3.112833,[19 19] ; [22  9],[22.57971014 15.42028986] ; [18.42028986 12.57971014],0
n3,1,0.089019,2.892033,[ 6 10] ; [9 4],[8.27586207 7.72413793] ; [6.72413793 6.27586207],0
d5,1,0.097408,2.74747,[27 11] ; [16 15],[23.68115942 14.31884058] ; [19.31884058 11.68115942],0
v1,1,0.102109,2.672294,[ 8 29] ; [12 18],[11.04477612 25.95522388] ; [ 8.95522388 21.04477612],0
n5,1,0.103679,2.648017,[21 17] ; [23  8],[24.23188406 13.76811594] ; [19.76811594 11.23188406],0
s3,1,0.122084,2.390384,[ 9 28] ; [13 18],[11.97058824 25.02941176] ; [10.02941176 20.97058824],0
b1,1,0.124108,2.364697,[23 15] ; [13 18],[19.82608696 18.17391304] ; [16.17391304 14.82608696],0
a1,1,0.141968,2.156494,[ 7 31] ; [ 2 29],[ 4.95652174 33.04347826] ; [ 4.04347826 26.95652174],0
n6,1,0.15288,2.043273,[20 17] ; [22  9],[22.85294118 14.14705882] ; [19.14705882 11.85294118],0
p1,1,0.181382,1.786261,[ 5 33] ; [ 8 23],[ 7.15942029 30.84057971] ; [ 5.84057971 25.15942029],0
v2,1,0.181681,1.783816,[10 27] ; [12 16],[12.52307692 24.47692308] ; [ 9.47692308 18.52307692],0
a7,1,0.187178,1.739693,[16 22] ; [18 13],[18.72463768 19.27536232] ; [15.27536232 15.72463768],0
p3,1,0.205804,1.600697,[ 7 30] ; [10 21],[ 9.25 27.75] ; [ 7.75 23.25],0
s5,1,0.245503,1.348714,[ 5 33] ; [ 7 22],[ 6.80597015 31.19402985] ; [ 5.19402985 23.80597015],0
d3,1,0.270686,1.213266,[21 17] ; [13 18],[18.72463768 19.27536232] ; [15.27536232 15.72463768],0
d2,1,0.274454,1.19435,[21 16] ; [13 17],[18.7761194 18.2238806] ; [15.2238806 14.7761194],0
a6,1,0.313282,1.016788,[23 15] ; [15 16],[20.92753623 17.07246377] ; [17.07246377 13.92753623],0
