Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-06,20.277594,[17 19] ; [78 13],[26.92913386  9.07086614] ; [68.07086614 22.92913386],1
p8,1,6.2e-05,16.053419,[ 5 31] ; [49 44],[15.06976744 20.93023256] ; [38.93023256 54.06976744],1
p2,1,7.5e-05,15.687104,[18 19] ; [77 16],[27.03846154  9.96153846] ; [67.96153846 25.03846154],1
r3,1,0.000109,14.977633,[25 12] ; [87  6],[31.87692308  5.12307692] ; [80.12307692 12.87692308],1
p9,1,0.000214,13.708283,[20 15] ; [81 12],[27.6171875  7.3828125] ; [73.3828125 19.6171875],1
r4,1,0.001648,9.904809,[15 22] ; [66 28],[22.8778626 14.1221374] ; [58.1221374 35.8778626],0
b1,1,0.001773,9.770698,[21 16] ; [26 68],[13.27480916 23.72519084] ; [33.72519084 60.27480916],0
s6,1,0.002019,9.531965,[11 25] ; [56 36],[18.84375 17.15625] ; [48.15625 43.84375],0
n6,1,0.002874,8.885789,[22 15] ; [78 15],[28.46153846  8.53846154] ; [71.53846154 21.46153846],0
v4,1,0.004245,8.175874,[26 11] ; [84  9],[31.30769231  5.69230769] ; [78.69230769 14.30769231],0
b4,1,0.006002,7.549814,[16 21] ; [65 29],[22.8778626 14.1221374] ; [58.1221374 35.8778626],0
s7,1,0.03128,4.637554,[ 7 28] ; [36 53],[12.13709677 22.86290323] ; [30.86290323 58.13709677],0
a6,1,0.032653,4.563862,[20 17] ; [69 25],[25.13740458 11.86259542] ; [63.86259542 30.13740458],0
d4,1,0.03655,4.371278,[24 13] ; [77 17],[28.52671756  8.47328244] ; [72.47328244 21.52671756],0
s8,1,0.042961,4.09693,[ 6 31] ; [32 62],[10.73282443 26.26717557] ; [27.26717557 66.73282443],0
p6,1,0.056245,3.64479,[ 7 29] ; [34 58],[11.53125 24.46875] ; [29.46875 62.53125],0
n3,1,0.061629,3.493007,[5 6] ; [20  6],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
n4,1,0.073533,3.202347,[19 18] ; [64 30],[23.44274809 13.55725191] ; [59.55725191 34.44274809],0
d2,1,0.079554,3.073997,[17 20] ; [28 66],[12.70992366 24.29007634] ; [32.29007634 61.70992366],0
p7,1,0.088987,2.892606,[14 23] ; [49 41],[18.35433071 18.64566929] ; [44.64566929 45.35433071],0
p4,1,0.099891,2.707281,[13 24] ; [48 46],[17.22900763 19.77099237] ; [43.77099237 50.22900763],0
s2,1,0.116508,2.463644,[11 26] ; [42 52],[14.96946565 22.03053435] ; [38.03053435 55.96946565],0
a4,1,0.125958,2.341629,[14 23] ; [23 71],[10.45038168 26.54961832] ; [26.54961832 67.45038168],0
s3,1,0.152921,2.042865,[13 24] ; [46 48],[16.66412214 20.33587786] ; [42.33587786 51.66412214],0
n2,1,0.173458,1.852805,[6 5] ; [20  6],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
v2,1,0.20523,1.604763,[12 25] ; [41 51],[15.20155039 21.79844961] ; [37.79844961 54.20155039],0
n5,1,0.220636,1.500233,[20 17] ; [61 32],[23.05384615 13.94615385] ; [57.94615385 35.05384615],0
p3,1,0.271361,1.209852,[13 23] ; [44 50],[15.78461538 20.21538462] ; [41.21538462 52.78461538],0
p5,1,0.281082,1.16185,[ 2 34] ; [11 81],[ 3.65625 32.34375] ; [ 9.34375 82.65625],0
b2,1,0.347394,0.882955,[9 9] ; [21 35],[ 7.2972973 10.7027027] ; [22.7027027 33.2972973],0
b3,1,0.347394,0.882955,[9 9] ; [21 35],[ 7.2972973 10.7027027] ; [22.7027027 33.2972973],0
d1,1,0.352075,0.865964,[14 23] ; [44 50],[16.38167939 20.61832061] ; [41.61832061 52.38167939],0
s1,1,0.385526,0.753005,[ 3 34] ; [ 4 89],[ 1.99230769 35.00769231] ; [ 5.00769231 87.99230769],0
p1,1,0.399986,0.70837,[ 4 33] ; [ 6 87],[ 2.84615385 34.15384615] ; [ 7.15384615 85.84615385],0
r2,1,0.422557,0.643192,[27  8] ; [75 15],[28.56  6.44] ; [73.44 16.56],0
v1,1,0.462901,0.53887,[14 23] ; [40 49],[15.85714286 21.14285714] ; [38.14285714 50.85714286],0
d5,1,0.480719,0.497232,[27 10] ; [74 20],[28.52671756  8.47328244] ; [72.47328244 21.52671756],0
a2,1,0.48885,0.479057,[ 6 31] ; [11 83],[ 4.80152672 32.19847328] ; [12.19847328 81.80152672],0
s4,1,0.50974,0.4346,[ 9 28] ; [18 76],[ 7.6259542 29.3740458] ; [19.3740458 74.6259542],0
s5,1,0.53702,0.381091,[ 7 26] ; [24 66],[ 8.31707317 24.68292683] ; [22.68292683 67.31707317],0
a8,1,0.561154,0.33771,[ 3 32] ; [11 79],[ 3.92 31.08] ; [10.08 79.92],0
d3,1,0.566058,0.329322,[23 13] ; [65 29],[24.36923077 11.63076923] ; [63.63076923 30.36923077],0
a5,1,0.724378,0.124337,[20 17] ; [54 40],[20.90076336 16.09923664] ; [53.09923664 40.90076336],0
u1,1,0.725277,0.123493,[ 3 34] ; [ 6 88],[ 2.54198473 34.45801527] ; [ 6.45801527 87.54198473],0
n1,1,0.776689,0.08045,[3 8] ; [ 8 17],[3.36111111 7.63888889] ; [ 7.63888889 17.36111111],0
u3,1,0.780962,0.07732,[6 8] ; [17 19],[6.44 7.56] ; [16.56 19.44],0
b5,1,0.808151,0.058958,[26 11] ; [64 30],[25.41984733 11.58015267] ; [64.58015267 29.41984733],0
a3,1,0.872067,0.025932,[23 14] ; [57 37],[22.59541985 14.40458015] ; [57.40458015 36.59541985],0
u2,1,0.876914,0.023988,[7 6] ; [19 18],[6.76 6.24] ; [19.24 17.76],0
a1,1,0.897893,0.016467,[ 3 34] ; [ 7 87],[ 2.82442748 34.17557252] ; [ 7.17557252 86.82442748],0
v3,1,0.907787,0.013417,[11 26] ; [28 63],[11.2734375 25.7265625] ; [27.7265625 63.2734375],0
