Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.8e-05,15.865688,[32 11] ; [ 9 23],[23.50666667 19.49333333] ; [17.49333333 14.50666667],1
a6,1,0.002737,8.975079,[31 12] ; [12 20],[24.65333333 18.34666667] ; [18.34666667 13.65333333],0
n5,1,0.005742,7.629692,[25 18] ; [28  4],[30.38666667 12.61333333] ; [22.61333333  9.38666667],0
a4,1,0.016082,5.793874,[10 33] ; [16 16],[14.90666667 28.09333333] ; [11.09333333 20.90666667],0
p1,1,0.023192,5.154103,[ 2 41] ; [ 7 25],[ 5.16 37.84] ; [ 3.84 28.16],0
n1,1,0.041794,4.143521,[5 9] ; [11  4],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
b5,1,0.045334,4.006177,[30 13] ; [15 17],[25.8 17.2] ; [19.2 12.8],0
b4,1,0.065229,3.399181,[28 15] ; [14 18],[24.08 18.92] ; [17.92 14.08],0
n4,1,0.082454,3.015864,[27 16] ; [26  6],[30.38666667 12.61333333] ; [22.61333333  9.38666667],0
b1,1,0.207942,1.585694,[14 29] ; [15 17],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
r4,1,0.207942,1.585694,[29 14] ; [17 15],[26.37333333 16.62666667] ; [19.62666667 12.37333333],0
a5,1,0.220315,1.502316,[25 18] ; [23  9],[27.52 15.48] ; [20.48 11.52],0
a8,1,0.273983,1.196696,[ 6 35] ; [ 2 29],[ 4.55555556 36.44444444] ; [ 3.44444444 27.55555556],0
d2,1,0.294442,1.099201,[15 28] ; [15 17],[17.2 25.8] ; [12.8 19.2],0
d5,1,0.309468,1.032947,[34  9] ; [22 10],[32.10666667 10.89333333] ; [23.89333333  8.10666667],0
u3,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
d4,1,0.330062,0.948655,[35  8] ; [23  9],[33.25333333  9.74666667] ; [24.74666667  7.25333333],0
s5,1,0.339947,0.910632,[17 21] ; [10 20],[15.08823529 22.91176471] ; [11.91176471 18.08823529],0
p11,1,0.350377,0.872093,[36  7] ; [24  8],[34.4  8.6] ; [25.6  6.4],0
