Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.631975,[3 7] ; [92 10],[8.48214286 1.51785714] ; [86.51785714 15.48214286],1
v4,1,2e-06,22.778931,[5 5] ; [97  5],[9.10714286 0.89285714] ; [92.89285714  9.10714286],1
r1,1,7e-06,20.302745,[1 9] ; [79 23],[7.14285714 2.85714286] ; [72.85714286 29.14285714],1
d3,1,0.000712,11.458333,[1 9] ; [65 35],[6. 4.] ; [60. 40.],1
d5,1,0.003792,8.380952,[3 7] ; [74 26],[7. 3.] ; [70. 30.],0
s6,1,0.003951,8.306057,[2 8] ; [67 34],[6.21621622 3.78378378] ; [62.78378378 38.21621622],0
a6,1,0.02039,5.378214,[3 7] ; [67 33],[6.36363636 3.63636364] ; [63.63636364 36.36363636],0
u3,1,0.028193,4.816208,[1 5] ; [22 12],[3.45 2.55] ; [19.55 14.45],0
s7,1,0.029096,4.761941,[1 8] ; [48 50],[4.12149533 4.87850467] ; [44.87850467 53.12149533],0
s2,1,0.034688,4.460444,[2 8] ; [55 45],[5.18181818 4.81818182] ; [51.81818182 48.18181818],0
v2,1,0.042685,4.10784,[2 7] ; [54 40],[4.89320388 4.10679612] ; [51.10679612 42.89320388],0
b1,1,0.059769,3.543773,[7 3] ; [40 62],[4.19642857 5.80357143] ; [42.80357143 59.19642857],0
n6,1,0.07162,3.245499,[5 5] ; [77 24],[7.38738739 2.61261261] ; [74.61261261 26.38738739],0
a3,1,0.084226,2.981417,[4 6] ; [68 33],[6.48648649 3.51351351] ; [65.51351351 35.48648649],0
d2,1,0.084925,2.968025,[2 8] ; [48 51],[4.58715596 5.41284404] ; [45.41284404 53.58715596],0
s5,1,0.129755,2.295437,[1 9] ; [31 62],[3.10679612 6.89320388] ; [28.89320388 64.10679612],0
s3,1,0.1386,2.193439,[3 7] ; [54 45],[5.2293578 4.7706422] ; [51.7706422 47.2293578],0
n4,1,0.156889,2.003963,[5 5] ; [73 29],[6.96428571 3.03571429] ; [71.03571429 30.96428571],0
v3,1,0.234703,1.412128,[2 8] ; [36 56],[3.7254902 6.2745098] ; [34.2745098 57.7254902],0
a4,1,0.238829,1.387491,[3 7] ; [50 51],[4.77477477 5.22522523] ; [48.22522523 52.77477477],0
v1,1,0.23948,1.383655,[3 7] ; [49 50],[4.7706422 5.2293578] ; [47.2293578 51.7706422],0
a7,1,0.260675,1.265166,[5 5] ; [69 33],[6.60714286 3.39285714] ; [67.39285714 34.60714286],0
s4,1,0.262299,1.256582,[1 9] ; [26 74],[2.45454545 7.54545455] ; [24.54545455 75.45454545],0
s8,1,0.263047,1.252649,[3 7] ; [49 52],[4.68468468 5.31531532] ; [47.31531532 53.68468468],0
a8,1,0.294418,1.099306,[2 8] ; [ 9 87],[1.03773585 8.96226415] ; [ 9.96226415 86.03773585],0
d4,1,0.30467,1.05364,[6 4] ; [75 25],[7.36363636 2.63636364] ; [73.63636364 26.36363636],0
b2,1,0.449921,0.570851,[1 4] ; [25 43],[1.78082192 3.21917808] ; [24.21917808 43.78082192],0
b3,1,0.449921,0.570851,[1 4] ; [25 43],[1.78082192 3.21917808] ; [24.21917808 43.78082192],0
a5,1,0.531616,0.391301,[6 4] ; [71 31],[6.875 3.125] ; [70.125 31.875],0
u2,1,0.533249,0.388196,[4 2] ; [18 16],[3.3 2.7] ; [18.7 15.3],0
p10,1,0.538639,0.378069,[9 1] ; [84 18],[8.30357143 1.69642857] ; [84.69642857 17.30357143],0
n1,1,0.54745,0.361905,[2 1] ; [17 18],[1.5 1.5] ; [17.5 17.5],0
u1,1,0.583833,0.300079,[1 9] ; [17 85],[1.60714286 8.39285714] ; [16.39285714 85.60714286],0
s1,1,0.621257,0.244105,[1 9] ; [ 6 94],[0.63636364 9.36363636] ; [ 6.36363636 93.63636364],0
p3,1,0.676833,0.173713,[3 7] ; [37 64],[3.6036036 6.3963964] ; [36.3963964 64.6036036],0
b5,1,0.718698,0.129744,[6 4] ; [67 35],[6.51785714 3.48214286] ; [66.48214286 35.51785714],0
a1,1,0.810767,0.05733,[1 9] ; [ 8 94],[0.80357143 9.19642857] ; [ 8.19642857 93.80357143],0
p7,1,0.838598,0.041489,[4 6] ; [36 62],[3.7037037 6.2962963] ; [36.2962963 61.7037037],0
p4,1,0.851607,0.034995,[4 6] ; [37 63],[3.72727273 6.27272727] ; [37.27272727 62.72727273],0
b4,1,0.895068,0.017396,[6 4] ; [59 43],[5.80357143 4.19642857] ; [59.19642857 42.80357143],0
r3,1,0.900915,0.015502,[9 1] ; [93  9],[9.10714286 0.89285714] ; [92.89285714  9.10714286],0
p11,1,0.916545,0.01098,[7 3] ; [73 29],[7.14285714 2.85714286] ; [72.85714286 29.14285714],0
n5,1,0.931693,0.007347,[7 3] ; [72 29],[7.11711712 2.88288288] ; [71.88288288 29.11711712],0
p5,1,0.932392,0.007197,[1 9] ; [ 9 89],[0.92592593 9.07407407] ; [ 9.07407407 88.92592593],0
p1,1,0.939001,0.005856,[1 9] ; [11 91],[1.07142857 8.92857143] ; [10.92857143 91.07142857],0
p8,1,0.968939,0.001516,[3 7] ; [30 72],[2.94642857 7.05357143] ; [30.05357143 71.94642857],0
