Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,30.732159,[89  9] ; [ 5 10],[81.52212389 16.47787611] ; [12.47787611  2.52212389],1
p2,1,7e-06,20.208681,[70 26] ; [ 2 13],[62.27027027 33.72972973] ; [9.72972973 5.27027027],1
a1,1,1.9e-05,18.331904,[ 3 96] ; [ 5 10],[ 6.94736842 92.05263158] ; [ 1.05263158 13.94736842],1
v2,1,0.000185,13.97615,[54 38] ; [ 1 14],[47.28971963 44.71028037] ; [7.71028037 7.28971963],1
r1,1,0.000692,11.511524,[79 19] ; [6 9],[73.71681416 24.28318584] ; [11.28318584  3.71681416],1
a4,1,0.000704,11.477621,[46 53] ; [14  1],[52.10526316 46.89473684] ; [7.89473684 7.10526316],1
p11,1,0.001062,10.716002,[64 35] ; [ 3 12],[58.18421053 40.81578947] ; [8.81578947 6.18421053],0
s6,1,0.001801,9.741648,[56 43] ; [ 2 13],[50.36842105 48.63157895] ; [7.63157895 7.36842105],0
p10,1,0.002002,9.547321,[60 36] ; [ 3 12],[54.48648649 41.51351351] ; [8.51351351 6.48648649],0
p4,1,0.004611,8.026004,[51 46] ; [ 2 13],[45.90178571 51.09821429] ; [7.09821429 7.90178571],0
r2,1,0.004989,7.883382,[89  9] ; [9 5],[85.75 12.25] ; [12.25  1.75],0
s2,1,0.007178,7.227996,[42 56] ; [ 1 14],[37.2920354 60.7079646] ; [5.7079646 9.2920354],0
p9,1,0.007181,7.227186,[67 30] ; [ 5 10],[62.35714286 34.64285714] ; [9.64285714 5.35714286],0
p8,1,0.014977,5.919165,[39 57] ; [ 1 13],[34.90909091 61.09090909] ; [5.09090909 8.90909091],0
n3,1,0.02156,5.280936,[23  8] ; [2 5],[20.39473684 10.60526316] ; [4.60526316 2.39473684],0
p7,1,0.026676,4.911689,[51 45] ; [ 3 11],[47.12727273 48.87272727] ; [6.87272727 7.12727273],0
s8,1,0.03034,4.689936,[34 65] ; [ 1 14],[30.39473684 68.60526316] ; [ 4.60526316 10.39473684],0
b1,1,0.038674,4.275121,[51 48] ; [12  3],[54.71052632 44.28947368] ; [8.28947368 6.71052632],0
n1,1,0.055491,3.667268,[10 21] ; [5 2],[12.23684211 18.76315789] ; [2.76315789 4.23684211],0
p3,1,0.069887,3.285684,[43 53] ; [ 3 12],[39.78378378 56.21621622] ; [6.21621622 8.78378378],0
d2,1,0.078664,3.092298,[48 50] ; [11  4],[51.16814159 46.83185841] ; [7.83185841 7.16814159],0
n2,1,0.125383,2.348762,[24  9] ; [3 4],[22.275 10.725] ; [4.725 2.275],0
n5,1,0.140425,2.173299,[39 59] ; [9 6],[41.62831858 56.37168142] ; [6.37168142 8.62831858],0
s7,1,0.154977,2.022569,[32 59] ; [ 2 11],[29.75 61.25] ; [4.25 8.75],0
d4,1,0.218773,1.512403,[79 19] ; [10  5],[77.18584071 20.81415929] ; [11.81415929  3.18584071],0
s1,1,0.223295,1.48307,[ 5 92] ; [ 2 13],[ 6.0625 90.9375] ; [ 0.9375 14.0625],0
b5,1,0.344586,0.893297,[59 40] ; [7 8],[57.31578947 41.68421053] ; [8.68421053 6.31578947],0
v1,1,0.364571,0.822087,[44 52] ; [ 5 10],[42.37837838 53.62162162] ; [6.62162162 8.37837838],0
p1,1,0.409555,0.680093,[ 7 91] ; [ 2 13],[ 7.80530973 90.19469027] ; [ 1.19469027 13.80530973],0
n4,1,0.505056,0.444297,[57 42] ; [10  5],[58.18421053 40.81578947] ; [8.81578947 6.18421053],0
a2,1,0.507764,0.438672,[25 74] ; [ 5 10],[26.05263158 72.94736842] ; [ 3.94736842 11.05263158],0
s5,1,0.519282,0.415319,[19 74] ; [ 2 13],[18.08333333 74.91666667] ; [ 2.91666667 12.08333333],0
d1,1,0.519499,0.414888,[55 44] ; [7 8],[53.84210526 45.15789474] ; [8.15789474 6.84210526],0
v3,1,0.535866,0.383255,[31 58] ; [ 4 11],[29.95192308 59.04807692] ; [5.04807692 9.95192308],0
d3,1,0.574869,0.314604,[66 32] ; [9 6],[65.04424779 32.95575221] ; [9.95575221 5.04424779],0
a6,1,0.64344,0.214271,[71 27] ; [10  5],[70.24778761 27.75221239] ; [10.75221239  4.24778761],0
b2,1,0.689135,0.160023,[18 41] ; [3 5],[18.49253731 40.50746269] ; [2.50746269 5.49253731],0
b3,1,0.689135,0.160023,[18 41] ; [3 5],[18.49253731 40.50746269] ; [2.50746269 5.49253731],0
b4,1,0.692156,0.156761,[54 45] ; [9 6],[54.71052632 44.28947368] ; [8.28947368 6.71052632],0
s4,1,0.703844,0.144504,[10 89] ; [ 2 13],[10.42105263 88.57894737] ; [ 1.57894737 13.42105263],0
p5,1,0.76588,0.088666,[ 5 91] ; [ 1 13],[ 5.23636364 90.76363636] ; [ 0.76363636 13.23636364],0
s3,1,0.781438,0.076976,[49 48] ; [7 8],[48.5 48.5] ; [7.5 7.5],0
a8,1,0.828071,0.047166,[11 79] ; [ 2 12],[11.25 78.75] ; [ 1.75 12.25],0
a7,1,0.834445,0.043683,[70 29] ; [11  4],[70.34210526 28.65789474] ; [10.65789474  4.34210526],0
d5,1,0.879671,0.022918,[80 18] ; [12  3],[79.78761062 18.21238938] ; [12.21238938  2.78761062],0
