Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.006294,7.464122,[ 9 37] ; [8 6],[13.03333333 32.96666667] ; [ 3.96666667 10.03333333],0
p5,1,0.012543,6.23246,[ 1 44] ; [ 3 11],[ 3.05084746 41.94915254] ; [ 0.94915254 13.05084746],0
s8,1,0.014768,5.943912,[ 4 41] ; [5 9],[ 6.86440678 38.13559322] ; [ 2.13559322 11.86440678],0
r1,1,0.021408,5.293252,[20 26] ; [11  3],[23.76666667 22.23333333] ; [7.23333333 6.76666667],0
d5,1,0.030902,4.658385,[12 34] ; [8 6],[15.33333333 30.66666667] ; [4.66666667 9.33333333],0
s3,1,0.030964,4.65498,[13 32] ; [8 5],[16.29310345 28.70689655] ; [4.70689655 8.29310345],0
p4,1,0.047275,3.935568,[13 33] ; [8 6],[16.1 29.9] ; [4.9 9.1],0
a5,1,0.069407,3.296978,[14 32] ; [8 6],[16.86666667 29.13333333] ; [5.13333333 8.86666667],0
r2,1,0.078024,3.10559,[32 14] ; [13  1],[34.5 11.5] ; [10.5  3.5],0
d3,1,0.078024,3.10559,[ 9 37] ; [6 8],[11.5 34.5] ; [ 3.5 10.5],0
v2,1,0.086286,2.942338,[ 9 36] ; [6 8],[11.44067797 33.55932203] ; [ 3.55932203 10.44067797],0
b1,1,0.091047,2.855761,[21 25] ; [10  4],[23.76666667 22.23333333] ; [7.23333333 6.76666667],0
p8,1,0.095448,2.780006,[ 9 35] ; [6 8],[11.37931034 32.62068966] ; [ 3.62068966 10.37931034],0
s6,1,0.102722,2.662763,[12 33] ; [7 7],[14.49152542 30.50847458] ; [4.50847458 9.49152542],0
r4,1,0.137336,2.20756,[26 20] ; [11  3],[28.36666667 17.63333333] ; [8.63333333 5.36666667],0
b4,1,0.158201,1.991342,[23 23] ; [10  4],[25.3 20.7] ; [7.7 6.3],0
s5,1,0.205097,1.605699,[ 4 41] ; [ 3 11],[ 5.33898305 39.66101695] ; [ 1.66101695 12.33898305],0
n5,1,0.224025,1.478397,[28 18] ; [11  3],[29.9 16.1] ; [9.1 4.9],0
s4,1,0.274816,1.192547,[ 9 37] ; [ 1 13],[ 7.66666667 38.33333333] ; [ 2.33333333 11.66666667],0
p3,1,0.303951,1.056778,[13 33] ; [6 8],[14.56666667 31.43333333] ; [4.43333333 9.56666667],0
u2,1,0.3208,0.985681,[10 20] ; [1 6],[ 8.91891892 21.08108108] ; [2.08108108 4.91891892],0
s7,1,0.341488,0.904838,[ 5 39] ; [ 3 11],[ 6.06896552 37.93103448] ; [ 1.93103448 12.06896552],0
a2,1,0.357408,0.846979,[ 3 43] ; [ 2 12],[ 3.83333333 42.16666667] ; [ 1.16666667 12.83333333],0
v4,1,0.360654,0.835616,[34 12] ; [12  2],[35.26666667 10.73333333] ; [10.73333333  3.26666667],0
a3,1,0.363636,0.825296,[16 28] ; [7 7],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
a7,1,0.383057,0.76087,[17 29] ; [7 7],[18.4 27.6] ; [5.6 8.4],0
b5,1,0.390898,0.736145,[27 19] ; [10  4],[28.36666667 17.63333333] ; [8.63333333 5.36666667],0
a8,1,0.43254,0.615994,[ 6 37] ; [ 3 10],[ 6.91071429 36.08928571] ; [ 2.08928571 10.91071429],0
p9,1,0.484794,0.48806,[14 31] ; [ 3 11],[12.96610169 32.03389831] ; [4.03389831 9.96610169],0
b2,1,0.50371,0.447112,[ 8 20] ; [2 9],[ 7.17948718 20.82051282] ; [2.82051282 8.17948718],0
b3,1,0.50371,0.447112,[ 8 20] ; [2 9],[ 7.17948718 20.82051282] ; [2.82051282 8.17948718],0
p1,1,0.541552,0.372671,[ 4 42] ; [ 2 12],[ 4.6 41.4] ; [ 1.4 12.6],0
a1,1,0.541552,0.372671,[ 4 42] ; [ 2 12],[ 4.6 41.4] ; [ 1.4 12.6],0
d2,1,0.594131,0.28394,[13 33] ; [5 9],[13.8 32.2] ; [4.2 9.8],0
a4,1,0.625768,0.237843,[10 35] ; [ 4 10],[10.6779661 34.3220339] ; [ 3.3220339 10.6779661],0
s1,1,0.667905,0.184062,[ 5 40] ; [ 1 13],[ 4.57627119 40.42372881] ; [ 1.42372881 12.57627119],0
n6,1,0.708528,0.139752,[27 19] ; [9 5],[27.6 18.4] ; [8.4 5.6],0
a6,1,0.775246,0.081522,[21 25] ; [7 7],[21.46666667 24.53333333] ; [6.53333333 7.46666667],0
p7,1,0.775246,0.081522,[21 25] ; [7 7],[21.46666667 24.53333333] ; [6.53333333 7.46666667],0
s2,1,0.781204,0.077145,[ 9 37] ; [ 3 10],[ 9.3559322 36.6440678] ; [ 2.6440678 10.3559322],0
u3,1,0.808514,0.05873,[10 20] ; [2 5],[ 9.72972973 20.27027027] ; [2.27027027 4.72972973],0
p11,1,0.853964,0.033879,[21 25] ; [6 8],[20.7 25.3] ; [6.3 7.7],0
p2,1,0.917814,0.010648,[27 19] ; [8 6],[26.83333333 19.16666667] ; [8.16666667 5.83333333],0
r3,1,0.948975,0.004095,[30 16] ; [9 5],[29.9 16.1] ; [9.1 4.9],0
p6,1,0.950108,0.003915,[10 35] ; [ 3 11],[ 9.91525424 35.08474576] ; [ 3.08474576 10.91525424],0
