Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,5.1e-05,16.423797,[3 7] ; [48  7],[7.84615385 2.15384615] ; [43.15384615 11.84615385],1
d3,1,0.000129,14.658485,[3 7] ; [47  8],[7.69230769 2.30769231] ; [42.30769231 12.69230769],1
d1,1,0.000365,12.703759,[ 1 10] ; [37 18],[6.33333333 4.66666667] ; [31.66666667 23.33333333],1
s6,1,0.005198,7.809069,[3 8] ; [38 15],[7.046875 3.953125] ; [33.953125 19.046875],0
s3,1,0.007971,7.04,[ 1 10] ; [29 26],[5. 6.] ; [25. 30.],0
a5,1,0.008408,6.944348,[4 7] ; [42 13],[7.66666667 3.33333333] ; [38.33333333 16.66666667],0
a8,1,0.009016,6.819556,[3 8] ; [ 2 50],[ 0.87301587 10.12698413] ; [ 4.12698413 47.87301587],0
s7,1,0.02038,5.379074,[2 9] ; [30 23],[5.5 5.5] ; [26.5 26.5],0
a4,1,0.027599,4.852941,[2 9] ; [30 25],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
p10,1,0.038748,4.271892,[5 6] ; [42 13],[7.83333333 3.16666667] ; [39.16666667 15.83333333],0
s8,1,0.067343,3.346626,[2 9] ; [26 28],[4.73846154 6.26153846] ; [23.26153846 30.73846154],0
s2,1,0.098648,2.727273,[3 8] ; [30 25],[5.5 5.5] ; [27.5 27.5],0
p9,1,0.101741,2.678031,[6 5] ; [43 12],[8.16666667 2.83333333] ; [40.83333333 14.16666667],0
u3,1,0.10247,2.666667,[3 3] ; [15  3],[4.5 1.5] ; [13.5  4.5],0
u2,1,0.10247,2.666667,[3 3] ; [15  3],[4.5 1.5] ; [13.5  4.5],0
p12,1,0.145324,2.120656,[2 9] ; [ 3 52],[ 0.83333333 10.16666667] ; [ 4.16666667 50.83333333],0
a2,1,0.166143,1.917407,[ 1 10] ; [16 39],[2.83333333 8.16666667] ; [14.16666667 40.83333333],0
a3,1,0.169686,1.885714,[5 6] ; [37 18],[7. 4.] ; [35. 20.],0
a6,1,0.169686,1.885714,[5 6] ; [37 18],[7. 4.] ; [35. 20.],0
p3,1,0.259911,1.269231,[5 6] ; [35 20],[6.66666667 4.33333333] ; [33.33333333 21.66666667],0
b1,1,0.270692,1.213235,[7 4] ; [25 30],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
d2,1,0.270692,1.213235,[4 7] ; [30 25],[5.66666667 5.33333333] ; [28.33333333 26.66666667],0
a7,1,0.278759,1.173128,[6 4] ; [42 13],[7.38461538 2.61538462] ; [40.61538462 14.38461538],0
s4,1,0.337932,0.918261,[2 9] ; [18 37],[3.33333333 7.66666667] ; [16.66666667 38.33333333],0
n4,1,0.378223,0.776471,[4 7] ; [28 27],[5.33333333 5.66666667] ; [26.66666667 28.33333333],0
p11,1,0.394737,0.7243,[9 2] ; [38 17],[7.83333333 3.16666667] ; [39.16666667 15.83333333],0
p5,1,0.42788,0.628571,[ 1 10] ; [ 2 53],[ 0.5 10.5] ; [ 2.5 52.5],0
s5,1,0.508274,0.437619,[3 7] ; [21 30],[3.93442623 6.06557377] ; [20.06557377 30.93442623],0
r1,1,0.543255,0.369541,[7 4] ; [40 15],[7.83333333 3.16666667] ; [39.16666667 15.83333333],0
n1,1,0.571608,0.32,[2 2] ; [ 7 13],[1.5 2.5] ; [ 7.5 12.5],0
p8,1,0.581294,0.304147,[5 6] ; [30 25],[5.83333333 5.16666667] ; [29.16666667 25.83333333],0
v1,1,0.62179,0.24336,[4 7] ; [24 30],[4.73846154 6.26153846] ; [23.26153846 30.73846154],0
v4,1,0.644501,0.212903,[10  1] ; [52  3],[10.33333333  0.66666667] ; [51.66666667  3.33333333],0
a1,1,0.644501,0.212903,[ 1 10] ; [ 3 52],[ 0.66666667 10.33333333] ; [ 3.33333333 51.66666667],0
r2,1,0.656521,0.197777,[10  1] ; [51  3],[10.32307692  0.67692308] ; [50.67692308  3.32307692],0
v2,1,0.698885,0.149634,[5 6] ; [28 26],[5.58461538 5.41538462] ; [27.41538462 26.58461538],0
p4,1,0.722918,0.125714,[7 4] ; [38 17],[7.5 3.5] ; [37.5 17.5],0
b4,1,0.736956,0.112821,[6 5] ; [33 22],[6.5 4.5] ; [32.5 22.5],0
p7,1,0.744729,0.106013,[9 2] ; [41 12],[8.59375 2.40625] ; [41.40625 11.59375],0
p1,1,0.777862,0.079584,[2 9] ; [ 8 46],[1.69230769 9.30769231] ; [ 8.30769231 45.69230769],0
b5,1,0.815335,0.054545,[7 4] ; [37 18],[7.33333333 3.66666667] ; [36.66666667 18.33333333],0
v3,1,0.822391,0.050387,[3 8] ; [13 41],[2.70769231 8.29230769] ; [13.29230769 40.70769231],0
n2,1,0.840825,0.040336,[3 1] ; [14  6],[2.83333333 1.16666667] ; [14.16666667  5.83333333],0
n6,1,0.875519,0.02454,[8 3] ; [38 16],[7.78461538 3.21538462] ; [38.21538462 15.78461538],0
p2,1,0.889914,0.019158,[9 2] ; [44 11],[8.83333333 2.16666667] ; [44.16666667 10.83333333],0
b3,1,0.952263,0.003584,[3 5] ; [12 21],[2.92682927 5.07317073] ; [12.07317073 20.92682927],0
b2,1,0.952263,0.003584,[3 5] ; [12 21],[2.92682927 5.07317073] ; [12.07317073 20.92682927],0
r4,1,1.0,0.0,[10  1] ; [50  5],[10.  1.] ; [50.  5.],0
