Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,62.579178,[437 122] ; [65 80],[398.60511364 160.39488636] ; [103.39488636  41.60511364],1
n4,1,0.0,47.4419,[452 108] ; [78 69],[419.8019802 140.1980198] ; [110.1980198  36.8019802],1
p10,1,0.0,42.941204,[445 109] ; [78 67],[414.509299 139.490701] ; [108.490701  36.509299],1
r4,1,0.0,38.510669,[503  58] ; [102  45],[479.38559322  81.61440678] ; [125.61440678  21.38559322],1
p11,1,0.0,37.221395,[450 111] ; [82 65],[421.54237288 139.45762712] ; [110.45762712  36.54237288],1
r3,1,0.0,32.93628,[534  25] ; [120  27],[517.82719547  41.17280453] ; [136.17280453  10.82719547],1
p9,1,0.0,32.236734,[458  92] ; [90 56],[433.04597701 116.95402299] ; [114.95402299  31.04597701],1
p2,1,0.0,31.565856,[467  92] ; [91 55],[442.44255319 116.55744681] ; [115.55744681  30.44255319],1
v4,1,0.0,30.951993,[531  29] ; [117  28],[514.72340426  45.27659574] ; [133.27659574  11.72340426],1
s7,1,8e-06,19.993178,[239 297] ; [ 32 104],[216.1547619 319.8452381] ; [54.8452381 81.1547619],1
r2,1,1.5e-05,18.784244,[524  29] ; [122  23],[511.80229226  41.19770774] ; [134.19770774  10.80229226],1
p6,1,2.3e-05,17.939387,[187 367] ; [ 22 120],[166.3591954 387.6408046] ; [42.6408046 99.3591954],1
s8,1,2.5e-05,17.77229,[235 323] ; [ 34 113],[212.9106383 345.0893617] ; [56.0893617 90.9106383],1
s6,1,7.7e-05,15.639008,[338 216] ; [63 84],[316.91012839 237.08987161] ; [84.08987161 62.91012839],1
p4,1,0.000204,13.798126,[312 246] ; [56 89],[292.09672831 265.90327169] ; [75.90327169 69.09672831],1
u1,1,0.000295,13.099154,[103 458] ; [  9 138],[ 88.74576271 472.25423729] ; [ 23.25423729 123.74576271],1
p3,1,0.000648,11.633299,[258 302] ; [ 44 101],[239.88652482 320.11347518] ; [62.11347518 82.88652482],1
b1,1,0.000826,11.181714,[205 356] ; [76 71],[222.65677966 338.34322034] ; [58.34322034 88.65677966],1
d1,1,0.000898,11.02762,[330 231] ; [64 83],[312.19491525 248.80508475] ; [81.80508475 65.19491525],1
p7,1,0.001263,10.395451,[336 214] ; [66 77],[319.04761905 230.95238095] ; [82.95238095 60.04761905],0
s5,1,0.002351,9.25337,[144 404] ; [ 20 122],[130.24927536 417.75072464] ; [ 33.75072464 108.24927536],0
v3,1,0.002636,9.043675,[219 326] ; [ 36 101],[203.77565982 341.22434018] ; [51.22434018 85.77565982],0
v2,1,0.002893,8.87358,[318 224] ; [61 76],[302.53019146 239.46980854] ; [76.46980854 60.53019146],0
d5,1,0.003795,8.379428,[453 107] ; [102  44],[440.2266289 119.7733711] ; [114.7733711  31.2266289],0
p8,1,0.004688,7.995895,[269 283] ; [52 94],[253.85673352 298.14326648] ; [67.14326648 78.85673352],0
s2,1,0.006418,7.428994,[249 308] ; [47 99],[234.52631579 322.47368421] ; [61.47368421 84.52631579],0
d4,1,0.010713,6.512342,[458 101] ; [105  40],[447.04119318 111.95880682] ; [115.95880682  29.04119318],0
s1,1,0.010736,6.508465,[ 12 541] ; [  9 135],[ 16.66140603 536.33859397] ; [  4.33859397 139.66140603],0
d2,1,0.015872,5.81701,[276 281] ; [56 90],[263.04978663 293.95021337] ; [68.95021337 77.04978663],0
a1,1,0.016899,5.706805,[ 20 541] ; [ 12 135],[ 25.3559322 535.6440678] ; [  6.6440678 140.3559322],0
v1,1,0.023937,5.099182,[287 259] ; [60 83],[274.98113208 271.01886792] ; [72.01886792 70.98113208],0
a5,1,0.031205,4.641629,[406 155] ; [93 54],[395.3940678 165.6059322] ; [103.6059322  43.3940678],0
a4,1,0.034833,4.453362,[251 306] ; [52 95],[239.73153409 317.26846591] ; [63.26846591 83.73153409],0
d3,1,0.036581,4.369832,[377 184] ; [84 61],[366.31869688 194.68130312] ; [94.68130312 50.31869688],0
b2,1,0.054643,3.692939,[135 207] ; [23 59],[127.44339623 214.55660377] ; [30.55660377 51.44339623],0
b3,1,0.054643,3.692939,[135 207] ; [23 59],[127.44339623 214.55660377] ; [30.55660377 51.44339623],0
r1,1,0.056666,3.632384,[439 119] ; [104  42],[430.38920455 127.61079545] ; [112.61079545  33.38920455],0
a2,1,0.056807,3.628242,[137 424] ; [ 25 122],[128.36440678 432.63559322] ; [ 33.63559322 113.36440678],0
p12,1,0.113642,2.502832,[ 34 524] ; [  4 141],[ 30.16216216 527.83783784] ; [  7.83783784 137.16216216],0
a3,1,0.131224,2.277969,[391 166] ; [93 53],[383.48221906 173.51778094] ; [100.51778094  45.48221906],0
a8,1,0.154885,2.023464,[ 80 426] ; [ 15 122],[ 74.75894246 431.24105754] ; [ 20.24105754 116.75894246],0
a7,1,0.173669,1.850984,[401 158] ; [97 50],[394.30878187 164.69121813] ; [103.69121813  43.30878187],0
