Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.006067,7.530284,[3 5] ; [ 7 87],[0.78431373 7.21568627] ; [ 9.21568627 84.78431373],0
s7,1,0.032422,4.576026,[3 4] ; [11 75],[1.05376344 5.94623656] ; [12.94623656 73.05376344],0
b4,1,0.041354,4.161458,[7 1] ; [47 47],[4.23529412 3.76470588] ; [49.76470588 44.23529412],0
s2,1,0.041793,4.143574,[3 5] ; [11 83],[1.09803922 6.90196078] ; [12.90196078 81.09803922],0
d3,1,0.054054,3.711023,[7 1] ; [48 44],[4.4 3.6] ; [50.6 41.4],0
v1,1,0.059502,3.551215,[4 3] ; [23 71],[1.87128713 5.12871287] ; [25.12871287 68.87128713],0
a7,1,0.087498,2.91982,[7 1] ; [52 40],[4.72 3.28] ; [54.28 37.72],0
s8,1,0.092887,2.82361,[2 6] ; [ 7 87],[0.70588235 7.29411765] ; [ 8.29411765 85.70588235],0
u3,1,0.149596,2.076362,[2 1] ; [10 27],[0.9 2.1] ; [11.1 25.9],0
p2,1,0.171087,1.873394,[5 2] ; [42 52],[3.25742574 3.74257426] ; [43.74257426 50.25742574],0
u2,1,0.188945,1.725828,[2 1] ; [11 26],[0.975 2.025] ; [12.025 24.975],0
p3,1,0.195479,1.67583,[3 4] ; [20 73],[1.61 5.39] ; [21.39 71.61],0
p10,1,0.262076,1.257758,[4 3] ; [33 59],[2.61616162 4.38383838] ; [34.38383838 57.61616162],0
d2,1,0.287217,1.132619,[5 3] ; [40 53],[3.56435644 4.43564356] ; [41.43564356 51.56435644],0
a8,1,0.297896,1.083589,[1 5] ; [ 5 81],[0.39130435 5.60869565] ; [ 5.60869565 80.39130435],0
a6,1,0.332833,0.937842,[6 2] ; [54 40],[4.70588235 3.29411765] ; [55.29411765 38.70588235],0
p9,1,0.388367,0.74405,[4 3] ; [36 53],[2.91666667 4.08333333] ; [37.08333333 51.91666667],0
r4,1,0.393781,0.727234,[5 3] ; [44 50],[3.84313725 4.15686275] ; [45.15686275 48.84313725],0
a4,1,0.413514,0.668674,[4 4] ; [33 60],[2.93069307 5.06930693] ; [34.06930693 58.93069307],0
p6,1,0.415707,0.662421,[2 5] ; [15 76],[1.21428571 5.78571429] ; [15.78571429 75.21428571],0
r1,1,0.425831,0.634167,[5 3] ; [44 48],[3.92 4.08] ; [45.08 46.92],0
d5,1,0.442434,0.589963,[6 2] ; [57 36],[4.99009901 3.00990099] ; [58.00990099 34.99009901],0
r3,1,0.442434,0.589963,[6 2] ; [57 36],[4.99009901 3.00990099] ; [58.00990099 34.99009901],0
n6,1,0.460995,0.543478,[3 5] ; [47 45],[4. 4.] ; [46. 46.],0
b1,1,0.497175,0.460962,[5 3] ; [47 47],[4.07843137 3.92156863] ; [47.92156863 46.07843137],0
v2,1,0.51102,0.431977,[3 5] ; [24 66],[2.20408163 5.79591837] ; [24.79591837 65.20408163],0
a5,1,0.612113,0.257109,[5 3] ; [50 44],[4.31372549 3.68627451] ; [50.68627451 43.31372549],0
a3,1,0.617531,0.249354,[5 2] ; [57 35],[4.38383838 2.61616162] ; [57.61616162 34.38383838],0
a2,1,0.629623,0.232572,[2 6] ; [17 77],[1.49019608 6.50980392] ; [17.50980392 76.49019608],0
d1,1,0.639812,0.218989,[4 4] ; [39 55],[3.37254902 4.62745098] ; [39.62745098 54.37254902],0
p4,1,0.641927,0.216231,[1 6] ; [20 72],[1.48484848 5.51515152] ; [19.51515152 72.48484848],0
n5,1,0.658007,0.195954,[4 4] ; [54 39],[4.59405941 3.40594059] ; [53.40594059 39.59405941],0
a1,1,0.702536,0.145848,[1 7] ; [ 8 86],[0.70588235 7.29411765] ; [ 8.29411765 85.70588235],0
p7,1,0.738674,0.111295,[2 5] ; [32 60],[2.4040404 4.5959596] ; [31.5959596 60.4040404],0
n4,1,0.762279,0.0915,[5 3] ; [53 40],[4.59405941 3.40594059] ; [53.40594059 39.59405941],0
v4,1,0.794906,0.067572,[6 2] ; [65 27],[5.68 2.32] ; [65.32 26.68],0
b5,1,0.825796,0.048442,[5 3] ; [55 39],[4.70588235 3.29411765] ; [55.29411765 38.70588235],0
p8,1,0.833933,0.043958,[2 5] ; [23 69],[1.76767677 5.23232323] ; [23.23232323 68.76767677],0
s4,1,0.870544,0.026559,[1 7] ; [10 84],[0.8627451 7.1372549] ; [10.1372549 83.8627451],0
s3,1,0.894318,0.017647,[2 6] ; [25 67],[2.16 5.84] ; [24.84 67.16],0
n3,1,0.938959,0.005864,[1 1] ; [17 19],[0.94736842 1.05263158] ; [17.05263158 18.94736842],0
v3,1,0.972066,0.001226,[2 6] ; [22 68],[1.95918367 6.04081633] ; [22.04081633 67.95918367],0
