Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,5e-06,21.038961,[30 25] ; [69  8],[41.25 13.75] ; [57.75 19.25],1
p11,1,1.2e-05,19.221307,[13 42] ; [49 30],[25.44776119 29.55223881] ; [36.55223881 42.44776119],1
r4,1,3.1e-05,17.369143,[23 32] ; [61 18],[34.47761194 20.52238806] ; [49.52238806 29.47761194],1
r3,1,0.000305,13.041276,[33 22] ; [68 10],[41.76691729 13.23308271] ; [59.23308271 18.76691729],1
p7,1,0.001865,9.677628,[14 39] ; [41 35],[22.59689922 30.40310078] ; [32.40310078 43.59689922],0
s6,1,0.00228,9.309493,[11 44] ; [36 43],[19.29104478 35.70895522] ; [27.70895522 51.29104478],0
s1,1,0.002423,9.197878,[ 8 46] ; [ 1 77],[ 3.68181818 50.31818182] ; [ 5.31818182 72.68181818],0
p4,1,0.003164,8.710668,[10 44] ; [34 45],[17.86466165 36.13533835] ; [26.13533835 52.86466165],0
v1,1,0.007922,7.050932,[12 43] ; [34 43],[19.16666667 35.83333333] ; [26.83333333 50.16666667],0
a1,1,0.009234,6.776951,[ 8 47] ; [ 2 77],[ 4.10447761 50.89552239] ; [ 5.89552239 73.10447761],0
b5,1,0.010777,6.501709,[24 31] ; [52 27],[31.19402985 23.80597015] ; [44.80597015 34.19402985],0
p3,1,0.011984,6.313291,[ 9 45] ; [29 50],[15.42857143 38.57142857] ; [22.57142857 56.42857143],0
p6,1,0.015089,5.906086,[ 4 49] ; [18 57],[ 9.109375 43.890625] ; [12.890625 62.109375],0
p9,1,0.017176,5.678301,[23 31] ; [49 28],[29.67938931 24.32061069] ; [42.32061069 34.67938931],0
r2,1,0.028397,4.803817,[39 15] ; [69 10],[43.84962406 10.15037594] ; [64.15037594 14.84962406],0
p8,1,0.030357,4.688989,[11 43] ; [29 47],[16.61538462 37.38461538] ; [23.38461538 52.61538462],0
p10,1,0.041118,4.171162,[19 35] ; [41 36],[24.73282443 29.26717557] ; [35.26717557 41.73282443],0
r1,1,0.044838,4.024737,[31 24] ; [57 21],[36.39097744 18.60902256] ; [51.60902256 26.39097744],0
a6,1,0.054582,3.69481,[28 26] ; [54 25],[33.29323308 20.70676692] ; [48.70676692 30.29323308],0
s5,1,0.056831,3.62753,[ 3 49] ; [13 63],[ 6.5 45.5] ; [ 9.5 66.5],0
b2,1,0.062705,3.464349,[12 21] ; [ 6 30],[ 8.60869565 24.39130435] ; [ 9.39130435 26.60869565],0
b3,1,0.062705,3.464349,[12 21] ; [ 6 30],[ 8.60869565 24.39130435] ; [ 9.39130435 26.60869565],0
s4,1,0.081018,3.044362,[ 4 51] ; [14 65],[ 7.3880597 47.6119403] ; [10.6119403 68.3880597],0
n3,1,0.097925,2.739021,[14 12] ; [19  6],[16.82352941  9.17647059] ; [16.17647059  8.82352941],0
d2,1,0.132918,2.258087,[24 30] ; [25 54],[19.89473684 34.10526316] ; [29.10526316 49.89473684],0
v2,1,0.1585,1.988475,[17 34] ; [34 40],[20.808 30.192] ; [30.192 43.808],0
b4,1,0.162289,1.952771,[26 29] ; [47 32],[29.96268657 25.03731343] ; [43.03731343 35.96268657],0
d5,1,0.16401,1.936863,[32 22] ; [56 23],[35.72932331 18.27067669] ; [52.27067669 26.72932331],0
n2,1,0.167071,1.909032,[15 13] ; [18  7],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
n1,1,0.167071,1.909032,[13 15] ; [ 7 18],[10.56603774 17.43396226] ; [ 9.43396226 15.56603774],0
p1,1,0.213103,1.550217,[ 6 49] ; [ 4 74],[ 4.13533835 50.86466165] ; [ 5.86466165 72.13533835],0
d4,1,0.237338,1.396337,[35 19] ; [58 20],[38.04545455 15.95454545] ; [54.95454545 23.04545455],0
d3,1,0.243074,1.362678,[27 27] ; [47 31],[30.27272727 23.72727273] ; [43.72727273 34.27272727],0
a8,1,0.267027,1.231954,[ 6 49] ; [ 4 68],[ 4.33070866 50.66929134] ; [ 5.66929134 66.33070866],0
u3,1,0.296385,1.090391,[ 8 12] ; [16 13],[ 9.79591837 10.20408163] ; [14.20408163 14.79591837],0
s7,1,0.323879,0.973216,[ 8 42] ; [17 56],[10.16260163 39.83739837] ; [14.83739837 58.16260163],0
n4,1,0.336912,0.922145,[26 29] ; [44 35],[28.73134328 26.26865672] ; [41.26865672 37.73134328],0
a4,1,0.338359,0.916638,[24 31] ; [28 51],[21.34328358 33.65671642] ; [30.65671642 48.34328358],0
u2,1,0.349368,0.875753,[10 10] ; [19 11],[11.6  8.4] ; [17.4 12.6],0
a7,1,0.368309,0.80936,[32 23] ; [52 27],[34.47761194 20.52238806] ; [49.52238806 29.47761194],0
v3,1,0.466854,0.529412,[13 38] ; [15 60],[11.33333333 39.66666667] ; [16.66666667 58.33333333],0
s3,1,0.487194,0.482718,[22 32] ; [37 42],[23.95488722 30.04511278] ; [35.04511278 43.95488722],0
u1,1,0.49075,0.474881,[ 2 53] ; [ 5 74],[ 2.87313433 52.12686567] ; [ 4.12686567 74.87313433],0
n5,1,0.547791,0.36129,[25 29] ; [32 46],[23.31818182 30.68181818] ; [33.68181818 44.31818182],0
d1,1,0.591589,0.28787,[22 33] ; [28 51],[20.52238806 34.47761194] ; [29.47761194 49.52238806],0
a2,1,0.696649,0.151982,[ 9 46] ; [11 68],[ 8.20895522 46.79104478] ; [11.79104478 67.20895522],0
a3,1,0.743282,0.107263,[35 19] ; [49 30],[34.10526316 19.89473684] ; [49.89473684 29.10526316],0
a5,1,0.775133,0.081606,[32 23] ; [44 35],[31.19402985 23.80597015] ; [44.80597015 34.19402985],0
b1,1,0.860598,0.03084,[27 28] ; [40 39],[27.5 27.5] ; [39.5 39.5],0
s2,1,0.94158,0.005371,[15 40] ; [22 57],[15.18656716 39.81343284] ; [21.81343284 57.18656716],0
