Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,88.71143,[ 5 43] ; [244  69],[33.10803324 14.89196676] ; [215.89196676  97.10803324],1
d4,1,0.0,69.116269,[24 24] ; [291  22],[41.88365651  6.11634349] ; [273.11634349  39.88365651],1
d2,1,0.0,30.653073,[11 37] ; [203 109],[28.53333333 19.46666667] ; [185.46666667 126.53333333],1
d3,1,4e-06,21.403473,[21 27] ; [238  75],[34.43767313 13.56232687] ; [224.56232687  88.43767313],1
a4,1,9.3e-05,15.274461,[14 34] ; [185 127],[26.53333333 21.46666667] ; [172.46666667 139.53333333],1
u1,1,0.000159,14.262975,[ 2 46] ; [ 94 219],[12.76454294 35.23545706] ; [ 83.23545706 229.76454294],1
a2,1,0.000923,10.975009,[ 6 42] ; [115 198],[16.08864266 31.91135734] ; [104.91135734 208.08864266],1
a3,1,0.004541,8.053832,[33 15] ; [266  46],[39.86666667  8.13333333] ; [259.13333333  52.86666667],0
v1,1,0.006752,7.33771,[21 27] ; [194 108],[29.48571429 18.51428571] ; [185.51428571 116.48571429],0
p12,1,0.035225,4.43422,[10 38] ; [ 32 278],[ 5.63128492 42.36871508] ; [ 36.36871508 273.63128492],0
s6,1,0.036391,4.378682,[28 19] ; [225  78],[33.97428571 13.02571429] ; [219.02571429  83.97428571],0
p2,1,0.051549,3.790343,[38 10] ; [277  34],[42.11699164  5.88300836] ; [272.88300836  38.11699164],0
p8,1,0.059884,3.540597,[37 10] ; [201 109],[31.33333333 15.66666667] ; [206.66666667 103.33333333],0
r2,1,0.062145,3.479195,[44  4] ; [300   9],[46.25210084  1.74789916] ; [297.74789916  11.25210084],0
p1,1,0.073352,3.20638,[ 9 39] ; [ 31 279],[ 5.36312849 42.63687151] ; [ 34.63687151 275.36312849],0
n6,1,0.075669,3.155556,[38 10] ; [274  36],[41.83240223  6.16759777] ; [270.16759777  39.83240223],0
a6,1,0.077584,3.114791,[40  8] ; [222  90],[34.93333333 13.06666667] ; [227.06666667  84.93333333],0
p10,1,0.120536,2.410344,[39  9] ; [277  34],[42.25069638  5.74930362] ; [273.74930362  37.25069638],0
n5,1,0.132757,2.259965,[34 14] ; [249  61],[37.94413408 10.05586592] ; [245.05586592  64.94413408],0
n4,1,0.189398,1.72229,[37 11] ; [264  48],[40.13333333  7.86666667] ; [260.86666667  51.13333333],0
s8,1,0.248254,1.333105,[22 25] ; [173 137],[25.67226891 21.32773109] ; [169.32773109 140.67226891],0
v4,1,0.257544,1.281911,[44  4] ; [297  14],[45.59331476  2.40668524] ; [295.40668524  15.59331476],0
a8,1,0.322197,0.980008,[ 4 41] ; [ 40 239],[ 6.11111111 38.88888889] ; [ 37.88888889 241.11111111],0
p9,1,0.407903,0.684903,[41  6] ; [284  28],[42.54874652  4.45125348] ; [282.45125348  29.54874652],0
p4,1,0.437506,0.602815,[37 11] ; [256  57],[38.95844875  9.04155125] ; [254.04155125  58.95844875],0
b2,1,0.461544,0.542147,[16 16] ; [ 90 119],[14.0746888 17.9253112] ; [ 91.9253112 117.0746888],0
b3,1,0.461544,0.542147,[16 16] ; [ 90 119],[14.0746888 17.9253112] ; [ 91.9253112 117.0746888],0
u3,1,0.493158,0.469629,[9 6] ; [32 14],[10.08196721  4.91803279] ; [30.91803279 15.08196721],0
r3,1,0.517735,0.418404,[45  3] ; [298  13],[45.86072423  2.13927577] ; [297.13927577  13.86072423],0
s5,1,0.520198,0.413501,[18 29] ; [129 169],[20.02608696 26.97391304] ; [126.97391304 171.02608696],0
p5,1,0.558802,0.341783,[10 38] ; [ 54 257],[ 8.55710306 39.44289694] ; [ 55.44289694 255.55710306],0
s3,1,0.60694,0.264654,[30 18] ; [181 128],[28.3697479 19.6302521] ; [182.6302521 126.3697479],0
a7,1,0.620622,0.244995,[33 15] ; [226  87],[34.43767313 13.56232687] ; [224.56232687  88.43767313],0
n1,1,0.662521,0.190476,[2 4] ; [23 31],[2.5 3.5] ; [22.5 31.5],0
p6,1,0.663517,0.189279,[25 23] ; [151 159],[23.59776536 24.40223464] ; [152.40223464 157.59776536],0
u4,1,0.6742,0.176729,[ 1 47] ; [ 10 302],[ 1.46666667 46.53333333] ; [  9.53333333 302.46666667],0
p11,1,0.683883,0.165788,[41  7] ; [260  53],[40.02216066  7.97783934] ; [260.97783934  52.02216066],0
n2,1,0.697092,0.151515,[4 2] ; [40 14],[4.4 1.6] ; [39.6 14.4],0
v3,1,0.709836,0.138441,[23 24] ; [139 163],[21.81661891 25.18338109] ; [140.18338109 161.81661891],0
p7,1,0.719195,0.129265,[36 12] ; [239  70],[36.97478992 11.02521008] ; [238.02521008  70.97478992],0
r4,1,0.728077,0.120884,[45  3] ; [289  24],[44.4099723  3.5900277] ; [289.5900277  23.4099723],0
v2,1,0.816164,0.054048,[29 17] ; [197 107],[29.70285714 16.29714286] ; [196.29714286 107.70285714],0
s4,1,0.840684,0.040409,[ 8 40] ; [ 55 253],[ 8.49438202 39.50561798] ; [ 54.50561798 253.49438202],0
a1,1,0.843137,0.039157,[ 3 45] ; [ 22 291],[ 3.32409972 44.67590028] ; [ 21.67590028 291.32409972],0
u2,1,0.861491,0.030442,[9 6] ; [27 20],[8.70967742 6.29032258] ; [27.29032258 19.70967742],0
r1,1,0.872292,0.02584,[40  8] ; [262  49],[40.37883008  7.62116992] ; [261.62116992  49.37883008],0
b5,1,0.914196,0.011609,[28 20] ; [180 133],[27.6565097 20.3434903] ; [180.3434903 132.6565097],0
b4,1,0.914196,0.011609,[28 20] ; [180 133],[27.6565097 20.3434903] ; [180.3434903 132.6565097],0
s7,1,0.917326,0.010775,[27 18] ; [174 120],[26.68141593 18.31858407] ; [174.31858407 119.68141593],0
b1,1,0.918903,0.010367,[22 26] ; [141 172],[21.67313019 26.32686981] ; [141.32686981 171.67313019],0
s2,1,0.960141,0.002498,[27 21] ; [175 134],[27.15966387 20.84033613] ; [174.84033613 134.15966387],0
