Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.2e-05,19.184977,[1 5] ; [54  7],[4.92537313 1.07462687] ; [50.07462687 10.92537313],1
d3,1,0.001098,10.655208,[2 4] ; [53  8],[4.92537313 1.07462687] ; [50.07462687 10.92537313],0
d2,1,0.011473,6.390498,[1 6] ; [39 22],[4.11764706 2.88235294] ; [35.88235294 25.11764706],0
a3,1,0.019634,5.444104,[2 5] ; [44 17],[4.73529412 2.26470588] ; [41.26470588 19.73529412],0
a4,1,0.024413,5.065057,[1 6] ; [36 25],[3.80882353 3.19117647] ; [33.19117647 27.80882353],0
a5,1,0.038118,4.299766,[3 4] ; [48 13],[5.25 1.75] ; [45.75 15.25],0
s8,1,0.070125,3.280102,[2 5] ; [39 22],[4.22058824 2.77941176] ; [36.77941176 24.22058824],0
v2,1,0.118792,2.43318,[1 5] ; [30 30],[2.81818182 3.18181818] ; [28.18181818 31.81818182],0
r4,1,0.14507,2.123341,[5 2] ; [55  6],[6.17647059 0.82352941] ; [53.82352941  7.17647059],0
p12,1,0.14507,2.123341,[2 5] ; [ 6 55],[0.82352941 6.17647059] ; [ 7.17647059 53.82352941],0
s6,1,0.192662,1.697143,[4 2] ; [52  8],[5.09090909 0.90909091] ; [50.90909091  9.09090909],0
p2,1,0.206158,1.598204,[5 2] ; [54  7],[6.07352941 0.92647059] ; [52.92647059  8.07352941],0
p4,1,0.206158,1.598204,[5 2] ; [54  7],[6.07352941 0.92647059] ; [52.92647059  8.07352941],0
a6,1,0.248666,1.330781,[6 1] ; [39 22],[4.63235294 2.36764706] ; [40.36764706 20.63235294],0
s2,1,0.249324,1.327088,[4 3] ; [47 14],[5.25 1.75] ; [45.75 15.25],0
p5,1,0.274117,1.196027,[2 5] ; [ 8 53],[1.02941176 5.97058824] ; [ 8.97058824 52.02941176],0
b5,1,0.277101,1.181254,[3 4] ; [39 22],[4.32352941 2.67647059] ; [37.67647059 23.32352941],0
a7,1,0.301861,1.065956,[3 3] ; [43 18],[4.11940299 1.88059701] ; [41.88059701 19.11940299],0
s1,1,0.318447,0.995316,[1 6] ; [ 3 58],[0.41176471 6.58823529] ; [ 3.58823529 57.41176471],0
s7,1,0.32748,0.958838,[4 3] ; [44 15],[5.09090909 1.90909091] ; [42.90909091 16.09090909],0
p3,1,0.353102,0.862279,[4 3] ; [45 16],[5.04411765 1.95588235] ; [43.95588235 17.04411765],0
s3,1,0.40977,0.679469,[4 3] ; [44 17],[4.94117647 2.05882353] ; [43.05882353 17.94117647],0
v3,1,0.414499,0.66586,[1 6] ; [17 42],[1.90909091 5.09090909] ; [16.09090909 42.90909091],0
p1,1,0.423423,0.640794,[2 5] ; [10 51],[1.23529412 5.76470588] ; [10.76470588 50.23529412],0
n6,1,0.529226,0.395877,[6 1] ; [45 15],[5.32835821 1.67164179] ; [45.67164179 14.32835821],0
n4,1,0.530515,0.393406,[4 3] ; [42 19],[4.73529412 2.26470588] ; [41.26470588 19.73529412],0
p8,1,0.542697,0.370564,[6 1] ; [46 15],[5.35294118 1.64705882] ; [46.64705882 14.35294118],0
b4,1,0.57855,0.308584,[5 2] ; [37 24],[4.32352941 2.67647059] ; [37.67647059 23.32352941],0
p9,1,0.590611,0.289391,[6 1] ; [56  5],[6.38235294 0.61764706] ; [55.61764706  5.38235294],0
n3,1,0.591208,0.288462,[1 1] ; [9 4],[1.33333333 0.66666667] ; [8.66666667 4.33333333],0
r3,1,0.601719,0.272411,[6 1] ; [55  5],[6.37313433 0.62686567] ; [54.62686567  5.37313433],0
r1,1,0.660842,0.192503,[5 2] ; [48 13],[5.45588235 1.54411765] ; [47.54411765 13.45588235],0
u2,1,0.780512,0.077647,[3 2] ; [9 8],[2.72727273 2.27272727] ; [9.27272727 7.72727273],0
p11,1,0.817782,0.053084,[5 2] ; [46 15],[5.25 1.75] ; [45.75 15.25],0
u3,1,0.847516,0.036975,[3 2] ; [11  6],[3.18181818 1.81818182] ; [10.81818182  6.18181818],0
n1,1,0.919154,0.010302,[1 1] ; [6 7],[0.93333333 1.06666667] ; [6.06666667 6.93333333],0
s5,1,0.926293,0.008558,[4 2] ; [37 17],[4.1 1.9] ; [36.9 17.1],0
n5,1,0.958912,0.002654,[5 2] ; [43 18],[4.94117647 2.05882353] ; [43.05882353 17.94117647],0
b1,1,0.990532,0.000141,[3 4] ; [26 35],[2.98529412 4.01470588] ; [26.01470588 34.98529412],0
