Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.028887,4.774306,[ 5 11] ; [5 1],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
v2,1,0.031633,4.618254,[ 3 13] ; [4 2],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
a4,1,0.031633,4.618254,[ 3 13] ; [4 2],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
p6,1,0.061587,3.494118,[ 2 14] ; [3 3],[ 3.63636364 12.36363636] ; [1.36363636 4.63636364],0
p8,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
r1,1,0.096791,2.757639,[7 9] ; [5 1],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
s7,1,0.111219,2.536813,[ 3 11] ; [3 2],[4.42105263 9.57894737] ; [1.57894737 3.42105263],0
b4,1,0.132391,2.264245,[11  5] ; [2 4],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
s2,1,0.132391,2.264245,[ 5 11] ; [4 2],[6.54545455 9.45454545] ; [2.45454545 3.54545455],0
p4,1,0.156709,2.005698,[8 8] ; [5 1],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
p9,1,0.169202,1.89,[12  3] ; [3 3],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
b2,1,0.182422,1.777778,[ 2 10] ; [2 2],[3. 9.] ; [1. 3.],0
b3,1,0.182422,1.777778,[ 2 10] ; [2 2],[3. 9.] ; [1. 3.],0
d2,1,0.221099,1.497222,[ 6 10] ; [4 2],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
b1,1,0.239559,1.383185,[9 7] ; [5 1],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
s4,1,0.259177,1.273148,[ 2 14] ; [2 4],[ 2.90909091 13.09090909] ; [1.09090909 4.90909091],0
b5,1,0.262193,1.257143,[12  4] ; [3 3],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
n2,1,0.293718,1.1025,[2 3] ; [3 1],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
p11,1,0.338352,0.916667,[9 7] ; [2 4],[8. 8.] ; [3. 3.],0
r4,1,0.415522,0.662946,[ 5 11] ; [3 3],[ 5.81818182 10.18181818] ; [2.18181818 3.81818182],0
p10,1,0.415522,0.662946,[11  5] ; [3 3],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
n6,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
s1,1,0.449102,0.572917,[ 1 15] ; [1 5],[ 1.45454545 14.54545455] ; [0.54545455 5.45454545],0
p5,1,0.467267,0.528431,[ 3 13] ; [2 4],[ 3.63636364 12.36363636] ; [1.36363636 4.63636364],0
s6,1,0.477395,0.504808,[ 5 10] ; [3 3],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
a6,1,0.484423,0.488889,[8 8] ; [4 2],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
d1,1,0.484423,0.488889,[8 8] ; [4 2],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
s8,1,0.516937,0.42,[ 3 12] ; [2 4],[ 3.57142857 11.42857143] ; [1.42857143 4.57142857],0
a7,1,0.59536,0.282051,[10  6] ; [3 3],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
n1,1,0.635256,0.225,[3 2] ; [3 1],[3.33333333 1.66666667] ; [2.66666667 1.33333333],0
s3,1,0.675706,0.175,[6 9] ; [3 3],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
p1,1,0.677856,0.172549,[ 4 12] ; [1 5],[ 3.63636364 12.36363636] ; [1.36363636 4.63636364],0
p2,1,0.695895,0.152778,[12  4] ; [4 2],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
n4,1,0.695895,0.152778,[12  4] ; [4 2],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
r2,1,0.695895,0.152778,[12  4] ; [4 2],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
n3,1,0.764177,0.09,[3 2] ; [2 2],[2.77777778 2.22222222] ; [2.22222222 1.77777778],0
p7,1,0.856417,0.032738,[10  6] ; [4 2],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
v4,1,0.856417,0.032738,[10  6] ; [4 2],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
n5,1,0.856417,0.032738,[10  6] ; [4 2],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
d4,1,0.910162,0.012731,[13  3] ; [5 1],[13.09090909  2.90909091] ; [4.90909091 1.09090909],0
s5,1,0.925558,0.00873,[ 5 11] ; [2 4],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
d5,1,0.925558,0.00873,[11  5] ; [4 2],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
