Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,63.306896,[91 16] ; [ 5 32],[71.33333333 35.66666667] ; [24.66666667 12.33333333],1
v4,1,3e-06,22.035403,[95 11] ; [20 17],[85.24475524 20.75524476] ; [29.75524476  7.24475524],1
s6,1,3e-06,21.814393,[62 45] ; [ 5 32],[49.78472222 57.21527778] ; [17.21527778 19.78472222],1
r2,1,8e-06,20.031807,[97  9] ; [20 14],[88.58571429 17.41428571] ; [28.41428571  5.58571429],1
p2,1,1.7e-05,18.514146,[67 40] ; [ 8 29],[55.72916667 51.27083333] ; [19.27083333 17.72916667],1
s2,1,0.000143,14.46636,[49 58] ; [ 4 33],[39.38194444 67.61805556] ; [13.61805556 23.38194444],1
p9,1,0.000175,14.079145,[63 41] ; [ 8 26],[53.50724638 50.49275362] ; [17.49275362 16.50724638],1
n5,1,0.000412,12.475878,[51 56] ; [30  7],[60.1875 46.8125] ; [20.8125 16.1875],1
a1,1,0.000887,11.04876,[  3 104] ; [ 7 30],[ 7.43055556 99.56944444] ; [ 2.56944444 34.43055556],1
a7,1,0.001865,9.678295,[76 30] ; [16 21],[68.1958042 37.8041958] ; [23.8041958 13.1958042],0
r1,1,0.002421,9.199648,[76 31] ; [16 21],[68.36111111 38.63888889] ; [23.63888889 13.36111111],0
p7,1,0.003367,8.59721,[50 56] ; [ 7 29],[42.54929577 63.45070423] ; [14.45070423 21.54929577],0
p4,1,0.009198,6.784034,[46 59] ; [ 7 29],[39.46808511 65.53191489] ; [13.53191489 22.46808511],0
s3,1,0.015798,5.825188,[54 52] ; [10 26],[47.77464789 58.22535211] ; [16.22535211 19.77464789],0
b5,1,0.017743,5.621336,[70 37] ; [16 21],[63.90277778 43.09722222] ; [22.09722222 14.90277778],0
d4,1,0.017763,5.619369,[81 24] ; [21 16],[75.42253521 29.57746479] ; [26.57746479 10.42253521],0
n3,1,0.018731,5.52642,[28 14] ; [ 7 13],[23.70967742 18.29032258] ; [11.29032258  8.70967742],0
p10,1,0.020693,5.352449,[52 52] ; [10 26],[46.05714286 57.94285714] ; [15.94285714 20.05714286],0
s5,1,0.023314,5.144935,[27 75] ; [ 3 33],[22.17391304 79.82608696] ; [ 7.82608696 28.17391304],0
d3,1,0.024543,5.055838,[67 37] ; [16 21],[61.21985816 42.78014184] ; [21.78014184 15.21985816],0
d5,1,0.027679,4.847943,[82 23] ; [22 15],[76.90140845 28.09859155] ; [27.09859155  9.90140845],0
u3,1,0.031277,4.637696,[19 17] ; [ 3 12],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
s7,1,0.033864,4.501557,[37 62] ; [ 6 28],[32.0075188 66.9924812] ; [10.9924812 23.0075188],0
v2,1,0.039764,4.227941,[39 63] ; [ 7 29],[34. 68.] ; [12. 24.],0
p3,1,0.044374,4.042274,[36 71] ; [ 6 31],[31.20833333 75.79166667] ; [10.79166667 26.20833333],0
p8,1,0.05092,3.810898,[32 73] ; [ 5 31],[27.55319149 77.44680851] ; [ 9.44680851 26.55319149],0
n6,1,0.056022,3.651408,[71 36] ; [18 19],[66.13194444 40.86805556] ; [22.86805556 14.13194444],0
s8,1,0.075823,3.152232,[30 77] ; [ 5 32],[26.00694444 80.99305556] ; [ 8.99305556 28.00694444],0
a6,1,0.083322,2.99888,[66 40] ; [17 20],[61.52447552 44.47552448] ; [21.47552448 15.52447552],0
a5,1,0.089492,2.883487,[69 38] ; [18 19],[64.64583333 42.35416667] ; [22.35416667 14.64583333],0
u1,1,0.104361,2.637604,[17 90] ; [ 2 35],[14.11805556 92.88194444] ; [ 4.88194444 32.11805556],0
p6,1,0.118152,2.441653,[28 77] ; [ 5 31],[24.57446809 80.42553191] ; [ 8.42553191 27.57446809],0
v3,1,0.127683,2.320454,[29 71] ; [ 6 31],[25.54744526 74.45255474] ; [ 9.45255474 27.54744526],0
n4,1,0.129112,2.303155,[60 47] ; [26 11],[63.90277778 43.09722222] ; [22.09722222 14.90277778],0
b1,1,0.129745,2.295557,[54 53] ; [24 13],[57.95833333 49.04166667] ; [20.04166667 16.95833333],0
u2,1,0.146059,2.112935,[18 19] ; [ 4 11],[15.65384615 21.34615385] ; [6.34615385 8.65384615],0
a2,1,0.151191,2.060194,[23 84] ; [ 4 33],[20.0625 86.9375] ; [ 6.9375 30.0625],0
b2,1,0.206201,1.597899,[15 37] ; [12 16],[17.55 34.45] ; [ 9.45 18.55],0
b3,1,0.206201,1.597899,[15 37] ; [12 16],[17.55 34.45] ; [ 9.45 18.55],0
n2,1,0.220392,1.501819,[28 16] ; [10 11],[25.72307692 18.27692308] ; [12.27692308  8.72307692],0
