Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.8e-05,17.531836,[52 11] ; [2 8],[46.60273973 16.39726027] ; [7.39726027 2.60273973],1
r1,1,0.000646,11.637107,[51 12] ; [3 7],[46.60273973 16.39726027] ; [7.39726027 2.60273973],1
r3,1,0.007552,7.136657,[59  3] ; [7 3],[56.83333333  5.16666667] ; [9.16666667 0.83333333],0
n6,1,0.036809,4.359244,[46 17] ; [4 6],[43.15068493 19.84931507] ; [6.84931507 3.15068493],0
v4,1,0.067301,3.347644,[57  6] ; [7 3],[55.23287671  7.76712329] ; [8.76712329 1.23287671],0
p4,1,0.069752,3.288836,[32 31] ; [2 8],[29.34246575 33.65753425] ; [4.65753425 5.34246575],0
v3,1,0.085614,2.954976,[30 31] ; [2 8],[27.49295775 33.50704225] ; [4.50704225 5.49295775],0
p3,1,0.095066,2.786431,[25 38] ; [1 8],[22.75 40.25] ; [3.25 5.75],0
a5,1,0.129728,2.295757,[41 22] ; [4 6],[38.83561644 24.16438356] ; [6.16438356 3.83561644],0
s8,1,0.15072,2.06495,[20 42] ; [1 9],[18.08333333 43.91666667] ; [2.91666667 7.08333333],0
p2,1,0.158436,1.989093,[40 23] ; [4 6],[37.97260274 25.02739726] ; [6.02739726 3.97260274],0
s7,1,0.159318,1.980686,[23 38] ; [1 7],[21.2173913 39.7826087] ; [2.7826087 5.2173913],0
p7,1,0.172848,1.858065,[33 29] ; [3 7],[31. 31.] ; [5. 5.],0
s4,1,0.23712,1.397632,[ 5 57] ; [2 8],[ 6.02777778 55.97222222] ; [0.97222222 9.02777778],0
n2,1,0.291699,1.111765,[13  4] ; [2 2],[12.14285714  4.85714286] ; [2.85714286 1.14285714],0
b1,1,0.390631,0.736977,[35 28] ; [7 3],[36.24657534 26.75342466] ; [5.75342466 4.24657534],0
p6,1,0.439321,0.598054,[13 47] ; [3 6],[13.91304348 46.08695652] ; [2.08695652 6.91304348],0
n5,1,0.466919,0.529258,[33 30] ; [4 6],[31.93150685 31.06849315] ; [5.06849315 4.93150685],0
b5,1,0.474791,0.510804,[39 24] ; [5 5],[37.97260274 25.02739726] ; [6.02739726 3.97260274],0
a7,1,0.484747,0.488164,[44 18] ; [6 4],[43.05555556 18.94444444] ; [6.94444444 3.05555556],0
a2,1,0.487222,0.482656,[12 51] ; [1 9],[11.21917808 51.78082192] ; [1.78082192 8.21917808],0
s6,1,0.495521,0.464516,[30 32] ; [6 4],[31. 31.] ; [5. 5.],0
a1,1,0.498938,0.457195,[ 3 60] ; [1 9],[ 3.45205479 59.54794521] ; [0.54794521 9.45205479],0
s1,1,0.508481,0.437192,[ 3 59] ; [1 9],[ 3.44444444 58.55555556] ; [0.55555556 9.44444444],0
v1,1,0.52593,0.40225,[32 31] ; [4 6],[31.06849315 31.93150685] ; [4.93150685 5.06849315],0
p8,1,0.558566,0.342193,[25 38] ; [3 7],[24.16438356 38.83561644] ; [3.83561644 6.16438356],0
p10,1,0.572354,0.31876,[18 45] ; [2 8],[17.26027397 45.73972603] ; [2.73972603 7.26027397],0
p1,1,0.671129,0.180285,[ 4 59] ; [1 9],[ 4.31506849 58.68493151] ; [0.68493151 9.31506849],0
d3,1,0.679816,0.170333,[42 21] ; [6 4],[41.42465753 21.57534247] ; [6.57534247 3.42465753],0
n4,1,0.679816,0.170333,[42 21] ; [6 4],[41.42465753 21.57534247] ; [6.57534247 3.42465753],0
d2,1,0.703203,0.145161,[27 35] ; [5 5],[27.55555556 34.44444444] ; [4.44444444 5.55555556],0
n3,1,0.746188,0.104762,[12  6] ; [3 1],[12.27272727  5.72727273] ; [2.72727273 1.27272727],0
u3,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
a6,1,0.75534,0.097098,[41 22] ; [6 4],[40.56164384 22.43835616] ; [6.43835616 3.56164384],0
d4,1,0.760518,0.092903,[52 10] ; [8 2],[51.66666667 10.33333333] ; [8.33333333 1.66666667],0
d5,1,0.79118,0.070108,[48 15] ; [8 2],[48.32876712 14.67123288] ; [7.67123288 2.32876712],0
p11,1,0.815218,0.054616,[34 29] ; [5 5],[33.65753425 29.34246575] ; [5.34246575 4.65753425],0
d1,1,0.815218,0.054616,[34 29] ; [5 5],[33.65753425 29.34246575] ; [5.34246575 4.65753425],0
a4,1,0.834876,0.043452,[21 42] ; [3 7],[20.71232877 42.28767123] ; [3.28767123 6.71232877],0
a8,1,0.860907,0.030702,[ 5 49] ; [1 8],[ 5.14285714 48.85714286] ; [0.85714286 8.14285714],0
s2,1,0.889786,0.019203,[23 38] ; [4 6],[23.1971831 37.8028169] ; [3.8028169 6.1971831],0
s3,1,0.908284,0.013272,[26 36] ; [4 6],[25.83333333 36.16666667] ; [4.16666667 5.83333333],0
a3,1,0.908384,0.013243,[39 24] ; [6 4],[38.83561644 24.16438356] ; [6.16438356 3.83561644],0
b4,1,0.912079,0.012192,[43 20] ; [7 3],[43.15068493 19.84931507] ; [6.84931507 3.15068493],0
b3,1,0.931671,0.007352,[12 26] ; [2 4],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
b2,1,0.931671,0.007352,[12 26] ; [2 4],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
