Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,23.992405,[ 5 20] ; [59 20],[15.38461538  9.61538462] ; [48.61538462 30.38461538],1
v4,1,1e-06,23.208432,[11 14] ; [69  8],[19.60784314  5.39215686] ; [60.39215686 16.60784314],1
p11,1,6e-05,16.098695,[ 5 20] ; [52 27],[13.70192308 11.29807692] ; [43.29807692 35.70192308],1
b3,1,0.001956,9.59051,[8 6] ; [ 6 34],[ 3.62962963 10.37037037] ; [10.37037037 29.62962963],0
b2,1,0.001956,9.59051,[8 6] ; [ 6 34],[ 3.62962963 10.37037037] ; [10.37037037 29.62962963],0
s6,1,0.002513,9.130937,[ 3 22] ; [36 43],[ 9.375 15.625] ; [29.625 49.375],0
s2,1,0.004652,8.009902,[ 2 23] ; [30 49],[ 7.69230769 17.30769231] ; [24.30769231 54.69230769],0
r2,1,0.004904,7.914413,[14 11] ; [65 13],[19.17475728  5.82524272] ; [59.82524272 18.17475728],0
p3,1,0.008298,6.968059,[ 2 23] ; [28 51],[ 7.21153846 17.78846154] ; [22.78846154 56.21153846],0
p8,1,0.010052,6.625734,[ 3 21] ; [32 46],[ 8.23529412 15.76470588] ; [26.76470588 51.23529412],0
v2,1,0.010314,6.579898,[ 3 21] ; [30 43],[ 8.16494845 15.83505155] ; [24.83505155 48.16494845],0
n2,1,0.020203,5.394253,[6 6] ; [23  4],[8.92307692 3.07692308] ; [20.07692308  6.92307692],0
p2,1,0.020418,5.375758,[11 14] ; [55 24],[15.86538462  9.13461538] ; [50.13461538 28.86538462],0
s3,1,0.020504,5.368505,[ 6 18] ; [41 38],[10.95145631 13.04854369] ; [36.04854369 42.95145631],0
a1,1,0.020607,5.359745,[ 5 20] ; [ 4 75],[ 2.16346154 22.83653846] ; [ 6.83653846 72.16346154],0
p4,1,0.022391,5.215128,[ 4 21] ; [32 46],[ 8.73786408 16.26213592] ; [27.26213592 50.73786408],0
p10,1,0.026093,4.949867,[ 7 17] ; [43 35],[11.76470588 12.23529412] ; [38.23529412 39.76470588],0
u3,1,0.030097,4.703715,[4 9] ; [23 12],[7.3125 5.6875] ; [19.6875 15.3125],0
b5,1,0.03016,4.700145,[ 9 16] ; [48 31],[13.70192308 11.29807692] ; [43.29807692 35.70192308],0
d3,1,0.034336,4.477893,[ 5 20] ; [34 44],[ 9.46601942 15.53398058] ; [29.53398058 48.46601942],0
a5,1,0.038898,4.265316,[ 8 17] ; [44 35],[12.5 12.5] ; [39.5 39.5],0
d4,1,0.040005,4.217673,[ 9 16] ; [47 32],[13.46153846 11.53846154] ; [42.53846154 36.46153846],0
a6,1,0.051652,3.787009,[11 14] ; [52 27],[15.14423077  9.85576923] ; [47.85576923 31.14423077],0
n5,1,0.066002,3.379763,[16  9] ; [33 44],[12.00980392 12.99019608] ; [36.99019608 40.00980392],0
a7,1,0.068534,3.317784,[10 15] ; [48 31],[13.94230769 11.05769231] ; [44.05769231 34.94230769],0
s8,1,0.081441,3.035899,[ 2 23] ; [19 60],[ 5.04807692 19.95192308] ; [15.95192308 63.04807692],0
d5,1,0.085987,2.947945,[ 9 16] ; [44 35],[12.74038462 12.25961538] ; [40.25961538 38.74038462],0
s7,1,0.088045,2.90976,[ 3 20] ; [23 51],[ 6.16494845 16.83505155] ; [19.83505155 54.16494845],0
n3,1,0.096985,2.754438,[6 6] ; [20  6],[8.21052632 3.78947368] ; [17.78947368  8.21052632],0
p7,1,0.12386,2.367822,[ 8 16] ; [39 37],[11.28 12.72] ; [35.72 40.28],0
