Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000214,13.707835,[ 3 11] ; [54 20],[9.06818182 4.93181818] ; [47.93181818 26.06818182],1
v4,1,0.001924,9.621032,[9 5] ; [68  5],[12.3908046  1.6091954] ; [64.6091954  8.3908046],0
p4,1,0.003914,8.323154,[13  1] ; [38 36],[8.11363636 5.88636364] ; [42.88636364 31.11363636],0
d5,1,0.006908,7.296617,[6 8] ; [57 16],[10.13793103  3.86206897] ; [52.86206897 20.13793103],0
s7,1,0.009746,6.680709,[ 3 11] ; [42 29],[7.41176471 6.58823529] ; [37.58823529 33.41176471],0
a7,1,0.012696,6.210947,[ 4 10] ; [47 26],[8.20689655 5.79310345] ; [42.79310345 30.20689655],0
p9,1,0.029164,4.757878,[9 5] ; [64  9],[11.74712644  2.25287356] ; [61.25287356 11.74712644],0
b4,1,0.031605,4.619813,[5 9] ; [49 25],[8.59090909 5.40909091] ; [45.40909091 28.59090909],0
s5,1,0.045194,4.011374,[ 3 11] ; [34 33],[6.39506173 7.60493827] ; [30.60493827 36.39506173],0
s8,1,0.06549,3.392591,[ 4 10] ; [41 33],[7.15909091 6.84090909] ; [37.84090909 36.15909091],0
p10,1,0.06777,3.336222,[9 5] ; [62 11],[11.42528736  2.57471264] ; [59.57471264 13.42528736],0
u3,1,0.094594,2.794402,[2 5] ; [19 11],[3.97297297 3.02702703] ; [17.02702703 12.97297297],0
s3,1,0.15335,2.03861,[8 6] ; [56 18],[10.18181818  3.81818182] ; [53.81818182 20.18181818],0
r3,1,0.195664,1.674448,[11  3] ; [67  7],[12.40909091  1.59090909] ; [65.59090909  8.40909091],0
a6,1,0.195873,1.672883,[10  4] ; [39 35],[7.79545455 6.20454545] ; [41.20454545 32.79545455],0
p7,1,0.21678,1.525561,[10  4] ; [38 33],[7.90588235 6.09411765] ; [40.09411765 30.90588235],0
d2,1,0.23853,1.389262,[ 3 11] ; [28 46],[4.93181818 9.06818182] ; [26.06818182 47.93181818],0
n5,1,0.247416,1.337838,[7 7] ; [49 25],[8.90909091 5.09090909] ; [47.09090909 26.90909091],0
b3,1,0.293558,1.103231,[1 8] ; [13 34],[2.25 6.75] ; [11.75 35.25],0
b2,1,0.293558,1.103231,[1 8] ; [13 34],[2.25 6.75] ; [11.75 35.25],0
s4,1,0.362739,0.828388,[ 3 11] ; [25 49],[4.45454545 9.54545455] ; [23.54545455 50.45454545],0
d1,1,0.373647,0.7915,[5 9] ; [36 38],[6.52272727 7.47727273] ; [34.47727273 39.52272727],0
v2,1,0.378556,0.775385,[5 9] ; [34 36],[6.5 7.5] ; [32.5 37.5],0
p6,1,0.378987,0.773987,[ 4 10] ; [30 43],[5.47126437 8.52873563] ; [28.52873563 44.47126437],0
a4,1,0.412963,0.670253,[ 3 11] ; [24 50],[4.29545455 9.70454545] ; [22.70454545 51.29545455],0
n1,1,0.443598,0.586957,[2 2] ; [ 7 16],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
b1,1,0.450583,0.569185,[7 7] ; [29 45],[5.72727273 8.27272727] ; [30.27272727 43.72727273],0
v3,1,0.455026,0.558102,[ 3 11] ; [22 48],[4.16666667 9.83333333] ; [20.83333333 49.16666667],0
d4,1,0.468795,0.524814,[12  2] ; [57 17],[10.97727273  3.02272727] ; [58.02272727 15.97727273],0
a3,1,0.510854,0.432318,[7 7] ; [44 30],[8.11363636 5.88636364] ; [42.88636364 31.11363636],0
p2,1,0.587826,0.293752,[10  4] ; [57 16],[10.7816092  3.2183908] ; [56.2183908 16.7816092],0
p5,1,0.609772,0.260508,[ 2 12] ; [ 7 65],[ 1.46511628 12.53488372] ; [ 7.53488372 64.46511628],0
p3,1,0.623929,0.240384,[8 6] ; [37 37],[7.15909091 6.84090909] ; [37.84090909 36.15909091],0
a5,1,0.651622,0.203861,[8 6] ; [47 27],[8.75 5.25] ; [46.25 27.75],0
p11,1,0.661975,0.191134,[11  3] ; [54 20],[10.34090909  3.65909091] ; [54.65909091 19.34090909],0
n2,1,0.687031,0.162319,[3 1] ; [20  4],[3.28571429 0.71428571] ; [19.71428571  4.28571429],0
a1,1,0.707156,0.141135,[ 2 12] ; [ 8 66],[ 1.59090909 12.40909091] ; [ 8.40909091 65.59090909],0
n4,1,0.723568,0.1251,[8 6] ; [46 28],[8.59090909 5.40909091] ; [45.40909091 28.59090909],0
u2,1,0.733508,0.115915,[4 3] ; [15 15],[3.59459459 3.40540541] ; [15.40540541 14.59459459],0
n3,1,0.755189,0.097222,[2 2] ; [14 10],[2.28571429 1.71428571] ; [13.71428571 10.28571429],0
d3,1,0.778097,0.079411,[9 5] ; [44 29],[8.52873563 5.47126437] ; [44.47126437 28.52873563],0
a8,1,0.795699,0.067038,[ 1 12] ; [ 7 63],[ 1.25301205 11.74698795] ; [ 6.74698795 63.25301205],0
p12,1,0.796778,0.066316,[ 1 13] ; [ 4 70],[ 0.79545455 13.20454545] ; [ 4.20454545 69.79545455],0
n6,1,0.827341,0.047573,[11  3] ; [60 14],[11.29545455  2.70454545] ; [59.70454545 14.29545455],0
p8,1,0.837828,0.041891,[6 8] ; [33 39],[6.34883721 7.65116279] ; [32.65116279 39.34883721],0
b5,1,0.888866,0.019527,[9 5] ; [49 25],[9.22727273 4.77272727] ; [48.77272727 25.22727273],0
s6,1,0.907151,0.013603,[11  3] ; [54 16],[10.83333333  3.16666667] ; [54.16666667 15.83333333],0
v1,1,0.961583,0.00232,[7 7] ; [36 35],[7.08235294 6.91764706] ; [35.91764706 35.08235294],0
