Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2.4e-05,17.831344,[29 58] ; [ 7 83],[17.69491525 69.30508475] ; [18.30508475 71.69491525],1
s6,1,0.000241,13.483578,[79  7] ; [63 27],[69.38636364 16.61363636] ; [72.61363636 17.38636364],1
s2,1,0.000331,12.88452,[72 14] ; [52 36],[61.28735632 24.71264368] ; [62.71264368 25.28735632],1
s3,1,0.00111,10.63392,[70 15] ; [52 35],[60.29069767 24.70930233] ; [61.70930233 25.29069767],0
p4,1,0.002074,9.483164,[69 18] ; [52 38],[59.47457627 27.52542373] ; [61.52542373 28.47457627],0
s4,1,0.002165,9.404223,[20 67] ; [ 6 84],[12.77966102 74.22033898] ; [13.22033898 76.77966102],0
p8,1,0.008576,6.909025,[63 23] ; [47 40],[54.68208092 31.31791908] ; [55.31791908 31.68208092],0
s7,1,0.008788,6.865323,[75  8] ; [63 21],[68.58682635 14.41317365] ; [69.41317365 14.58682635],0
p7,1,0.012017,6.308306,[70 15] ; [57 30],[62.76162791 22.23837209] ; [64.23837209 22.76162791],0
a5,1,0.043873,4.06143,[76 11] ; [68 22],[70.77966102 16.22033898] ; [73.22033898 16.77966102],0
a8,1,0.050044,3.84,[ 8 72] ; [17 63],[12.5 67.5] ; [12.5 67.5],0
v4,1,0.061806,3.488238,[85  1] ; [84  6],[82.57954545  3.42045455] ; [86.42045455  3.57954545],0
n4,1,0.075375,3.16192,[74 13] ; [84  6],[77.66101695  9.33898305] ; [80.33898305  9.66101695],0
v1,1,0.099378,2.715503,[68 19] ; [59 29],[63.13714286 23.86285714] ; [63.86285714 24.13714286],0
b5,1,0.117933,2.444559,[43 44] ; [55 35],[48.16949153 38.83050847] ; [49.83050847 40.16949153],0
p9,1,0.121211,2.401597,[82  5] ; [77 11],[79.04571429  7.95428571] ; [79.95428571  8.04571429],0
p1,1,0.125176,2.351331,[13 73] ; [ 7 83],[ 9.77272727 76.22727273] ; [10.22727273 79.77272727],0
p3,1,0.126283,2.337612,[59 28] ; [51 39],[54.06779661 32.93220339] ; [55.93220339 34.06779661],0
p6,1,0.179358,1.802936,[43 42] ; [36 53],[38.59195402 46.40804598] ; [40.40804598 48.59195402],0
r1,1,0.187694,1.735628,[79  7] ; [77 13],[76.22727273  9.77272727] ; [79.77272727 10.22727273],0
r2,1,0.20568,1.601576,[84  3] ; [82  7],[82.05681818  4.94318182] ; [83.94318182  5.05681818],0
r4,1,0.212312,1.555587,[84  3] ; [83  7],[82.08474576  4.91525424] ; [84.91525424  5.08474576],0
a3,1,0.227308,1.457629,[73 13] ; [70 20],[69.875 16.125] ; [73.125 16.875],0
a6,1,0.227711,1.455103,[60 26] ; [55 35],[56.19318182 29.80681818] ; [58.80681818 31.19318182],0
p10,1,0.234611,1.412685,[80  7] ; [76 12],[77.55428571  9.44571429] ; [78.44571429  9.55428571],0
u3,1,0.254616,1.297798,[11  3] ; [12  8],[9.47058824 4.52941176] ; [13.52941176  6.47058824],0
a1,1,0.262816,1.253861,[10 77] ; [ 6 84],[ 7.86440678 79.13559322] ; [ 8.13559322 81.86440678],0
v2,1,0.283775,1.148921,[73 14] ; [69 20],[70.19318182 16.80681818] ; [71.80681818 17.19318182],0
n6,1,0.315615,1.007033,[80  5] ; [81  9],[78.2  6.8] ; [82.8  7.2],0
p2,1,0.323251,0.975749,[77 10] ; [75 15],[74.71186441 12.28813559] ; [77.28813559 12.71186441],0
a4,1,0.330256,0.947892,[46 41] ; [41 49],[42.76271186 44.23728814] ; [44.23728814 45.76271186],0
d2,1,0.337755,0.918933,[45 42] ; [53 37],[48.16949153 38.83050847] ; [49.83050847 40.16949153],0
p12,1,0.347957,0.880895,[14 73] ; [10 79],[11.86363636 75.13636364] ; [12.13636364 76.86363636],0
p11,1,0.356642,0.849684,[71 16] ; [78 12],[73.23728814 13.76271186] ; [75.76271186 14.23728814],0
u1,1,0.395184,0.722931,[21 66] ; [17 73],[18.6779661 68.3220339] ; [19.3220339 70.6779661],0
a2,1,0.415671,0.662521,[26 61] ; [22 68],[23.59322034 63.40677966] ; [24.40677966 65.59322034],0
b1,1,0.517579,0.418714,[38 49] ; [35 55],[35.88135593 51.11864407] ; [37.11864407 52.88135593],0
b4,1,0.519113,0.415655,[50 37] ; [56 34],[52.10169492 34.89830508] ; [53.89830508 36.10169492],0
n3,1,0.528871,0.396561,[12  7] ; [11  4],[12.85294118  6.14705882] ; [10.14705882  4.85294118],0
d3,1,0.580951,0.3047,[66 21] ; [65 25],[64.38983051 22.61016949] ; [66.61016949 23.38983051],0
d1,1,0.606759,0.264921,[63 24] ; [62 28],[61.44067797 25.55932203] ; [63.55932203 26.44067797],0
r3,1,0.677937,0.172458,[85  2] ; [87  3],[84.54237288  2.45762712] ; [87.45762712  2.54237288],0
s1,1,0.678207,0.172151,[ 2 84] ; [ 3 86],[ 2.45714286 83.54285714] ; [ 2.54285714 86.45714286],0
u2,1,0.693329,0.155505,[10  4] ; [13  7],[9.47058824 4.52941176] ; [13.52941176  6.47058824],0
u4,1,0.733887,0.115572,[ 3 84] ; [ 4 86],[ 3.44067797 83.55932203] ; [ 3.55932203 86.44067797],0
n5,1,0.749293,0.102126,[75 11] ; [77 13],[74.27272727 11.72727273] ; [77.72727273 12.27272727],0
a7,1,0.833956,0.043945,[58 29] ; [58 31],[57.34090909 29.65909091] ; [58.65909091 30.34090909],0
n2,1,0.865281,0.028783,[15  4] ; [13  3],[15.2  3.8] ; [12.8  3.2],0
d4,1,0.890203,0.019057,[77  9] ; [80 10],[76.71590909  9.28409091] ; [80.28409091  9.71590909],0
d5,1,0.914007,0.011661,[76 10] ; [80 10],[76.22727273  9.77272727] ; [79.77272727 10.22727273],0
n1,1,0.921972,0.009594,[ 8 11] ; [7 9],[ 8.14285714 10.85714286] ; [6.85714286 9.14285714],0
b2,1,0.970562,0.001362,[22 28] ; [31 40],[21.90082645 28.09917355] ; [31.09917355 39.90082645],0
b3,1,0.970562,0.001362,[22 28] ; [31 40],[21.90082645 28.09917355] ; [31.09917355 39.90082645],0
