Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.4e-05,17.196801,[23 17] ; [ 4 31],[14.4 25.6] ; [12.6 22.4],1
s2,1,0.000662,11.593382,[22 21] ; [ 5 30],[14.88461538 28.11538462] ; [12.11538462 22.88461538],1
s6,1,0.001371,10.244218,[22 20] ; [ 6 29],[15.27272727 26.72727273] ; [12.72727273 22.27272727],0
d4,1,0.002224,9.354817,[35  8] ; [17 18],[28.66666667 14.33333333] ; [23.33333333 11.66666667],0
d1,1,0.010641,6.524322,[26 17] ; [11 24],[20.3974359 22.6025641] ; [16.6025641 18.3974359],0
p11,1,0.012272,6.271096,[27 16] ; [12 23],[21.5 21.5] ; [17.5 17.5],0
p2,1,0.012624,6.221078,[28 12] ; [14 20],[22.7027027 17.2972973] ; [19.2972973 14.7027027],0
n6,1,0.014792,5.941131,[29 13] ; [14 20],[23.76315789 18.23684211] ; [19.23684211 14.76315789],0
p6,1,0.020237,5.391336,[14 27] ; [ 4 31],[ 9.71052632 31.28947368] ; [ 8.28947368 26.71052632],0
s5,1,0.023848,5.105679,[12 29] ; [ 3 32],[ 8.09210526 32.90789474] ; [ 6.90789474 28.09210526],0
s3,1,0.026625,4.914962,[23 19] ; [10 24],[18.23684211 23.76315789] ; [14.76315789 19.23684211],0
a1,1,0.034832,4.453387,[ 2 41] ; [ 7 28],[ 4.96153846 38.03846154] ; [ 4.03846154 30.96153846],0
p7,1,0.046854,3.950606,[20 22] ; [ 8 24],[15.89189189 26.10810811] ; [12.10810811 19.89189189],0
p1,1,0.052316,3.765649,[ 1 41] ; [ 5 30],[ 3.27272727 38.72727273] ; [ 2.72727273 32.27272727],0
n1,1,0.053616,3.724603,[ 4 14] ; [11 10],[ 6.92307692 11.07692308] ; [ 8.07692308 12.92307692],0
p9,1,0.077349,3.119751,[30 13] ; [17 17],[26.24675325 16.75324675] ; [20.75324675 13.24675325],0
b5,1,0.079019,3.084955,[27 16] ; [15 20],[23.15384615 19.84615385] ; [18.84615385 16.15384615],0
s7,1,0.085526,2.956624,[17 23] ; [ 8 26],[13.51351351 26.48648649] ; [11.48648649 22.51351351],0
p4,1,0.100166,2.702897,[17 25] ; [ 8 27],[13.63636364 28.36363636] ; [11.36363636 23.63636364],0
s1,1,0.102574,2.665056,[ 1 42] ; [ 4 31],[ 2.75641026 40.24358974] ; [ 2.24358974 32.75641026],0
d5,1,0.111027,2.539535,[33 10] ; [21 14],[29.76923077 13.23076923] ; [24.23076923 10.76923077],0
b4,1,0.141289,2.163866,[28 15] ; [17 18],[24.80769231 18.19230769] ; [20.19230769 14.80769231],0
