Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.000163,14.219933,[2 5] ; [ 14 464],[0.23092784 6.76907216] ; [ 15.76907216 462.23092784],1
b2,1,0.010911,6.479784,[6 1] ; [113 183],[2.74917492 4.25082508] ; [116.25082508 179.74917492],0
b3,1,0.010911,6.479784,[6 1] ; [113 183],[2.74917492 4.25082508] ; [116.25082508 179.74917492],0
a2,1,0.015156,5.898291,[4 3] ; [ 95 383],[1.42886598 5.57113402] ; [ 97.57113402 380.42886598],0
d2,1,0.028771,4.781262,[6 1] ; [210 264],[3.14345114 3.85654886] ; [212.85654886 261.14345114],0
v3,1,0.030156,4.70039,[5 1] ; [182 277],[2.41290323 3.58709677] ; [184.58709677 274.41290323],0
a8,1,0.034551,4.467225,[2 2] ; [ 58 374],[0.55045872 3.44954128] ; [ 59.44954128 372.55045872],0
u1,1,0.06502,3.404464,[3 4] ; [ 79 399],[1.18350515 5.81649485] ; [ 80.81649485 397.18350515],0
p5,1,0.075461,3.160046,[2 4] ; [ 50 422],[0.65271967 5.34728033] ; [ 51.34728033 420.65271967],0
a4,1,0.094069,2.803321,[5 2] ; [191 285],[2.84057971 4.15942029] ; [193.15942029 282.84057971],0
s8,1,0.117617,2.448769,[5 2] ; [199 275],[2.96881497 4.03118503] ; [201.03118503 272.96881497],0
d1,1,0.13374,2.248551,[6 1] ; [275 203],[4.0556701 2.9443299] ; [276.9443299 201.0556701],0
s7,1,0.208363,1.582766,[5 2] ; [218 241],[3.34978541 3.65021459] ; [219.65021459 239.34978541],0
v2,1,0.225836,1.466894,[5 1] ; [272 190],[3.55128205 2.44871795] ; [273.44871795 188.55128205],0
s3,1,0.357673,0.846046,[5 2] ; [251 214],[3.79661017 3.20338983] ; [252.20338983 212.79661017],0
p4,1,0.500474,0.453932,[5 2] ; [277 194],[4.12970711 2.87029289] ; [277.87029289 193.12970711],0
b4,1,0.548282,0.360404,[5 2] ; [288 190],[4.22886598 2.77113402] ; [288.77113402 189.22886598],0
p3,1,0.560956,0.338052,[4 3] ; [219 256],[3.23858921 3.76141079] ; [219.76141079 255.23858921],0
b5,1,0.56264,0.335155,[5 2] ; [290 188],[4.25773196 2.74226804] ; [290.74226804 187.25773196],0
n4,1,0.581735,0.303439,[6 1] ; [366 110],[5.39130435 1.60869565] ; [366.60869565 109.39130435],0
p6,1,0.613786,0.254699,[3 4] ; [158 310],[2.37263158 4.62736842] ; [158.62736842 309.37263158],0
p7,1,0.645052,0.212196,[5 2] ; [289 170],[4.41630901 2.58369099] ; [289.58369099 169.41630901],0
s2,1,0.654286,0.200539,[4 3] ; [229 242],[3.41213389 3.58786611] ; [229.58786611 241.41213389],0
p12,1,0.67188,0.179411,[1 6] ; [ 45 427],[0.67223382 6.32776618] ; [ 45.32776618 426.67223382],0
r1,1,0.690704,0.158324,[6 1] ; [379  97],[5.57971014 1.42028986] ; [379.42028986  96.57971014],0
s5,1,0.752268,0.099635,[2 5] ; [158 303],[2.39316239 4.60683761] ; [157.60683761 303.39316239],0
d5,1,0.758062,0.094881,[6 1] ; [387  90],[5.6838843 1.3161157] ; [387.3161157  89.6838843],0
a7,1,0.849325,0.036092,[5 2] ; [355 121],[5.2173913 1.7826087] ; [354.7826087 121.2173913],0
p8,1,0.86687,0.028102,[4 3] ; [252 215],[3.78059072 3.21940928] ; [252.21940928 214.78059072],0
p2,1,0.913364,0.011837,[6 1] ; [412  61],[6.09583333 0.90416667] ; [411.90416667  61.09583333],0
a6,1,0.932841,0.007101,[5 2] ; [333 143],[4.89855072 2.10144928] ; [333.10144928 142.89855072],0
p10,1,0.94585,0.004613,[6 1] ; [407  63],[6.06079665 0.93920335] ; [406.93920335  63.06079665],0
