Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,91.594493,[ 9 37] ; [251  46],[34.86880466 11.13119534] ; [225.13119534  71.86880466],1
r2,1,0.0,56.782047,[23 20] ; [275  20],[37.9112426  5.0887574] ; [260.0887574  34.9112426],1
r3,1,0.0,50.477883,[24 21] ; [271  24],[39.04411765  5.95588235] ; [255.95588235  39.04411765],1
p2,1,0.0,38.5686,[14 31] ; [227  70],[31.71052632 13.28947368] ; [209.28947368  87.71052632],1
n6,1,0.0,31.183296,[17 28] ; [230  66],[32.59530792 12.40469208] ; [214.40469208  81.59530792],1
r1,1,1e-06,23.227952,[17 29] ; [215  81],[31.20467836 14.79532164] ; [200.79532164  95.20467836],1
p10,1,2e-06,22.826999,[14 31] ; [198  93],[28.39285714 16.60714286] ; [183.60714286 107.39285714],1
p9,1,2e-06,22.613918,[17 27] ; [212  74],[30.53333333 13.46666667] ; [198.46666667  87.53333333],1
p11,1,1.2e-05,19.233581,[18 28] ; [213  84],[30.97959184 15.02040816] ; [200.02040816  96.97959184],1
s6,1,8.9e-05,15.365911,[ 8 38] ; [140 150],[20.26190476 25.73809524] ; [127.73809524 162.26190476],1
a1,1,0.000111,14.938767,[ 7 39] ; [  8 289],[ 2.01166181 43.98833819] ; [ 12.98833819 284.01166181],1
a6,1,0.000282,13.186692,[18 28] ; [198  98],[29.05263158 16.94736842] ; [186.94736842 109.05263158],1
p8,1,0.000404,12.514091,[ 4 40] ; [104 186],[14.22754491 29.77245509] ; [ 93.77245509 196.22754491],1
p7,1,0.000431,12.393239,[ 8 38] ; [128 157],[18.90030211 27.09969789] ; [117.09969789 167.90030211],1
d3,1,0.000472,12.221362,[18 28] ; [194 100],[28.68235294 17.31764706] ; [183.31764706 110.68235294],1
u3,1,0.000607,11.753737,[ 2 19] ; [55 55],[ 9.13740458 11.86259542] ; [47.86259542 62.13740458],1
u2,1,0.001212,10.472669,[ 3 18] ; [58 52],[ 9.77862595 11.22137405] ; [51.22137405 58.77862595],0
a7,1,0.003188,8.696427,[22 24] ; [206  89],[30.75659824 15.24340176] ; [197.24340176  97.75659824],0
b1,1,0.003626,8.46225,[25 21] ; [ 96 201],[16.22740525 29.77259475] ; [104.77259475 192.22740525],0
n3,1,0.00411,8.234722,[ 9 13] ; [72 27],[14.72727273  7.27272727] ; [66.27272727 32.72727273],0
n2,1,0.006427,7.426407,[10 13] ; [73 27],[15.5203252  7.4796748] ; [67.4796748 32.5203252],0
d5,1,0.012185,6.283746,[25 21] ; [214  81],[32.24046921 13.75953079] ; [206.75953079  88.24046921],0
v3,1,0.012409,6.251429,[ 5 41] ; [ 80 203],[11.88449848 34.11550152] ; [ 73.11550152 209.88449848],0
s2,1,0.012921,6.179871,[ 7 39] ; [ 98 195],[14.24778761 31.75221239] ; [ 90.75221239 202.24778761],0
p4,1,0.021612,5.276736,[ 7 39] ; [ 93 199],[13.60946746 32.39053254] ; [ 86.39053254 205.60946746],0
d4,1,0.037023,4.349365,[29 17] ; [228  67],[34.6686217 11.3313783] ; [222.3313783  72.6686217],0
s1,1,0.052954,3.745385,[ 5 41] ; [ 12 278],[ 2.32738095 43.67261905] ; [ 14.67261905 275.32738095],0
p6,1,0.053447,3.729902,[ 3 41] ; [ 54 237],[ 7.48656716 36.51343284] ; [ 49.51343284 241.48656716],0
v1,1,0.055052,3.680514,[11 34] ; [114 176],[16.79104478 28.20895522] ; [108.20895522 181.79104478],0
